index,sentences,greeting,need:books,need:hats,need:balls,offer:books,offer:hats,offer:balls,inquiry,agreement
154,i'll take two balls and the book .,,,,,,,,,
155,i would like the hat and two balls,,,,,,,,,
156,"okay , i'll take the hat , one ball and one book ?",,,,,,,,,
157,sounds good,,,,,,,,,
158,thanks,,,,,,,,,
159,if i can have the balls and the book you can have the hats,,,,,,,,,
160,great ! thank you !,,,,,,,,,
161,i'll take one of each if that's ok ?,,,,,,,,,
162,ok,,,,,,,,,
163,i need 2 hats . you can have the rest,,,,,,,,,
164,i get the books and a ball deal,,,,,,,,,
165,i want two hats,,,,,,,,,
166,deal,,,,,,,,,
167,i can give you one hat and the ball . i want 2 books and 1 hat,,,,,,,,,
168,"sorry , i won`t make a deal without a hat",,,,,,,,,
169,sorry can`t do,,,,,,,,,
170,"yesh no deal , sorry",,,,,,,,,
171,no deal,,,,,,,,,
172,i need the hats and the ball,,,,,,,,,
173,i have to have both hats and the ball or both hats and a book to make a deal,,,,,,,,,
174,if you take 1 hat i have to have everything else,,,,,,,,,
175,no deal,,,,,,,,,
176,no deal,,,,,,,,,
177,okay,,,,,,,,,
178,you can have the balls if i can have the book and hat,,,,,,,,,
179,you can have the balls and one hat,,,,,,,,,
180,okay thank you .,,,,,,,,,
181,i'd like the hats and balls . what do you want ?,,,,,,,,,
182,okay .,,,,,,,,,
183,i need the same . if i can't have the balls i can't make a deal,,,,,,,,,
184,okay deal .,,,,,,,,,
185,i need the balls and the hat,,,,,,,,,
186,you can have the balls if i can have everything else,,,,,,,,,
187,"fine , i get both hats",,,,,,,,,
188,i'll take the book and two balls you .,,,,,,,,,
189,take all the balls i keep everything else,,,,,,,,,
190,"can i keep a hat at least , its cold",,,,,,,,,
191,deal,,,,,,,,,
192,"nah , hats and a ball for me",,,,,,,,,
193,"ok , two hats and 2 balls for me",,,,,,,,,
194,how many balls do you need,,,,,,,,,
195,could you just take the hat and give me the rest ?,,,,,,,,,
196,okay ill give you the hat and balls,,,,,,,,,
197,i need the balls and a hat,,,,,,,,,
198,both,,,,,,,,,
199,not possible,,,,,,,,,
200,great,,,,,,,,,
201,"ill give you all books with a hat , i get to keep a hats",,,,,,,,,
202,deal,,,,,,,,,
203,i'd like the hats and books,,,,,,,,,
204,"how about this , i get the hats you take everything else . deal ?",,,,,,,,,
205,i'd like book and 1 ball or hat ?,,,,,,,,,
206,deal .,,,,,,,,,
207,"hi , i would like 2 balls and 1 hat .",,,,,,,,,
208,"hmm , how about i get the 2 balls and you keep the rest ?",,,,,,,,,
209,i want the balls . i can offer you the rest .,,,,,,,,,
210,2 balls and a book to me ? if so that works for me .,,,,,,,,,
211,can i have 1 ball and give you a book for it ?,,,,,,,,,
212,i'd like the ball and two hats .,,,,,,,,,
213,you can have the ball . i'll take the book and we can split the hats .,,,,,,,,,
214,"unfortunately the ball is highest value to me . only way i can give the ball up is if you give me everything else . otherwise , i can take the ball and the book and leave you the hats .",,,,,,,,,
215,deal,,,,,,,,,
216,sounds like a deal !,,,,,,,,,
217,i will take 1 book and 1 ball,,,,,,,,,
218,thanks,,,,,,,,,
219,i want the hat and 2 balls,,,,,,,,,
220,ok deal,,,,,,,,,
221,one ball and one hat for you,,,,,,,,,
222,ok,,,,,,,,,
223,the ball and one hat,,,,,,,,,
224,what would you like,,,,,,,,,
225,fine,,,,,,,,,
226,i need both hats and a book if you want all the balls,,,,,,,,,
227,"so 3 balls for you , the rest to me ?",,,,,,,,,
228,i'd like the balls for sure ; i'd like a hat but only if they're not of value to you .,,,,,,,,,
229,oh fine,,,,,,,,,
230,"yep , deal",,,,,,,,,
231,ideal would be the ball and two hats .,,,,,,,,,
232,"deal , i'll take the ball and one hat .",,,,,,,,,
233,what do you want ?,,,,,,,,,
234,i'd need the book at 3 hats to be at 6 . that's the best i can do .,,,,,,,,,
235,the book and hat for me,,,,,,,,,
236,deal,,,,,,,,,
237,hat and two balls for me,,,,,,,,,
238,"it would be hard for me to part with a hat . how about you get the ball and both books , and i keep the hats .",,,,,,,,,
239,"okay , deal .",,,,,,,,,
240,i'd like the ball and one hat,,,,,,,,,
241,"find , , ill just get the ball . i don't need the books",,,,,,,,,
242,"that works , i could definitely put a hat and the basketballs to use .",,,,,,,,,
243,i do a lot of reading outside and could really use a book and a hat .,,,,,,,,,
244,basketballs with hats on them are so cute . thanks,,,,,,,,,
245,"i'd like to have 2 balls , please . you can have the rest",,,,,,,,,
246,that sounds ok,,,,,,,,,
247,"can i have the the book , one hat and one ball",,,,,,,,,
248,"i really need that book too , you take book i take the rest",,,,,,,,,
249,i'd like the two hats and the book .,,,,,,,,,
250,you can have the three balls and a hat but i need that book .,,,,,,,,,
251,deal . i get the book you can have the rest .,,,,,,,,,
252,"i would like the hat , the rest to you",,,,,,,,,
253,i would like hat and 2 balls,,,,,,,,,
254,i accept,,,,,,,,,
255,i like 1 book 1 hat and 1 ball,,,,,,,,,
256,i really need that book more then balls,,,,,,,,,
257,"ok , deal",,,,,,,,,
258,i can offer 2 balls,,,,,,,,,
259,i can offer the book and 1 ball,,,,,,,,,
260,i can give you the books . i need the hat and ball,,,,,,,,,
261,i need it and the hat,,,,,,,,,
262,deal,,,,,,,,,
263,i would like the books and the ball .,,,,,,,,,
264,are you sure you split with the ball . .,,,,,,,,,
265,okay - as long as i get the books thats fine .,,,,,,,,,
266,you take the hats and i will take the book and the ball,,,,,,,,,
267,okay,,,,,,,,,
268,no deal . i want the book and the hats .,,,,,,,,,
269,i need the hat and ball you can have all the books,,,,,,,,,
270,why don't you make me an offer,,,,,,,,,
271,"not gonna happen , i have no wiggle room i need the hat and the ball",,,,,,,,,
272,that is my only offer,,,,,,,,,
273,no deal,,,,,,,,,
274,what do you need ?,,,,,,,,,
275,"that's not gonna work for me . i've got some flexibility , but not that . what else can you do ?",,,,,,,,,
276,all books and the hat ?,,,,,,,,,
277,well then why would i make you an offer ? that's the same thing you said before !,,,,,,,,,
278,then no .,,,,,,,,,
279,i would all the books and one ball and one hat,,,,,,,,,
280,ok i will take the 3 books and one hat,,,,,,,,,
281,you can take all the books but i would like 2 balls at least and one hat,,,,,,,,,
282,cool done deal !,,,,,,,,,
283,i need the balls as well . can we split the difference ?,,,,,,,,,
284,i would need the ball and two hats in order to make it work and that is giving me a very low score,,,,,,,,,
285,okay thank you !,,,,,,,,,
286,can i have balls ? you can have the rest .,,,,,,,,,
287,"ok . can i have 1 ball , 1 hat , and 1 book ?",,,,,,,,,
288,ok . i can take 1 ball and the book .,,,,,,,,,
289,"hi , can i have all the balls ?",,,,,,,,,
290,"sure , deal",,,,,,,,,
291,deal !,,,,,,,,,
292,if i can get the books you can have the rest,,,,,,,,,
293,"if i can have the book , you can have the rest",,,,,,,,,
294,okay that works ! thank you !,,,,,,,,,
295,can i have the book and the hat ?,,,,,,,,,
296,i would like all the balls and the hat .,,,,,,,,,
297,deal .,,,,,,,,,
298,hi i would like the ball and hats and you can have the books,,,,,,,,,
299,sorry that wont work for me . no deal,,,,,,,,,
300,i need the books and the hat,,,,,,,,,
301,i need the books and 1 ball,,,,,,,,,
302,"i will take the books , you take the rest",,,,,,,,,
303,eh everything really low for me i can give you the books,,,,,,,,,
304,"that leave me with only few points , i really cant afford give up the balls or hat at all",,,,,,,,,
305,"hi , i need the ball .",,,,,,,,,
306,"yes , just the ball is enough for me .",,,,,,,,,
307,ok just the ball then,,,,,,,,,
308,ok,,,,,,,,,
309,that doesnt work for me,,,,,,,,,
310,i get the rest,,,,,,,,,
311,"can i have the book and hat , you keep the balls ?",,,,,,,,,
312,"hmm , need the book ; what's your offer ?",,,,,,,,,
313,sure,,,,,,,,,
314,i'd like balls . you can have rest .,,,,,,,,,
315,i would like the book and the hat .,,,,,,,,,
316,"sorry , i need the book .",,,,,,,,,
317,positive . i can take the book and give you the rest even . that's the only option i have .,,,,,,,,,
318,no problem . no deal then .,,,,,,,,,
319,i think if we send a certain amount of messages it'll pop up . no deal .,,,,,,,,,
320,i'd like the book and a ball,,,,,,,,,
321,same . i don't think i can make a deal without the book . you sure you can't take the hat and even all three balls ?,,,,,,,,,
322,honestly that's the only option i have as well . no deal .,,,,,,,,,
323,i think we have to wait a moment for it to let us select no deal,,,,,,,,,
324,"agreed , no deal",,,,,,,,,
325,i want the books and one ball,,,,,,,,,
326,"ok , deal",,,,,,,,,
327,i need the hat and at least one book,,,,,,,,,
328,i would like just 2 books and 1 hat,,,,,,,,,
329,actually i would like 2 books and 2 hats ?,,,,,,,,,
330,ok ill keep 2 books and 1 hat u have the rest,,,,,,,,,
331,and i can have 1 hat and 3 balls ?,,,,,,,,,
332,"no sorry , i dont mind the books but i need 1 hat",,,,,,,,,
333,thanks,,,,,,,,,
334,which items do you want ?,,,,,,,,,
335,how about you take two balls and one book and i'll take one ball one hat and one book ?,,,,,,,,,
336,the balls and a book,,,,,,,,,
337,deal,,,,,,,,,
338,"how about you take the books , i take the rest",,,,,,,,,
339,i need the ball and you can have the rest,,,,,,,,,
340,"not going to work , i need atlest one hat and the ball",,,,,,,,,
341,i'll take that deal,,,,,,,,,
342,i need the book and the hat you can have the rest,,,,,,,,,
343,then i need the book and 3 balls,,,,,,,,,
344,deal,,,,,,,,,
345,i cannot give up the hat and the book,,,,,,,,,
346,you can have the book and two balls,,,,,,,,,
347,deal .,,,,,,,,,
348,give me your books and ill give you hats and ball,,,,,,,,,
349,book and two balls for me,,,,,,,,,
350,ok deal,,,,,,,,,
351,"how about book and 1 ball , i get the rest",,,,,,,,,
352,can i get the balls and the hat ?,,,,,,,,,
353,"ok , how about i take the hat and two balls and you take the rest ?",,,,,,,,,
354,no . i actually need the balls more than the hat . i really should keep them all .,,,,,,,,,
355,my kid brother's birthday is tomorrow and i havent had time to shop . we will need to split the balls . i don ; t need the hat but i do love to read,,,,,,,,,
356,how about i get 2 balls and the books and you get the rest ?,,,,,,,,,
357,alright i'm feeling nice tonight . i will take the books and 1 ball,,,,,,,,,
358,"i can let you have the ball , but only if i get everything else .",,,,,,,,,
359,"we can split 3 and 3 - - you take the hats , i get the books and ball .",,,,,,,,,
360,"back to where we started . you can have a book and a hat , i'll take the rest .",,,,,,,,,
361,"the number of items hardly matters , only their values .",,,,,,,,,
362,best i can do is give you the ball and one hat .,,,,,,,,,
363,i want the book ant two hats,,,,,,,,,
364,deal,,,,,,,,,
365,i want one of each .,,,,,,,,,
366,will you take the book and one hat instead ?,,,,,,,,,
367,the ball is critical to me . would you allow me to take the ball and two books ?,,,,,,,,,
368,i'd like 3 items as well,,,,,,,,,
369,ok . i'll take the ball and one book then,,,,,,,,,
370,i'll take a ball book and a hat,,,,,,,,,
371,how anout the ball and one book,,,,,,,,,
372,anything below that and i'm sunk mathmatically,,,,,,,,,
373,"one hat one book to me , all else to you",,,,,,,,,
374,okay,,,,,,,,,
375,i can't give up the ball and the hat . how about i get the ball and 2 books .,,,,,,,,,
376,not if i can have the ball and the hat .,,,,,,,,,
377,well i can't just take the books .,,,,,,,,,
378,okay that will have to work .,,,,,,,,,
379,i would like the ball and hat,,,,,,,,,
380,do you need the books ?,,,,,,,,,
381,i dont want them at all,,,,,,,,,
382,ill take 1 book 1 ball,,,,,,,,,
383,i want the ball and two hats,,,,,,,,,
384,ok,,,,,,,,,
385,can i have ball and book ?,,,,,,,,,
386,how about you take all hats and book ?,,,,,,,,,
387,hello .,,,,,,,,,
388,no . i will take the book . you can have the hat and three balls,,,,,,,,,
389,you keep the balls i keep the hat and the book,,,,,,,,,
390,okay,,,,,,,,,
391,if i can have the ball and the books you can have the hats,,,,,,,,,
392,okay deal . you can have one book and the hats .,,,,,,,,,
393,deal .,,,,,,,,,
394,i will need at least one book .,,,,,,,,,
395,ok .,,,,,,,,,
396,i want the balls . you can have the rest .,,,,,,,,,
397,"that's not going to happen , i'd like the book and 1 ball",,,,,,,,,
398,i'll give you the book for both balls and both hats,,,,,,,,,
399,deal,,,,,,,,,
400,i'd like all the hats and the book,,,,,,,,,
401,i'll give you both balls if i can have the book,,,,,,,,,
402,no go . you can have the book and one ball and i'll take both hats and one ball .,,,,,,,,,
403,i would like 1 book and 1 ball,,,,,,,,,
404,thanks,,,,,,,,,
405,deal,,,,,,,,,
406,i'll take the books . you can have the rest .,,,,,,,,,
407,ah ok . well then i disagree ; ),,,,,,,,,
408,yes,,,,,,,,,
409,"ok , but just to avoid getting the system warning i'm going to pretend to disagree . i disagree !",,,,,,,,,
410,"haha ok , so you just want the books ? because that works for me .",,,,,,,,,
411,"cool , it's a deal",,,,,,,,,
412,if i can have the book and the balls you can have the hats,,,,,,,,,
413,i can't accept that deal . can i have one of each ?,,,,,,,,,
414,then i would need everything else if you take the book,,,,,,,,,
415,okay thank you !,,,,,,,,,
416,"i cant accept that . how about i get the book and 1 hat , and you can get the balls and 1 hat ?",,,,,,,,,
417,i cant let go of the book .,,,,,,,,,
418,deal,,,,,,,,,
419,"what is more valuable to you , the book or ball ?",,,,,,,,,
420,i can offer you the book if you give me everything else,,,,,,,,,
421,book,,,,,,,,,
422,i need the book and the balls,,,,,,,,,
423,so i get the book and 2 hats ? that's a deal,,,,,,,,,
424,i have to have the book,,,,,,,,,
425,"no , i need at least one other item",,,,,,,,,
426,"i need the books , then i also need either a ball or a hat",,,,,,,,,
427,so i get books and a ball ?,,,,,,,,,
428,i can do the book and 2 hats or one of each .,,,,,,,,,
429,i meant for me . that's what i can do for me .,,,,,,,,,
430,then i'll take the rest .,,,,,,,,,
431,then i'll take 2 hats and 2 books .,,,,,,,,,
432,sorry . i meant i'll take 2 hats and 2 balls not book .,,,,,,,,,
433,yes .,,,,,,,,,
434,i'd like the ball and one hat,,,,,,,,,
435,"yeah , i need the ball , too . i'll take the ball and you can have the rest",,,,,,,,,
436,"oh , it's 9 for me , too !",,,,,,,,,
437,"well , how about i take the hats and the book , you get the ball",,,,,,,,,
438,deal thanks,,,,,,,,,
439,i have to have ball . you can have the rest .,,,,,,,,,
440,ball is 9 for me . no deal .,,,,,,,,,
441,haha . i guess we no deal till the button then . lol .,,,,,,,,,
442,sounds good to me .,,,,,,,,,
443,"hi , i want the ball and hat , you can have the 3 books",,,,,,,,,
444,deal,,,,,,,,,
445,i just want the 2 books,,,,,,,,,
446,deal .,,,,,,,,,
447,i have to have the balls with the book to make that work,,,,,,,,,
448,"how about i take 1 ball and the hats , you take 1 ball and the book",,,,,,,,,
449,"not possible , i need the same thing . no deal",,,,,,,,,
450,no deal,,,,,,,,,
451,no deal,,,,,,,,,
452,you can have the book if i can have the hats and balls,,,,,,,,,
453,i cannot give up the balls because they are too valuable to me,,,,,,,,,
454,"i would need the ball , 2 hats and the book",,,,,,,,,
455,ok no deal,,,,,,,,,
456,agreed,,,,,,,,,
457,i'd like balls .,,,,,,,,,
458,ill take the rest,,,,,,,,,
459,would you be willing to take all 3 hats instead ?,,,,,,,,,
460,"i'd prefer to keep the balls ; i'll accept your initial offer ; you can keep all the hats , they are no value to me . - - i'll just take the two balls .",,,,,,,,,
461,"one book and two hats for me , the rest for u",,,,,,,,,
462,"negative , book and a hat and a ball will work",,,,,,,,,
463,okay !,,,,,,,,,
464,i get the book since i love to read and a ball . you get the hat and 2 balls,,,,,,,,,
465,"unfortunately , that will not work for me . i would like the ball and two books and you can have the hat and two books if that works for you",,,,,,,,,
466,great ! thank you !,,,,,,,,,
467,i would like the hat and the ball,,,,,,,,,
468,"perfect , i'll take the hat and 2 books",,,,,,,,,
469,"balls are five , so i need one ball and all books and you keep the rest",,,,,,,,,
470,that won't work,,,,,,,,,
471,no deal,,,,,,,,,
472,no deal,,,,,,,,,
473,no deal,,,,,,,,,
474,if i can have the balls and the hats you can have the books,,,,,,,,,
475,you can have one ball and one book,,,,,,,,,
476,okay then no deal . sorry the balls are the most for me as well,,,,,,,,,
477,no deal,,,,,,,,,
478,no deal,,,,,,,,,
479,i will give you all 3 basketballs if i get the book and hat,,,,,,,,,
480,if you give 2 balls and the hat we could have a deal,,,,,,,,,
481,give me all 3 ball and the book and we have a deal,,,,,,,,,
482,i'll take one of each .,,,,,,,,,
483,"no , you may have all three balls and i will take the book and the hat .",,,,,,,,,
484,i must have the hat . the balls are 0 to me .,,,,,,,,,
485,deal .,,,,,,,,,
486,deal .,,,,,,,,,
487,"i'll take the bsall , you can have the rest .",,,,,,,,,
488,if i can have the hats and the ball you can have all of the books,,,,,,,,,
489,what will work for you ?,,,,,,,,,
490,"okay , i need those as well . maybe we can split the difference . i can take the ball and two books and you can take the hats and one book ?",,,,,,,,,
491,would you like two books instead of one ?,,,,,,,,,
492,okay well what will work for you ? i need the same items as you so i am trying to make a deal that will be beneficial to both of ua,,,,,,,,,
493,i am not on here to play you . i am on here to get the task done .,,,,,,,,,
494,no that will not work for me . i need the ball and the hats as well that is why i offered for you to take both hats and a book and for me to have the ball and two books,,,,,,,,,
495,the books are not worth anything to me . i was just trying to split the difference you can have two hats and two books if you want . final offer .,,,,,,,,,
496,hi what would you like,,,,,,,,,
497,sorry thats not going to work with me,,,,,,,,,
498,i need the ball and hat the books are too low for me,,,,,,,,,
499,idk that seems too low for me,,,,,,,,,
500,i dont know 2 books instead of one wont work,,,,,,,,,
501,how do i know youre not playing me ?,,,,,,,,,
502,can i have the ball and a hat then,,,,,,,,,
503,no if you wont takt that the means they are worth alot to you so i cant let you have them because one ball and one hat is worth the same as the rest for me,,,,,,,,,
504,sorr y no deal like i said the 3 books and 1 hat is worth the same as 1 ball and 1 hat,,,,,,,,,
505,no . how about i get the ball and you get the rest .,,,,,,,,,
506,no it has to be even . i'll take the ball and you get everything else . that seems fair .,,,,,,,,,
507,you must be seeing different values than me . i want the ball .,,,,,,,,,
508,"hello i would like the ball , the hat , and 2 books .",,,,,,,,,
509,no . i will take the ball and 1 book .,,,,,,,,,
510,i will take the ball and no books .,,,,,,,,,
511,then it seems we have reached an impasse .,,,,,,,,,
512,i will take the books and the hat .,,,,,,,,,
513,ok,,,,,,,,,
514,"i need the hat and at least one ball , you can have the books .",,,,,,,,,
515,i would like the books and the hat .,,,,,,,,,
516,"ok , so if i take two books , that's all you'll give me ?",,,,,,,,,
517,"if you give me the books , you can have the rest .",,,,,,,,,
518,"i would need all the balls , and at least a hat and one book or two books and all the balls .",,,,,,,,,
519,it's hard for me the way my values are spread out . what is of littlest value to you ?,,,,,,,,,
520,"alright , deal .",,,,,,,,,
521,"hi , i'll take the basketball , you can have everything else ?",,,,,,,,,
522,super,,,,,,,,,
523,hey what do you want ?,,,,,,,,,
524,both books,,,,,,,,,
525,what about a book and ball ?,,,,,,,,,
526,i'll give you 2 balls for 2 books,,,,,,,,,
527,hmmm i'll give you the 2 balls and 1 hat,,,,,,,,,
528,ok whatever 2 books for everything,,,,,,,,,
529,you first,,,,,,,,,
530,i can give you 1 book and a hat,,,,,,,,,
531,both books then,,,,,,,,,
