index,sentences,greeting,misc:books,misc:hats,misc:balls,need:books,need:hats,need:balls,offer:books,offer:hats,offer:balls,inquiry,agreement,thanks,numeric,same,annotated,cluster
57,"i would like the balls , hat and 2 books",False,,,,2,1,all,,,,,,False,,False,True,25
58,sorry that wont work .,False,,,,,,,,,,,No,False,,False,True,16
59,sorry looks like we wont be making a deal,False,,,,,,,,,,,No,False,,False,True,16
60,we keep saying no deal until the no deal button appears,False,,,,,,,,,,,No,False,,False,True,16
61,you get 2 books and i get the rest ?,False,,,,rest,all,all,2,,,,,False,,False,True,20
62,deal,False,,,,,,,,,,,Full,False,,False,True,0
63,so you want me to only have the ball ? no deal make me a better offer,False,,,,,,,,,,,No,False,,False,True,19
64,no deal ill take the books and the ball you can have the rest,False,,,,all,,1,,all,,,Counter,False,,False,True,-1
65,no ill take the books the hats and the balls then,False,,,,all,all,all,,,,,Counter,False,,False,True,35
66,it is an option .,False,,,,,,,,,,True,,False,,False,True,16
67,"you did not suggest hat and ball . you suggested i take the ball , that makes you unreasonable so dont be a hypocrite . you can have only the hats at this point",False,,,,all,,all,,all,,,,False,,False,True,19
68,if i can have the hats and the books you can have the ball,False,,,,all,all,,,,1,,,False,,False,True,-1
69,i will take the hats and two books and you can have the rest,False,,,,2,all,,rest,,all,,,False,,False,True,20
70,i can take the hats and one book and you can have the res,False,,,,1,all,,rest,,all,,,False,,False,True,27
71,clearly that isn't an option,False,,,,,,,,,,,No,False,,False,True,16
72,well it isn't going to happen . you can either try to make a deal or not . i am suggesting that i take the hats and a book or the ball . you are not being reasonable by wanting everything,False,,,,?,all,?,,,,,Counter,False,,False,True,-1
73,"hi there . i'd like a hat and a book , thank you much .",True,,,,1,1,,,,,,,False,,False,True,22
74,gracias !,False,,,,,,,,,,,,False,,False,True,16
75,deal,False,,,,,,,,,,,Full,False,,False,True,0
76,i need both balls and 1 book,False,,,,1,,2,,,,,,False,,False,True,29
77,okay so i get both balls and 1 book,False,,,,1,,2,,,,,,False,,False,True,29
78,deal .,False,,,,,,,,,,,Full,False,,False,True,13
79,"i'd like 2 hats , and 1 ball .",False,,,,,2,1,,,,,,False,,False,True,19
80,let's split them in half,False,,,,,1,,,1,,,,False,,False,True,16
81,i need that ball so bad ! what do you want ?,False,,,,,,1,,,,True,,False,,False,True,19
82,could i also have one hat maybe ? pretty please ?,False,,,,,1,,,,,,,False,,False,True,19
83,"if that's the offer , then you just take the book because they have no value for me .",False,,,,,,,1,,,,,False,,False,True,34
84,i mean i'll take the rest,False,,,,rest,rest,rest,,,,,,False,,False,True,16
85,"you drive a hard bargain here , ball and a book ?",False,,,,,1,1,,,,,,False,,False,True,-1
86,"hello , how about i get the book and the hats and you can have the balls ?",True,,,,1,all,,,,all,,,False,,False,True,-1
87,"ok , so the book and 2 balls for me and you get the hats and a ball ?",False,,,,1,,2,,all,1,,,False,,False,True,25
88,no i want the hats and a ball,False,,,,,all,1,,,,,Counter,False,,False,True,19
89,yes sounds perfect . deal,False,,,,,,,,,,,Yes,False,,False,True,16
90,i would like the ball and the books,False,,,,all,,1,,,,,,False,,False,True,21
91,i can not do that . i do need the ball .,False,,,,,,1,,,,,Counter,False,,False,True,19
92,you can have both hats . can i have 1 book and the ball ?,False,,,,1,,1,,2,,,,False,,False,True,29
93,okay . deal,False,,,,,,,,,,,Yes,False,,False,True,-1
94,i will give you both books and a hat,False,,,,,,,2,1,,,,False,,False,True,18
95,if you give me both hats and both books i will give you the ball,False,,,,2,2,,,,1,,,False,,False,True,-1
96,no i need both hats and both books,False,,,,2,2,,,,,,Counter,False,,False,True,24
97,"hi , i would like the ball and 2 hats and you can have the book and 1 hat",True,,,,,2,1,1,1,,,,False,,False,True,25
98,"ok , i can do that .",False,,,,,,,,,,,Yes,False,,False,True,16
99,i rather like the ball also . you can have all three hats if i get the ball and book .,False,,,,1,,1,,all,,,,False,,False,True,7
100,"hello , i would like the hats , and you can have the rest . i can also take 2 hats and the ball , giving you 1 hat and the books .",True,,,,,all,,all,,all,,,False,,False,True,25
101,"yeah i can do that , where i get 2 hats and the books as well",False,,,,all,2,,,,,,Counter,False,,False,True,20
102,deal,False,,,,,,,,,,,Full,False,,False,True,0
103,could i have the ball and 1 hat ?,False,,,,,1,1,,,,,,False,,False,True,19
104,yes . deal ?,False,,,,,,,,,,,Yes,False,,False,True,-1
105,"i'll take the book and hat , you can have the balls",False,,,,1,1,,,,all,,,False,,False,True,35
106,"i'll take the book , you can have the rest",False,,,,1,,,,all,all,,,False,,False,True,32
107,i really need that hat and two balls,False,,,,,1,2,,,,,,False,,False,True,19
108,deal,False,,,,,,,,,,,Full,False,,False,True,0
109,i would like 1 of each,False,,,,1,1,1,,,,,,False,,False,True,-1
110,i'll take ball and 1 hat,False,,,,,1,1,,,,,,False,,False,True,19
111,ok,False,,,,,,,,,,,Full,False,,False,True,5
112,i can't do that . i'll take the ball 2 books,False,,,,2,,1,,,,,Counter,False,,False,True,34
113,no sorry . how about i take the ball and you get the rest ?,False,,,,,,1,all,all,,,Counter,False,,False,True,19
114,i would like the ball and the books,False,,,,all,,1,,,,,,False,,False,True,21
115,thats not going to work for me unfortunately . i need the ball and at least 1 book minimum,False,,,,1,,1,,,,,Counter,False,,False,True,34
116,yes please . thank you,False,,,,,,,,,,,Full,False,,False,True,9
117,you can have the books but i would like the ball .,False,,,,,,1,all,,,,,False,,False,True,21
118,"hmm . okay , i think i can work with that . i take the hats , you get the ball and books ?",False,,,,,all,,all,,1,,Full,False,,False,True,35
119,"okay , it's a deal .",False,,,,,,,,,,,Full,False,,False,True,16
120,"i'd like the basketball and the hat , you can keep all 4 books ?",False,,,,,1,1,all,,,,,False,,False,True,26
121,deal .,False,,,,,,,,,,,Full,False,,False,True,13
122,i need the hats you can have everything else,False,,,,,all,,all,,all,,,False,,False,True,19
123,no deal . i need the hats or no deal .,False,,,,,all,,,,,,Counter,False,,False,True,19
124,no deal .,False,,,,,,,,,,,No Deal,False,,False,True,10
125,no deal .,False,,,,,,,,,,,No Deal,False,,False,True,10
126,no deal .,False,,,,,,,,,,,No Deal,False,,False,True,10
127,what would you like,False,,,,,,,,,,True,,False,,False,True,6
128,you take all balls and i keep everything,False,,,,all,all,,,,all,,,False,,False,True,19
129,no deal,False,,,,,,,,,,,No Deal,False,,False,True,1
130,no deal,False,,,,,,,,,,,No Deal,False,,False,True,1
131,no,False,,,,,,,,,,,No Deal,False,,False,True,2
132,balls and hats for me,False,,,,,all,all,,,,,,False,,False,True,15
133,yes deal,False,,,,,,,,,,,Full,False,,False,True,16
134,can i have one ball and the book ?,False,,,,1,,1,,,,,,False,,False,True,29
135,i'm interested in the book and both balls in exchange for the hats .,False,,,,1,,2,,all,,,,False,,False,True,23
136,"i think that's fair . i agree . 1 book , 1 ball for me . . . rest for you .",False,,,,1,,1,rest,all,rest,,Full,False,,False,True,-1
137,definitely not both balls . we could split them ?,False,,,,,,1,,,1,,Counter,False,,False,True,19
138,deal !,False,,,,,,,,,,,Full,False,,False,True,-1
139,"ok , i get rest",False,,,,,,,,,,,Full,False,,False,True,16
140,i want the ball,False,,,,,,1,,,,,,False,,False,True,19
141,deal,False,,,,,,,,,,,Full,False,,False,True,0
142,i can give you the hat and one of the books .,False,,,,,,,1,1,,,,False,,False,True,18
143,i'll take books and hat if you want the balls,False,,,,all,all,,,,all,,,False,,False,True,35
144,ok,False,,,,,,,,,,,Full,False,,False,True,5
145,hello,True,,,,,,,,,,,,False,,False,True,10
146,id rather give the balls than the hat,False,,,,,,,,0,all,,,False,,False,True,19
147,ill give you 2 balls and 1 book,False,,,,,,,1,,2,,,False,,False,True,25
148,hi . may i have the books and 1 hat ?,True,,,,all,1,,,,,,,False,,False,True,27
149,"if i can have both the books and 1 ball , you can have the rest .",False,,,,all,,1,,all,,,,False,,False,True,-1
150,deal !,False,,,,,,,,,,,Full,False,,False,True,-1
151,ok deal,False,,,,,,,,,,,Full,False,,False,True,8
152,i need 2 hats and 1 ball .,False,,,,,2,1,,,,,,False,,False,True,19
153,"i can part with the hat , but not 2 balls . i'll need at least two of them to make a deal .",False,,,,,,2,,1,,,,False,,False,True,-1
154,i'll take two balls and the book .,False,,,,1,,2,,,,,,False,,False,True,25
155,i would like the hat and two balls,False,,,,,1,2,,,,,,False,,False,True,19
156,"okay , i'll take the hat , one ball and one book ?",False,,,,1,1,1,,,,,,False,,False,True,29
157,sounds good,False,,,,,,,,,,,Full,False,,False,True,-1
158,thanks,False,,,,,,,,,,,Full,True,,False,True,12
159,if i can have the balls and the book you can have the hats,False,,,,1,,all,,all,,,,False,,False,True,-1
160,great ! thank you !,False,,,,,,,,,,,Full,False,,False,True,-1
161,i'll take one of each if that's ok ?,False,,,,1,1,1,,,,,,False,,False,True,16
162,ok,False,,,,,,,,,,,Full,False,,False,True,5
163,i need 2 hats . you can have the rest,False,,,,,2,,all,rest,all,,,False,,False,True,19
164,i get the books and a ball deal,False,,,,all,,1,,,,,,False,,False,True,28
165,i want two hats,False,,,,,2,,,,,,,False,,False,True,19
166,deal,False,,,,,,,,,,,Full,False,,False,True,0
167,i can give you one hat and the ball . i want 2 books and 1 hat,False,,,,2,1,,,1,1,,,False,,False,True,25
168,"sorry , i won`t make a deal without a hat",False,,,,,1,,,,,,Counter,False,,False,True,19
169,sorry can`t do,False,,,,,,,,,,,No Deal,False,,False,True,16
170,"yesh no deal , sorry",False,,,,,,,,,,,No Deal,False,,False,True,16
171,no deal,False,,,,,,,,,,,No Deal,False,,False,True,1
172,i need the hats and the ball,False,,,,,all,1,,,,,,False,,False,True,19
173,i have to have both hats and the ball or both hats and a book to make a deal,False,,,,?,2,?,,,,,,False,,False,True,36
174,if you take 1 hat i have to have everything else,False,,,,all,rest,all,,1,,,,False,,False,True,19
175,no deal,False,,,,,,,,,,,No Deal,False,,False,True,1
176,no deal,False,,,,,,,,,,,No Deal,False,,False,True,1
177,okay,False,,,,,,,,,,,Full,False,,False,True,4
178,you can have the balls if i can have the book and hat,False,,,,1,1,,,,all,,,False,,False,True,33
179,you can have the balls and one hat,False,,,,,,,,1,all,,,False,,False,True,19
180,okay thank you .,False,,,,,,,,,,,Full,False,,False,True,16
181,i'd like the hats and balls . what do you want ?,False,,,,,all,all,,,,True,,False,,False,True,17
182,okay .,False,,,,,,,,,,,Full,False,,False,True,16
183,i need the same . if i can't have the balls i can't make a deal,False,,,,,,all,,,,,Counter,False,,True,True,19
184,okay deal .,False,,,,,,,,,,,Full,False,,False,True,12
185,i need the balls and the hat,False,,,,,1,all,,,,,,False,,False,True,19
186,you can have the balls if i can have everything else,False,,,,all,all,,,,all,,,False,,False,True,19
187,"fine , i get both hats",False,,,,,2,,,,,,Yes,False,,False,True,19
188,i'll take the book and two balls you .,False,,,,1,2,,,,,,,False,,False,True,25
189,take all the balls i keep everything else,False,,,,all,all,,,,all,,,False,,False,True,19
190,"can i keep a hat at least , its cold",False,,,,,1,,,,,,,False,,False,True,19
191,deal,False,,,,,,,,,,,Full,False,,False,True,0
192,"nah , hats and a ball for me",False,,,,,all,all,,,,,No,False,,False,True,15
193,"ok , two hats and 2 balls for me",False,,,,,2,2,,,,,Yes,False,,False,True,19
194,how many balls do you need,False,,,,,,,,,?,True,,False,,False,True,19
195,could you just take the hat and give me the rest ?,False,,,,rest,rest,rest,,1,,,,False,,False,True,19
196,okay ill give you the hat and balls,False,,,,,,,,1,all,,Yes,False,,False,True,15
197,i need the balls and a hat,False,,,,,1,all,,,,,,False,,False,True,19
198,both,False,,,,,,,,,,,,False,2,False,True,16
199,not possible,False,,,,,,,,,,,No,False,,False,True,16
200,great,False,,,,,,,,,,,Yes,False,,False,True,-1
201,"ill give you all books with a hat , i get to keep a hats",False,,,,,1,,all,1,,,,False,,False,True,-1
202,deal,False,,,,,,,,,,,Full,False,,False,True,0
203,i'd like the hats and books,False,,,,all,all,,,,,,,False,,False,True,22
204,"how about this , i get the hats you take everything else . deal ?",False,,,,,all,,all,,all,,,False,,False,True,19
205,i'd like book and 1 ball or hat ?,False,,,,1,1?,1?,,,,,,False,,False,True,29
206,deal .,False,,,,,,,,,,,Full,False,,False,True,13
207,"hi , i would like 2 balls and 1 hat .",True,,,,,1?,2,,,,,,False,,False,True,19
208,"hmm , how about i get the 2 balls and you keep the rest ?",False,,,,,,2,rest,rest,rest,,,False,,False,True,19
209,i want the balls . i can offer you the rest .,False,,,,,,all,rest,rest,rest,,,False,,False,True,19
210,2 balls and a book to me ? if so that works for me .,False,,,,1,,2,,,,,,False,,False,True,28
211,can i have 1 ball and give you a book for it ?,False,,,,,,1,1,,,,,False,,False,True,29
212,i'd like the ball and two hats .,False,,,,,2,1,,,,,,False,,False,True,19
213,you can have the ball . i'll take the book and we can split the hats .,False,,,,1,split,,,split,1,,,False,,False,True,-1
214,"unfortunately the ball is highest value to me . only way i can give the ball up is if you give me everything else . otherwise , i can take the ball and the book and leave you the hats .",False,,,,rest,rest,rest,,,1,,,False,,False,True,-1
215,deal,False,,,,,,,,,,,Full,False,,False,True,0
216,sounds like a deal !,False,,,,,,,,,,,Full,False,,False,True,16
217,i will take 1 book and 1 ball,False,,,,1,,1,,,,,,False,,False,True,29
218,thanks,False,,,,,,,,,,,,True,,False,True,12
219,i want the hat and 2 balls,False,,,,,1,2,,,,,,False,,False,True,19
220,ok deal,False,,,,,,,,,,,Full,False,,False,True,3
221,one ball and one hat for you,False,,,,,,,,1,1,,,False,,False,True,19
222,ok,False,,,,,,,,,,,Full,False,,False,True,5
223,the ball and one hat,False,,1,1,,,,,,,,,False,,False,True,19
224,what would you like,False,,,,,,,,,,True,,False,,False,True,6
225,fine,False,,,,,,,,,,,Full,False,,False,True,-1
226,i need both hats and a book if you want all the balls,False,,,,1,2,,,,all,,,False,,False,True,36
227,"so 3 balls for you , the rest to me ?",False,,,,rest,rest,rest,,,3,,,False,,False,True,7
228,i'd like the balls for sure ; i'd like a hat but only if they're not of value to you .,False,,,,,1,all,,,,,,False,,False,True,19
229,oh fine,False,,,,,,,,,,,Full,False,,False,True,-1
230,"yep , deal",False,,,,,,,,,,,Full,False,,False,True,-1
231,ideal would be the ball and two hats .,False,,2,1,,,,,,,,,False,,False,True,19
232,"deal , i'll take the ball and one hat .",False,,,,,1,1,,,,,Full,False,,False,True,19
233,what do you want ?,False,,,,,,,,,,True,,False,,False,True,16
234,i'd need the book at 3 hats to be at 6 . that's the best i can do .,False,,,,1,3,,,,,,,False,,False,True,7
235,the book and hat for me,False,,,,1,1,,,,,,,False,,False,True,18
236,deal,False,,,,,,,,,,,Full,False,,False,True,0
237,hat and two balls for me,False,,,,,1,2,,,,,,False,,False,True,19
238,"it would be hard for me to part with a hat . how about you get the ball and both books , and i keep the hats .",False,,,,,all,,all,,1,,,False,,False,True,36
239,"okay , deal .",False,,,,,,,,,,,Full,False,,False,True,12
240,i'd like the ball and one hat,False,,,,,1,1,,,,,,False,,False,True,-1
241,"find , , ill just get the ball . i don't need the books",False,,,,0,,1,,,,,Yes,False,,False,True,19
242,"that works , i could definitely put a hat and the basketballs to use .",False,,,,,1,all,,,,,Yes,False,,False,True,14
243,i do a lot of reading outside and could really use a book and a hat .,False,,,,1,1,,,,,,,False,,False,True,23
244,basketballs with hats on them are so cute . thanks,False,,,,,all,all,,,,,,True,,False,True,14
245,"i'd like to have 2 balls , please . you can have the rest",False,,,,,,2,rest,rest,rest,,,False,,False,True,19
246,that sounds ok,False,,,,,,,,,,,Full,False,,False,True,16
247,"can i have the the book , one hat and one ball",False,,,,1,1,1,,,,,,False,,False,True,29
248,"i really need that book too , you take book i take the rest",False,,,,rest,rest,rest,1,,,,,False,,False,True,-1
249,i'd like the two hats and the book .,False,,,,1,2,,,,,,,False,,False,True,-1
250,you can have the three balls and a hat but i need that book .,False,,,,1,,,,1,3,,,False,,False,True,7
251,deal . i get the book you can have the rest .,False,,,,1,,,rest,rest,rest,,Yes,False,,False,True,32
252,"i would like the hat , the rest to you",False,,,,,1,,rest,rest,rest,,,False,,False,True,19
253,i would like hat and 2 balls,False,,,,,1,2,,,,,,False,,False,True,19
254,i accept,False,,,,,,,,,,,Full,False,,False,True,16
255,i like 1 book 1 hat and 1 ball,False,,,,1,1,1,,,,,,False,,False,True,29
256,i really need that book more then balls,False,,,,1,,,,,,,,False,,False,True,-1
257,"ok , deal",False,,,,,,,,,,,Full,False,,False,True,-1
258,i can offer 2 balls,False,,,,,,,,,2,,,False,,False,True,19
259,i can offer the book and 1 ball,False,,,,,,,1,,1,,,False,,False,True,29
260,i can give you the books . i need the hat and ball,False,,,,,1,1,all,,,,,False,,False,True,36
261,i need it and the hat,False,,,,,1,,,,,,,False,,False,True,19
262,deal,False,,,,,,,,,,,Full,False,,False,True,0
263,i would like the books and the ball .,False,,,,all,,1,,,,,,False,,False,True,21
264,are you sure you split with the ball . .,False,,,,,,1,,,,,,False,,False,True,19
265,okay - as long as i get the books thats fine .,False,,,,all,,,,,,,Yes,False,,False,True,-1
266,you take the hats and i will take the book and the ball,False,,,,1,,1,,all,,,,False,,False,True,35
267,okay,False,,,,,,,,,,,Full,False,,False,True,4
268,no deal . i want the book and the hats .,False,,,,1,all,,,,,,Counter,False,,False,True,-1
269,i need the hat and ball you can have all the books,False,,,,,1,1,all,,,,,False,,False,True,37
270,why don't you make me an offer,False,,,,,,,,,,True,,False,,False,True,16
271,"not gonna happen , i have no wiggle room i need the hat and the ball",False,,,,,1,1,,,,,Counter,False,,False,True,19
272,that is my only offer,False,,,,,,,,,,,,False,,False,False,16
273,no deal,False,,,,,,,,,,,No Deal,False,,False,True,1
274,what do you need ?,False,,,,,,,,,,True,,False,,False,True,16
275,"that's not gonna work for me . i've got some flexibility , but not that . what else can you do ?",False,,,,,,,,,,,No Deal,False,,False,True,16
276,all books and the hat ?,False,all,1,,,,,,,,,,False,,False,True,-1
277,well then why would i make you an offer ? that's the same thing you said before !,False,,,,,,,,,,,No Deal,False,,False,True,16
278,then no .,False,,,,,,,,,,,No Deal,False,,False,True,2
279,i would all the books and one ball and one hat,False,,,,all,1,1,,,,,,False,,False,True,29
280,ok i will take the 3 books and one hat,False,,,,3,1,,,,,,,False,,False,True,7
281,you can take all the books but i would like 2 balls at least and one hat,False,,,,,1,2,all,,,,,False,,False,True,25
282,cool done deal !,False,,,,,,,,,,,Full,False,,False,True,16
283,i need the balls as well . can we split the difference ?,False,,,,,,split,,,split,,,False,,False,True,19
284,i would need the ball and two hats in order to make it work and that is giving me a very low score,False,,,,,2,1,,,,,,False,,False,True,-1
285,okay thank you !,False,,,,,,,,,,,Full,True,,False,True,-1
286,can i have balls ? you can have the rest .,False,,,,,,all,rest,rest,,,,False,,False,True,19
287,"ok . can i have 1 ball , 1 hat , and 1 book ?",False,,,,1,1,1,,,,,,False,,False,True,29
288,ok . i can take 1 ball and the book .,False,,,,1,,1,,,,,,False,,False,True,29
289,"hi , can i have all the balls ?",True,,,,,,all,,,,,,False,,False,True,19
290,"sure , deal",False,,,,,,,,,,,Full,False,,False,True,16
291,deal !,False,,,,,,,,,,,Full,False,,False,True,-1
292,if i can get the books you can have the rest,False,,,,all,,,,rest,rest,,,False,,False,True,32
293,"if i can have the book , you can have the rest",False,,,,1,,,,rest,rest,,,False,,False,True,32
294,okay that works ! thank you !,False,,,,,,,,,,,Full,True,,False,True,16
295,can i have the book and the hat ?,False,,,,1,1,,,,,,,False,,False,True,18
296,i would like all the balls and the hat .,False,,,,,1,all,,,,,,False,,False,True,17
297,deal .,False,,,,,,,,,,,Full,False,,False,True,13
298,hi i would like the ball and hats and you can have the books,True,,,,,all,1,all,,,,,False,,False,True,-1
299,sorry that wont work for me . no deal,False,,,,,,,,,,,No Deal,False,,False,True,16
300,i need the books and the hat,False,,,,all,1,,,,,,,False,,False,True,24
301,i need the books and 1 ball,False,,,,all,,1,,,,,,False,,False,True,29
302,"i will take the books , you take the rest",False,,,,all,,,,rest,rest,,,False,,False,True,32
303,eh everything really low for me i can give you the books,False,,,,,,,,,,,,False,,False,False,-1
304,"that leave me with only few points , i really cant afford give up the balls or hat at all",False,,,,,,,,,,,,False,,False,False,-1
305,"hi , i need the ball .",True,,,,,,,,,,,,False,,False,False,19
306,"yes , just the ball is enough for me .",False,,,,,,,,,,,,False,,False,False,19
307,ok just the ball then,False,,,,,,,,,,,,False,,False,False,19
308,ok,False,,,,,,,,,,,Full,False,,False,True,5
309,that doesnt work for me,False,,,,,,,,,,,,False,,False,False,16
310,i get the rest,False,,,,,,,,,,,,False,,False,False,16
311,"can i have the book and hat , you keep the balls ?",False,,,,,,,,,,,,False,,False,False,-1
312,"hmm , need the book ; what's your offer ?",False,,,,,,,,,,,,False,,False,False,30
313,sure,False,,,,,,,,,,,Full,False,,False,True,-1
314,i'd like balls . you can have rest .,False,,,,,,,,,,,,False,,False,False,19
315,i would like the book and the hat .,False,,,,,,,,,,,,False,,False,False,-1
316,"sorry , i need the book .",False,,,,,,,,,,,,False,,False,False,-1
317,positive . i can take the book and give you the rest even . that's the only option i have .,False,,,,,,,,,,,,False,,False,False,-1
318,no problem . no deal then .,False,,,,,,,,,,,,False,,False,False,16
319,i think if we send a certain amount of messages it'll pop up . no deal .,False,,,,,,,,,,,,False,,False,False,16
320,i'd like the book and a ball,False,,,,,,,,,,,,False,,False,False,21
321,same . i don't think i can make a deal without the book . you sure you can't take the hat and even all three balls ?,False,,,,,,,,,,,,False,,False,False,7
322,honestly that's the only option i have as well . no deal .,False,,,,,,,,,,,,False,,False,False,16
323,i think we have to wait a moment for it to let us select no deal,False,,,,,,,,,,,,False,,False,False,16
324,"agreed , no deal",False,,,,,,,,,,,No Deal,False,,False,True,16
325,i want the books and one ball,False,,,,,,,,,,,,False,,False,False,29
326,"ok , deal",False,,,,,,,,,,,Full,False,,False,True,-1
327,i need the hat and at least one book,False,,,,,,,,,,,,False,,False,False,24
328,i would like just 2 books and 1 hat,False,,,,,,,,,,,,False,,False,False,20
329,actually i would like 2 books and 2 hats ?,False,,,,2,2,,,,,,,False,,False,True,20
330,ok ill keep 2 books and 1 hat u have the rest,False,,,,,,,,,,,,False,,False,False,20
331,and i can have 1 hat and 3 balls ?,False,,,,,1,3,,,,,,False,,False,True,7
332,"no sorry , i dont mind the books but i need 1 hat",False,,,,,,,,,,,,False,,False,False,-1
333,thanks,False,,,,,,,,,,,Full,True,,False,True,12
334,which items do you want ?,False,,,,,,,,,,,,False,,False,False,16
335,how about you take two balls and one book and i'll take one ball one hat and one book ?,False,,,,,,,,,,,,False,,False,False,25
336,the balls and a book,False,,,,,,,,,,,,False,,False,False,28
337,deal,False,,,,,,,,,,,Full,False,,False,True,0
338,"how about you take the books , i take the rest",False,,,,,,,,,,,,False,,False,False,32
339,i need the ball and you can have the rest,False,,,,,,,,,,,,False,,False,False,19
340,"not going to work , i need atlest one hat and the ball",False,,,,,,,,,,,,False,,False,False,19
341,i'll take that deal,False,,,,,,,,,,,,False,,False,False,16
342,i need the book and the hat you can have the rest,False,,,,,,,,,,,,False,,False,False,27
343,then i need the book and 3 balls,False,,,,,,,,,,,,False,,False,False,7
344,deal,False,,,,,,,,,,,Full,False,,False,True,0
345,i cannot give up the hat and the book,False,,,,,,,,,,,,False,,False,False,-1
346,you can have the book and two balls,False,,,,,,,,,,,,False,,False,False,25
