,sentences,greeting,need:books,need:hats,need:balls,offer:books,offer:hats,offer:balls,inquiry,agreement
191,i have no idea what i am doing,FALSE,,,,,,,,
192,what do you need ?,FALSE,,,,,,,,
193,if i can have the book and the balls you can have all of the hats,FALSE,,,,,,,,
194,"give me ball , rest to you",FALSE,,,,,,,,
195,i'll take the basketball and one hat .,FALSE,,,,,,,,
196,i'd really like 2 hats and a ball .,FALSE,,,,,,,,
197,can i get the hats and the balls ?,FALSE,,,,,,,,
198,"i need both books , you can have the hats and ball ?",FALSE,,,,,,,,
199,i would like both balls and the book .,FALSE,,,,,,,,
200,i'd love to have a hat and a book please .,FALSE,,,,,,,,
201,i'd like 1 book and 2 hats please,FALSE,,,,,,,,
202,i'd like 2 books and a ball .,FALSE,,,,,,,,
203,"i need two books , rest to you",FALSE,,,,,,,,
204,i would like the hat and two of the books please,FALSE,,,,,,,,
205,i'd like books . you can have rest .,FALSE,,,,,,,,
206,i'd like the book and either 2 hats or two balls .,FALSE,,,,,,,,
207,lemme get those hats,FALSE,,,,,,,,
208,would you like to just take the ball ?,FALSE,,,,,,,,
209,i want the ball and both hats .,FALSE,,,,,,,,
210,i would like the 2 hats .,FALSE,,,,,,,,
211,i would like the hats and you can have the rest .,FALSE,,,,,,,,
212,"hello , how about i get the hat and the books and you can have the balls ?",TRUE,,,,,,,,
213,if i can have the hats and the ball you can have the book,FALSE,,,,,,,,
214,"hi , i'd like to have the ball and book if i may",TRUE,,,,,,,,
215,could i have the basketball and the book . you can have those awesome john wayne style hats .,FALSE,,,,,,,,
216,do you want a book ?,FALSE,,,,,,,,
217,i want the ball a book and a hat .,FALSE,,,,,,,,
218,"hi , can i have the balls and one book ?",TRUE,,,,,,,,
219,i want the ball and hat,FALSE,,,,,,,,
220,i would like the ball and the books .,FALSE,,,,,,,,
221,i'd like 1 of each please ?,FALSE,,,,,,,,
222,if i can have the balls you can have everything else,FALSE,,,,,,,,
223,i would like the hat and the book .,FALSE,,,,,,,,
224,i would like to get my hands on the books,FALSE,,,,,,,,
225,i'd love a hat and basketball . you ?,FALSE,,,,,,,,
226,"if you could have any 2 , which would you want ?",FALSE,,,,,,,,
227,how does three books sound ?,FALSE,,,,,,,,
228,i need 3 hats and the book .,FALSE,,,,,,,,
229,i would like the ball and the books please,FALSE,,,,,,,,
230,i can let you have the hats if i get the balls and books .,FALSE,,,,,,,,
231,"hi , i need 2 books and one ball",TRUE,,,,,,,,
232,if i can have the book and the hats you can have the balls,FALSE,,,,,,,,
233,i'd like to get one of each,FALSE,,,,,,,,
234,i'd like the hats you can have the rest,FALSE,,,,,,,,
235,can i get a ball two hats and a book ?,FALSE,,,,,,,,
236,i would like all the hats please,FALSE,,,,,,,,
237,i get book and hats you get balls,FALSE,,,,,,,,
238,you can have all the balls if i get the rest,FALSE,,,,,,,,
239,"its real sunny out lately if i could have those hats i'd be much obliged , you can have the rest of the stuff .",FALSE,,,,,,,,
240,i'd love to have that ball . the ball and two hats .,FALSE,,,,,,,,
241,i would like the book and the hat .,FALSE,,,,,,,,
242,i'll take the hat . you can take the rest .,FALSE,,,,,,,,
243,"i get the book and both hats , you can have the balls .",FALSE,,,,,,,,
244,i would like the hats please,FALSE,,,,,,,,
245,if i can have the books and the balls you can have the hat,FALSE,,,,,,,,
246,i need 2 balls and 2 books .,FALSE,,,,,,,,
247,give me the hat and books,FALSE,,,,,,,,
248,how about 2 books and a hat for you and i will take the rest,FALSE,,,,,,,,
249,i'd like both books,,,,,,,,,
250,book and hats 1 ball,,,,,,,,,
251,"hi , can i have 2 hats and one book ?",,,,,,,,,
252,i need the ball and 1 hat,,,,,,,,,
253,i need the book and the hat you can have the balls,,,,,,,,,
254,i want the hat and book . you get the balls in exchange .,,,,,,,,,
255,i need the 4 balls and one hat and you could keep the book and one hat,,,,,,,,,
256,hey ! i'm looking at getting 2 books the rest can be yours !,,,,,,,,,
257,i will take the balls and the hat and you can have the books .,,,,,,,,,
258,i would like a hat and 3 books and 1 ball .,,,,,,,,,
259,"i'll take 1 ball , 1 hat and the book . you can have the rest .",,,,,,,,,
260,i need the hat and the ball you can have the books,,,,,,,,,
261,i'll take the ball and two hats .,,,,,,,,,
262,i need book and both hats,,,,,,,,,
263,ill give you the books ill take the ball and hat,,,,,,,,,
264,i need the hat and 2 books,,,,,,,,,
265,i'd like the ball and a book .,,,,,,,,,
266,i need the book you can have the rest,,,,,,,,,
267,i would like the books and the hat,,,,,,,,,
268,i would like the ball and both books,,,,,,,,,
269,you can have the books if i can have the rest,,,,,,,,,
270,"ok you take all hats , i get the rest",,,,,,,,,
271,what would you like,,,,,,,,,
272,"if i can have the hats , you can have the rest",,,,,,,,,
273,i'd like the hat and one ball,,,,,,,,,
274,a hat and a ball would be nice,,,,,,,,,
275,if i can have the book and the hat you can have the balls,,,,,,,,,
276,what do you want ?,,,,,,,,,
277,"i'll take the book , the ball , and one hat .",,,,,,,,,
278,can i have the books and the hats ?,,,,,,,,,
279,i'll take the basketball and both books .,,,,,,,,,
280,i need the hat the rest is yours,,,,,,,,,
281,"i would like a book , a ball , and a hat .",,,,,,,,,
282,"ill take the ball and books , you keep the hats",,,,,,,,,
283,i would like the book and 1 ball,,,,,,,,,
284,i would like the books and the hat .,,,,,,,,,
285,i want a hat a ball and two books,,,,,,,,,
286,how about you get one hat and one ball,,,,,,,,,
287,hi ! what would you like ?,,,,,,,,,
288,i want 3 books,,,,,,,,,
289,i'd like one ball and one hat,,,,,,,,,
290,i'll take all 5 items .,,,,,,,,,
291,i want the books and balls,,,,,,,,,
292,i need the book and 2 hats,,,,,,,,,
293,i'll take the books and ball if that's ok ?,,,,,,,,,
294,i need ball and 2 hats,,,,,,,,,
295,if i can have the hats and the balls you can have the book,,,,,,,,,
296,i need the hat and a book,,,,,,,,,
297,i need a book and 3 balls if possible,,,,,,,,,
298,i need two balls and 2 books,,,,,,,,,
299,i'd like 1 book and 1 ball .,,,,,,,,,
300,i want the hat and the balls .,,,,,,,,,
301,hats and ball for me,,,,,,,,,
302,"i'd like 1 book , and 2 balls . deal ?",,,,,,,,,
303,"how about i give you the books , i take the rest",,,,,,,,,
304,what would you like,,,,,,,,,
305,what do you think of hats ?,,,,,,,,,
306,i will take the books and hat you take the ball,,,,,,,,,
307,how about two balls for you,,,,,,,,,
308,i'd like the books and the hat in exchange for the balls .,,,,,,,,,
309,i would like the ball and 2 hats .,,,,,,,,,
310,"one hat to me , everything else to you",,,,,,,,,
311,i would like the hat and the balls .,,,,,,,,,
312,"you can have the balls , i need the hat and the book",,,,,,,,,
313,i'll take both the books and a hat . you can have the rest .,,,,,,,,,
314,"i'd like the hat and one ball , please .",,,,,,,,,
315,give me one of each,,,,,,,,,
316,i need the book and the hat,,,,,,,,,
317,i'd really like all the balls . what do you want ?,,,,,,,,,
318,i would like the hats and book,,,,,,,,,
319,hi,,,,,,,,,
320,ok how about you get 2 books,,,,,,,,,
321,if i can have the hat and the books i will give you the balls,,,,,,,,,
322,i'd like the hats and ball .,,,,,,,,,
323,need hats and book,,,,,,,,,
324,i'd like hats . you can have the rest .,,,,,,,,,
325,you can have everything but the hat,,,,,,,,,
326,i'll take the ball and books if you want the hats,,,,,,,,,
327,gimme hat,,,,,,,,,
328,i need the ball and 1 book .,,,,,,,,,
329,if i can have the hat and book you can ahve the balls,,,,,,,,,
330,i want one of each .,,,,,,,,,
331,if i can have the book and the balls you can have the hats,,,,,,,,,
332,if i can have the hats and the book you can have the balls,,,,,,,,,
333,i would like the hat 1 book and 1 ball,,,,,,,,,
334,give me all balls and hat,,,,,,,,,
335,i need the balls,,,,,,,,,
336,i need the book and the ball . you can have all the hats .,,,,,,,,,
337,i'll give you 1 hat and 1 book,,,,,,,,,
338,you can have all the hats if i get the book and the balls .,,,,,,,,,
339,i'll take the basketball if that's okay ? how do you want to split the rest ?,,,,,,,,,
340,i'll take all the hats and the balls .,,,,,,,,,
341,if i can have the books and the hats you can have the ball,,,,,,,,,
342,i'd like 1 book and 2 hats and you can have all the balls . deal ?,,,,,,,,,
343,"i'll take the books , you can keep the rest",,,,,,,,,
344,what would you like today ?,,,,,,,,,
345,"i want the ball , the book , and at least one hat .",,,,,,,,,
346,i would like the hat and 2 balls .,,,,,,,,,
347,i need the ball and 2 hats,,,,,,,,,
348,i would lik 2 books and 1 hat . you can have the rest,,,,,,,,,
349,the hat and one ball,,,,,,,,,
350,i'd like the hats . rest is negotiable .,,,,,,,,,
351,i would like the hat and the ball .,,,,,,,,,
352,i'd like the ball and a book please,,,,,,,,,
353,if i can have the hats and the ball you can have the books,,,,,,,,,
354,"how about you take the hats , i take the book and 2 balls",,,,,,,,,
355,i need the ball and one other item .,,,,,,,,,
356,i would like the book and 2 balls,,,,,,,,,
357,i just want the ball,,,,,,,,,
358,"i'll take the balls , you can have everything else",,,,,,,,,
359,i'll take the hats and the ball .,,,,,,,,,
360,"i need both hats , and 1 book .",,,,,,,,,
361,i want the hat and ball,,,,,,,,,
362,would you rather have the book or the ball ?,,,,,,,,,
363,i'd really like the books but i'm pretty flexible on everything else ? what are your thoughts ?,,,,,,,,,
364,hi i would like the hats and balls and you can have the books,,,,,,,,,
365,i would like the book and the balls and at least one hat .,,,,,,,,,
366,i need the balls and 1 book,,,,,,,,,
367,id like the books and the hat and would cede all balls to you,,,,,,,,,
368,which of these fabulous items strikes your fancy ?,,,,,,,,,
369,i want the ball and book,,,,,,,,,
370,i would like the hat at least . i can work with the rest,,,,,,,,,
371,how does one hat for you sound ?,,,,,,,,,
372,i would like 1 book and 2 balls .,,,,,,,,,
373,if i can have the balls and the hat you can have the books,,,,,,,,,
374,3 books 1 hat and you take rest,,,,,,,,,
375,i would like the hats and the balls,,,,,,,,,
376,"balls to me , else to you",,,,,,,,,
377,i'd like all 3 balls please .,,,,,,,,,
378,i'd like a hat and a ball,,,,,,,,,
379,you take all books and i keep the rest,,,,,,,,,
380,if i can have the hat and two books you can have one book and both balls,,,,,,,,,
381,i would like the hat and the balls .,,,,,,,,,
382,"i'd like the hats , you can have the rest .",,,,,,,,,
383,give me books and hats,,,,,,,,,
384,"i would like the ball , the book and a hat",,,,,,,,,
385,"i need hat , 2 books",,,,,,,,,
386,i need the book and atleast one ball,,,,,,,,,
387,i'd like the books please .,,,,,,,,,
388,i would like the book and the hats .,,,,,,,,,
389,"i'll take three of the books , you can have the rest .",,,,,,,,,
390,id like hats . you can have the rest .,,,,,,,,,
391,"hi , how about i take the hat and one ball",,,,,,,,,
392,"i would like the ball and hat , you have 3 books . . . .",,,,,,,,,
393,"i just need the hat , the rest to you",,,,,,,,,
394,i'll take two books and a ball if that works for you ?,,,,,,,,,
395,i would like a hat and the ball and you can have all the books,,,,,,,,,
396,ball and hats,,,,,,,,,
397,i would like the book and 4 of anything of your choosing .,,,,,,,,,
398,i just want two books and the hat,,,,,,,,,
399,hi can i have the basketballs ?,,,,,,,,,
400,i would like both balls and both hats .,,,,,,,,,
401,i could go for the balls,,,,,,,,,
402,let me get those two balls and a book,,,,,,,,,
403,i'd like the hats and balls . you can have the books .,,,,,,,,,
404,i would like both books . you can have the hat and two balls .,,,,,,,,,
405,that hat is super important to me . everything else is up for grabs . how about you ?,,,,,,,,,
406,i want the book and the ball,,,,,,,,,
407,"hello . i'd like a book , hat and one ball please . would you be willing to take two balls ?",,,,,,,,,
408,i would like the hat and the balls .,,,,,,,,,
409,you can have all of the balls if i can have the hats and book,,,,,,,,,
410,i'd like balls and books,,,,,,,,,
411,i'll give you 2 books and 1 hat,,,,,,,,,
412,i would like to offer you one hat,,,,,,,,,
413,i want two hats a ball and a book,,,,,,,,,
414,hello . i would like the hat and one ball .,,,,,,,,,
415,need bok,,,,,,,,,
416,"hi , i just need the balls",,,,,,,,,
417,i want the ball and book and 1 hat,,,,,,,,,
418,"i want a book , hat and 2 ball",,,,,,,,,
419,"hi , i want 2 hats and the ball .",,,,,,,,,
420,i need all the balls,,,,,,,,,
421,can i have the balls and a book ?,,,,,,,,,
422,you can have the book . i would like the cowboy hats and to split the basketballs .,,,,,,,,,
423,"gimme book and a hat , u have rest",,,,,,,,,
424,"hello , i would like 1 of each .",,,,,,,,,
425,hey there ! i'd like to take the hat and the balls . books all yours ?,,,,,,,,,
426,i want the book and hat .,,,,,,,,,
427,hello i want the ball and a hat please .,,,,,,,,,
428,what do you want,,,,,,,,,
429,"hi , i would like the book and hats and you can have the ball",,,,,,,,,
430,"hi , can i have 2 books and 2 hats ?",,,,,,,,,
431,"i'll take the book , and one basketball .",,,,,,,,,
432,give me the balls and the hat,,,,,,,,,
433,"hi , i need just the balls and we can end this fast , you can have the 3 hats and the 2 books",,,,,,,,,
434,take all the hats,,,,,,,,,
435,i want the balls and hat .,,,,,,,,,
436,ill take two balls and thehat,,,,,,,,,
437,"i'd like the hat , two books and a ball .",,,,,,,,,
438,"hi ! how about i take the book , and both balls . you can have every hat .",,,,,,,,,
439,"i will take hat , 1 book , and 1 basketball , you can have 2 books",,,,,,,,,
440,i would like a hat and a book,,,,,,,,,
441,i need the ball and 1 hat,,,,,,,,,
442,ill take the balls you can have the book and hat,,,,,,,,,
443,give me the balls and 2 books,,,,,,,,,
444,i want the balls and the hat,,,,,,,,,
445,gimme book and hats please,,,,,,,,,
446,"all hats , u take rest",,,,,,,,,
447,i'll take the hats and the ball .,,,,,,,,,
448,if i can have the books you can have everything else .,,,,,,,,,
449,i want the 4 hats please,,,,,,,,,
450,gimme the books,,,,,,,,,
451,i would like the hats,,,,,,,,,
452,what would you like,,,,,,,,,
453,i would like the books and a ball please ?,,,,,,,,,
454,"hi , i want the 2 hats , and the 2 balls . what do you need ?",,,,,,,,,
455,i need the book and the hat . i can offer you the 3 balls .,,,,,,,,,
456,"i want the books and hat , you get balls . deal ?",,,,,,,,,
457,if i can have one of each you can have two balls,,,,,,,,,
458,i'd like the hat and some balls ; are the books of value to you ?,,,,,,,,,
459,if i can have the book and the balls you can have the hats,,,,,,,,,
460,if i can have the books and the hat you can have the ball,,,,,,,,,
461,i want the hat and book,,,,,,,,,
462,i'd like the balls and books,,,,,,,,,
463,i will take the books and hat you can have the basketball,,,,,,,,,
464,"i want the ball , the books and 1 hat",,,,,,,,,
465,you can have the balls,,,,,,,,,
466,i want one of each,,,,,,,,,
467,gimme ball and hat,,,,,,,,,
468,i want a book and one ball .,,,,,,,,,
469,can i please have 2 hats and 1 ball ?,,,,,,,,,
470,hats and balls for me,,,,,,,,,
471,"hello , i'd like the two balls , and you can have the books and hat in return",,,,,,,,,
472,you can have the two books and 3 basketballs,,,,,,,,,
473,i need the book and 2 bals,,,,,,,,,
474,i'd like 2 books and 1 hat . deal ?,,,,,,,,,
475,hi can i have the hats ?,,,,,,,,,
476,i'd like the books and one hat,,,,,,,,,
477,i'll tak ? e the book you take the rest,,,,,,,,,
478,"if i can have the book and the balls , you could have al the hats .",,,,,,,,,
479,can i have the book and the hats ?,,,,,,,,,
480,i need the book and the hat you can have the rest,,,,,,,,,
481,if i can have the books you can have everything else,,,,,,,,,
482,i would like the hates and you can take everything else .,,,,,,,,,
483,"i want the book , the ball , and a hat .",,,,,,,,,
484,could i get two hats and two balls ?,,,,,,,,,
485,i want one of each,,,,,,,,,
486,i would like the balls and one hat .,,,,,,,,,
487,hi i would like the hat and ball and you can have the books,,,,,,,,,
488,"i would like the hat , one ball , one book .",,,,,,,,,
489,how bad do you want a book,,,,,,,,,
490,i want one of each .,,,,,,,,,
491,could i have both hats and a book .,,,,,,,,,
492,i'd like the books .,,,,,,,,,
493,can i have all the balls ?,,,,,,,,,
494,i'll take the books if you want the rest .,,,,,,,,,
495,"i'd like the balls , you can have the rest",,,,,,,,,
496,i would like the book and balls and one hat .,,,,,,,,,
497,i want the hat and a book .,,,,,,,,,
498,i want every single item .,,,,,,,,,
499,i get 1 hat and 1 book you get all the balls,,,,,,,,,
500,could i have the hat and one ball please,,,,,,,,,
501,"hi , can i have all the balls ?",,,,,,,,,
502,i just want the ball,,,,,,,,,
503,can i have the hats and a ball ?,,,,,,,,,
504,if i can have the ball and the books you can have the hat,,,,,,,,,
505,hi i would like the books and hats and you can have the ball,,,,,,,,,
506,what would you like,,,,,,,,,
507,"i will take the hat and books , you can have all the balls",,,,,,,,,
508,i'll take the book and one ball,,,,,,,,,
509,i'd like the hat and books ; you can have the balls,,,,,,,,,
