index,sentences,template
88,no i want the hats and a ball,_counteroffer _need (_hats:all _balls:1) 
89,yes sounds perfect . deal,_yes 
90,i would like the ball and the books,_need (_books:all _balls:1) 
91,i can not do that . i do need the ball .,_counteroffer _need (_balls:1) 
92,you can have both hats . can i have 1 book and the ball ?,_need (_books:1 _balls:1) _offer (_hats:2 ) 
93,okay . deal,_yes 
94,i will give you both books and a hat,_offer (_books:2 _hats:1 ) 
95,if you give me both hats and both books i will give you the ball,_need (_books:2 _hats:2 ) _offer (_balls:1) 
96,no i need both hats and both books,_counteroffer _need (_books:2 _hats:2 ) 
97,"hi , i would like the ball and 2 hats and you can have the book and 1 hat",_greeting _need (_hats:2 _balls:1) _offer (_books:1 _hats:1 ) 
98,"ok , i can do that .",_yes 
99,i rather like the ball also . you can have all three hats if i get the ball and book .,_need (_books:1 _balls:1) _offer (_hats:all ) 
100,"hello , i would like the hats , and you can have the rest . i can also take 2 hats and the ball , giving you 1 hat and the books .",_greeting _need (_hats:all ) _offer (_books:all _balls:all) 
101,"yeah i can do that , where i get 2 hats and the books as well",_counteroffer _need (_books:all _hats:2 ) 
103,could i have the ball and 1 hat ?,_need (_hats:1 _balls:1) 
104,yes . deal ?,_yes 
105,"i'll take the book and hat , you can have the balls",_need (_books:1 _hats:1 ) _offer (_balls:all) 
106,"i'll take the book , you can have the rest",_need (_books:1 ) _offer (_hats:all _balls:all) 
107,i really need that hat and two balls,_need (_hats:1 _balls:2) 
109,i would like 1 of each,_need (_books:1 _hats:1 _balls:1) 
110,i'll take ball and 1 hat,_need (_hats:1 _balls:1) 
112,i can't do that . i'll take the ball 2 books,_counteroffer _need (_books:2 _balls:1) 
113,no sorry . how about i take the ball and you get the rest ?,_counteroffer _need (_balls:1) _offer (_books:all _hats:all ) 
115,thats not going to work for me unfortunately . i need the ball and at least 1 book minimum,_counteroffer _need (_books:1 _balls:1) 
116,yes please . thank you,_deal 
117,you can have the books but i would like the ball .,_need (_balls:1) _offer (_books:all ) 
118,"hmm . okay , i think i can work with that . i take the hats , you get the ball and books ?",_deal _need (_hats:all ) _offer (_books:all _balls:1) 
119,"okay , it's a deal .",_deal 
120,"i'd like the basketball and the hat , you can keep all 4 books ?",_need (_hats:1 _balls:1) _offer (_books:all ) 
122,i need the hats you can have everything else,_need (_hats:all ) _offer (_books:all _balls:all) 
123,no deal . i need the hats or no deal .,_counteroffer _need (_hats:all ) 
124,no deal .,_nodeal 
128,you take all balls and i keep everything,_need (_books:all _hats:all ) _offer (_balls:all) 
129,no deal,_nodeal 
131,no,_nodeal 
132,balls and hats for me,_need (_hats:all _balls:all) 
133,yes deal,_deal 
134,can i have one ball and the book ?,_need (_books:1 _balls:1) 
135,i'm interested in the book and both balls in exchange for the hats .,_need (_books:1 _balls:2) _offer (_hats:all ) 
136,"i think that's fair . i agree . 1 book , 1 ball for me . . . rest for you .",_deal _need (_books:1 _balls:1) _offer (_books:rest _hats:all _balls:rest) 
137,definitely not both balls . we could split them ?,_counteroffer _need (_balls:1) _offer (_balls:1) 
138,deal !,_deal 
139,"ok , i get rest",_deal 
140,i want the ball,_need (_balls:1) 
142,i can give you the hat and one of the books .,_offer (_books:1 _hats:1 ) 
143,i'll take books and hat if you want the balls,_need (_books:all _hats:all ) _offer (_balls:all) 
145,hello,_greeting 
146,id rather give the balls than the hat,_offer (_hats:0 _balls:all) 
147,ill give you 2 balls and 1 book,_offer (_books:1 _balls:2) 
148,hi . may i have the books and 1 hat ?,_greeting _need (_books:all _hats:1 ) 
149,"if i can have both the books and 1 ball , you can have the rest .",_need (_books:all _balls:1) _offer (_hats:all ) 
151,ok deal,_deal 
152,i need 2 hats and 1 ball .,_need (_hats:2 _balls:1) 
153,"i can part with the hat , but not 2 balls . i'll need at least two of them to make a deal .",_need (_balls:2) _offer (_hats:1 ) 
154,i'll take two balls and the book .,_need (_books:1 _balls:2) 
155,i would like the hat and two balls,_need (_hats:1 _balls:2) 
156,"okay , i'll take the hat , one ball and one book ?",_need (_books:1 _hats:1 _balls:1) 
157,sounds good,_deal 
158,thanks,_deal _thanks 
159,if i can have the balls and the book you can have the hats,_need (_books:1 _balls:all) _offer (_hats:all ) 
160,great ! thank you !,_deal 
161,i'll take one of each if that's ok ?,_need (_books:1 _hats:1 _balls:1) 
163,i need 2 hats . you can have the rest,_need (_hats:2 ) _offer (_books:all _hats:rest _balls:all) 
164,i get the books and a ball deal,_need (_books:all _balls:1) 
165,i want two hats,_need (_hats:2 ) 
167,i can give you one hat and the ball . i want 2 books and 1 hat,_need (_books:2 _hats:1 ) _offer (_hats:1 _balls:1) 
168,"sorry , i won`t make a deal without a hat",_counteroffer _need (_hats:1 ) 
169,sorry can`t do,_nodeal 
170,"yesh no deal , sorry",_nodeal 
172,i need the hats and the ball,_need (_hats:all _balls:1) 
173,i have to have both hats and the ball or both hats and a book to make a deal,_need (_books:? _hats:2 _balls:?) 
174,if you take 1 hat i have to have everything else,_need (_books:all _hats:rest _balls:all) _offer (_hats:1 ) 
178,you can have the balls if i can have the book and hat,_need (_books:1 _hats:1 ) _offer (_balls:all) 
179,you can have the balls and one hat,_offer (_hats:1 _balls:all) 
180,okay thank you .,_deal 
181,i'd like the hats and balls . what do you want ?,_need (_hats:all _balls:all) 
182,okay .,_deal 
183,i need the same . if i can't have the balls i can't make a deal,_counteroffer _need (_balls:all) 
184,okay deal .,_deal 
200,great,_deal 
210,2 balls and a book to me ? if so that works for me .,_need (_books:1 _balls:2) 
225,fine,_deal 
239,"okay , deal .",_deal 
244,basketballs with hats on them are so cute . thanks,_thanks 
257,"ok , deal",_deal 
264,are you sure you split with the ball . .,_need (_balls:1) 
276,all books and the hat ?,_misc (_books:all _hats:1 ) 
278,then no .,_nodeal 
285,okay thank you !,_deal 
313,sure,_deal 
324,"agreed , no deal",_nodeal 
329,actually i would like 2 books and 2 hats ?,_need (_books:2 _hats:2 ) 
331,and i can have 1 hat and 3 balls ?,_need (_hats:1 _balls:3) 
349,book and two balls for me,_need (_books:1 _balls:2) 
357,alright i'm feeling nice tonight . i will take the books and 1 ball,_need (_books:all _balls:1) 
360,"back to where we started . you can have a book and a hat , i'll take the rest .",_need (_books:rest _hats:rest _balls:rest) _offer (_books:1 _hats:1 ) 
362,best i can do is give you the ball and one hat .,_offer (_hats:1 _balls:1) 
395,ok .,_deal 
407,ah ok . well then i disagree ; ),_nodeal 
421,book,_misc (_books:1 ) 
440,ball is 9 for me . no deal .,_nodeal _need (_balls:1) 
456,agreed,_deal 
469,"balls are five , so i need one ball and all books and you keep the rest",_need (_books:all _balls:1) _offer (_books:rest _hats:rest _balls:rest) 
520,"alright , deal .",_deal 
533,nope,_nodeal 
543,ball to me or no deal,_need (_balls:1) 
546,yup,_deal 
549,balls and books for me,_need (_books:all _balls:all) 
550,"balls for me , everything else for you",_need (_balls:all) _offer (_books:rest _hats:rest _balls:rest) 
597,yep,_deal 
607,thank you !,_deal 
620,awesome !,_deal 
621,i agree .,_deal 
628,ball is worth much more to me,_need (_balls:1) 
635,okay deal,_deal 
646,sounds good .,_deal 
649,2 balls and one hat . i won`t go any low,_need (_hats:1 _balls:2) 
664,"aw , there's really no value in that for me . . any chance we can split these evenly down the middle ?",_need (_books:1 _hats:1 _balls:1) _offer (_books:1 _hats:1 _balls:1) 
684,"as i said i dont need hats at all , i can either give you the ball and hats and i take just books",_need (_books:all ) _offer (_hats:all _balls:1) 
690,okay no deal .,_nodeal 
739,2 balls and 2 hats,_misc (_hats:2 _balls:2) 
753,"agreed , deal .",_deal 
759,okay great ! thank you !,_deal 
776,"ok , deal .",_deal 
783,thank you .,_deal 
819,"book to me , all else to you",_need (_books:1 ) _offer (_books:rest _hats:rest _balls:rest) 
822,alright you take the ball and i'll take the rest .,_need (_books:rest _hats:rest _balls:rest) _offer (_balls:1) 
847,"and so you shall have them , if i get the rest",_yes _need (_books:rest _hats:rest _balls:rest) 
851,"actually , that's going to be my final offer . i get the book only . otherwise we can say no deal .",_need (_books:1 ) 
870,and i am agreeing with you . no deals .,_nodeal 
923,agreed on the no deal,_nodeal 
932,balls are 0 for me .,_need (_balls:0) 
982,2 balls for me and 2 hats and a book for you ?,_need (_balls:2) _offer (_books:1 _hats:2 ) 
999,no way,_nodeal 
1009,bet i take the hats and the ball,_need (_hats:all _balls:1) 
1013,"alright , i'd like to keep the balls and the book if you like the point value of the 3 hats . . . . otherwise , if the book is worth a lot and the hats are not , i'll take the balls and 1 hat instead .",_counteroffer _need (_books:1 _balls:all) _offer (_hats:all ) 
1027,are we lookin at no deal ?,_nodeal 
1028,ball so important during march madness,_need (_balls:1) 
1097,"1 hat , 2 books",_misc (_books:2 _hats:1 ) 
1100,book and 3 hats for me,_need (_books:1 _hats:3 ) 
1157,thank you,_deal _thanks 
1230,i can do that,_deal 
1244,best deal is you can have the ball and 1 hat,_offer (_hats:1 _balls:1) 
1260,book is ten for you ?,_misc (_books:1 ) 
1277,"book with hat , you get hat and two bballs",_need (_books:1 _hats:1 ) _offer (_hats:1 _balls:2) 
1284,no deal then .,_nodeal 
1328,book and hats 1 ball,_misc (_books:1 _hats:all _balls:1) 
1329,1 book 3 hats 1 ball,_misc (_books:1 _hats:3 _balls:1) 
1330,1 book 3 hats,_misc (_books:1 _hats:3 ) 
1331,1 book 2 hats 1 ball,_misc (_books:1 _hats:2 _balls:1) 
1352,"balls are 0 for me . i want hat , all the rest for you",_need (_hats:1 _balls:0) _offer (_books:rest _hats:rest _balls:rest) 
1404,then no deal,_nodeal 
1413,any chance you'd take three books and i could have the hat and two balls ?,_need (_hats:1 _balls:2) _offer (_books:3 ) 
1414,"alright , two balls and two books for me then ?",_counteroffer _need (_books:2 _balls:2) 
1437,agreed . no deal .,_nodeal 
1440,sorry no deal,_nodeal 
1445,and 1 book along with 1 ball ?,_misc (_books:1 _balls:1) 
1452,no can do,_nodeal 
1453,all books with either the hat or ball,_misc (_books:all _hats:? _balls:?) 
1463,okay great !,_deal 
1471,a hat and a ball would be nice,_need (_hats:1 _balls:1) 
1477,alright then .,_deal 
1559,no deal then,_nodeal 
1566,"ok , no deal",_nodeal 
1577,"2 books , one ball",_misc (_books:2 _balls:1) 
1610,ok deal .,_deal 
1630,ball and one hat,_misc (_hats:1 _balls:1) 
1718,hi,_greeting 
1726,a ball and 2 books then,_misc (_books:2 _balls:1) 
1730,never,_nodeal 
1832,thanks !,_deal _thanks 
1855,books and hats,_misc (_books:all _hats:all ) 
1876,any chance you can re - evaluate your points ? the hats are the only thing of value to me .,_need (_hats:all ) 
1877,"alright , i'll concede with 2 hats and the book ?",_counteroffer _misc (_books:1 _hats:2 ) 
1896,"book is my bigger item , worth 4 , if i could have the book and hat it brings me to 6 and i can live with that .",_need (_books:1 _hats:1 ) 
1903,i can't do that,_nodeal 
1927,alright - we split the hats - you take the books - i take the ball .,_deal 
1945,book . and split the hats ?,_misc (_books:1 ) _need (_hats:1 ) _offer (_hats:1 ) 
1998,"yup , no deal was agreed",_nodeal 
2010,3 books 1 hat and you take rest,_need (_books:3 _hats:1 ) _offer (_books:rest _hats:rest _balls:rest) 
2011,2 books 2 hat,_misc (_books:2 _hats:2 ) 
2021,"balls to me , else to you",_need (_balls:all) _offer (_books:rest _hats:rest _balls:rest) 
2051,actually i need all hats and you can have books but i need balls,_need (_hats:all _balls:all) _offer (_books:all ) 
2055,"all books to me , you get rest",_need (_books:all ) _offer (_books:rest _hats:rest _balls:rest) 
2057,"actually i just need the book , so you can have the rest of it",_need (_books:1 ) _offer (_hats:rest _balls:rest) 
2116,ball and hats,_need (_hats:all _balls:1) 
2117,ball or no deal,_need (_balls:1) 
2127,and now we keep saying no deal til the button appears,_nodeal 
2157,any chance we can rub two balls and two hats ?,_need (_hats:2 _balls:2) 
2161,agreed .,_deal 
2227,amusing . . . no deal,_nodeal 
2259,"book mine , you get rest plus this half eaten snickers bar i got in my pocket",_need (_books:1 ) _offer (_books:rest _hats:rest _balls:rest) 
2270,"as you want it , i`ll have 1 point",_nodeal 
2275,"as you want it , i'll have 2 points . so no deal .",_nodeal 
2354,"again , i get zero value on the books",_need (_books:0 ) 
2382,"2 balls to me , rest for you",_need (_balls:2) _offer (_books:rest _hats:rest _balls:rest) 
2390,because you weren't working with me initially over the balls . no deal,_nodeal 
2394,and one book,_misc (_books:1 ) 
2402,"all hats , u take rest",_need (_hats:all ) _offer (_books:rest _hats:rest _balls:rest) 
2477,. no deal,_nodeal 
2518,book and 1 ball for me,_need (_books:1 _balls:1) 
2542,ball for me or no deal,_need (_balls:1) 
2634,how about yes,_deal 
2662,any chance you can leave the books to me and take the hats and the ball ?,_need (_books:all ) _offer (_hats:all _balls:all) 
2690,book for me and 2 hats rest for you,_need (_books:1 _hats:2 ) _offer (_books:rest _hats:rest _balls:rest) 
2698,lol no,_nodeal 
2702,2 books and a ball ?,_misc (_books:2 _balls:1) 
2711,4 hats and no ball ?,_misc (_hats:4 _balls:0) 
2728,thx,_deal _thanks 
2742,2 books and hat for you . deal,_deal _offer (_books:2 _hats:1 ) 
2753,ball and one hat for you then,_offer (_hats:1 _balls:1) 
2781,"actually , i'll let you have 1 book and 3 balls . i'll take 1 ball , and 1 hat , and 1 book .",_need (_books:1 _hats:1 _balls:1) _offer (_books:1 _balls:3) 
2785,"alright , that sounds good . thank you !",_deal 
2809,cool,_deal 
2839,no deal thn,_nodeal 
2890,"alright , i'll tell you what . . . . i'll give ya all the balls and just keep the rest of the junk",_counteroffer _need (_books:rest _hats:rest _balls:rest) _offer (_balls:all) 
2891,"ah come on , man , these balls were signed by lebron jordan ! you know they're gonna be big on the open market !",_misc (_balls:all) 
2896,ball to me then,_need (_balls:1) 
2907,book and ball to me,_need (_books:1 _balls:1) 
2914,"book and one hat , i will take ball and two hats .",_need (_hats:2 _balls:1) _offer (_books:1 _hats:1 ) 
2916,best i can do is ball and two hats or book and one hat .,_misc (_hats:2 _balls:1) 
2920,"ball is worth a small amount , id really just like the book",_need (_books:1 ) 
2921,are the hats worth anything to you ?,_misc (_hats:all ) 
2942,agree,_deal 
2943,"absolutely not . i'm taking that book , you can have the rest if you'd like .",_counteroffer _need (_books:1 ) _offer (_books:rest _hats:rest _balls:rest) 
2961,ball is needed,_need (_balls:1) 
3004,are you sure i can't have one book ?,_need (_books:1 ) 
3012,3 books,_misc (_books:3 ) 
3053,agreed that is fine,_deal 
3107,gov't,_nodeal 
3134,ok thanks,_deal 
3136,alrighty sounds good .,_deal 
3140,deal . thank you .,_deal _thanks 
3186,alright .,_deal 
3188,all i need is the book,_need (_books:1 ) 
3191,done thankls,_deal 
3192,3 hats a 1 ball are yours,_offer (_hats:3 _balls:1) 
3196,all your balls . . .,_misc (_balls:all) 
3206,agreed . no deal,_nodeal 
3209,books and hat for me,_need (_books:all _hats:1 ) 
3238,appreciate it ! deal !,_deal _thanks 
3250,"balls are only 1 for me , so can't do that",_nodeal 
3303,deal . take care .,_deal 
3338,and also one ball ?,_misc (_balls:1) 
3369,1 book 2 hats,_misc (_books:1 _hats:2 ) 
3373,2 balls,_misc (_balls:2) 
3376,and i keep the rest,_need (_books:rest _hats:rest _balls:rest) 
3430,book and one ball,_misc (_books:1 _balls:1) 
3438,and i can have the rest ?,_need (_books:rest _hats:rest _balls:rest) 
3455,all balls and books to me,_need (_books:all _balls:all) 
3548,basically i am giving you everything but the books,_need (_books:all ) _offer (_books:rest _hats:rest _balls:rest) 
3575,book and 2 balls to me,_need (_books:1 _balls:2) 
3653,"alright , sounds good . thank you !",_deal 
3655,"ouch , no deal",_nodeal 
3705,great !,_deal 
3715,1 hat and 1 ball for you ?,_offer (_hats:1 _balls:1) 
3755,< 3,_thanks 
3771,nah,_nodeal 
3831,all balls and one hat . deal ?,_misc (_hats:1 _balls:all) 
3852,no ?,_nodeal 
3870,2 hats would be great,_need (_hats:2 ) 
3878,ball is the highest value item . ; the only way i can get rid of the ball is for everything else on the table .,_need (_balls:1) 
3933,ball and two books ?,_need (_books:2 _balls:1) 
3940,1 of each,_misc (_books:1 _hats:1 _balls:1) 
3955,and i'll take both books and one hat ?,_need (_books:2 _hats:1 ) 
3968,4 / 1 items is not very fair . i will give you all 3 books if i can have the hat and the ball,_counteroffer _need (_hats:1 _balls:1) _offer (_books:3 ) 
3969,ball and hats for me,_need (_hats:all _balls:1) 
3970,1 ball and 1 hat for me,_need (_hats:1 _balls:1) 
3972,ball and hat or both hats for me,_need (_hats:1 _balls:1) 
4055,all of it,_misc (_books:all _hats:all _balls:all) 
4081,and the ball,_misc (_balls:1) 
4083,and the book or ball,_misc (_books:? _balls:?) 
4088,all hats,_misc (_hats:all ) 
4171,are you serious ? i just told you its worth 8 points for me why the hell would i take everything else ?,_nodeal 
4173,"aint doing me much good , gonna need that hat one way or another .",_counteroffer _need (_hats:1 ) 
4242,alright . i'll keep the books .,_yes _need (_books:all ) 
4260,as long as i can keep the book .,_need (_books:1 ) 
4280,2 hats and 1 ball for me - the rest for you,_need (_hats:2 _balls:1) _offer (_books:rest _hats:rest _balls:rest) 
4304,"absolutely not . no way no how . jeez , wouldn't it be rotten if we wasted this whole entire time waiting to just get rejected for having different deals ?",_nodeal 
4330,1 book,_misc (_books:1 ) 
4368,"and people in hell want ice water , best come up with some sort of offer .",_nodeal 
4373,and two books and a hat ?,_misc (_books:2 _hats:1 ) 
4374,all the books and a ball .,_misc (_books:all _balls:1) 
4375,a ball and a hat ?,_misc (_hats:1 _balls:1) 
4429,alright you take the ball and 1 hat . i will take the rest .,_need (_books:rest _hats:rest _balls:rest) _offer (_hats:1 _balls:1) 
4446,ball and one hat for you ?,_offer (_hats:1 _balls:1) 
4489,books and balls to me,_need (_books:all _balls:all) 
4519,agreed if you take the hat and one book,_deal _offer (_books:1 _hats:1 ) 
4595,"book and hats to you , book and two balls to mw",_need (_books:1 _balls:2) _offer (_books:1 _hats:all ) 
4722,"all books to me , u have else",_need (_books:all ) _offer (_books:rest _hats:rest _balls:rest) 
4731,thanks .,_deal 
4733,1 of each ?,_misc (_books:1 _hats:1 _balls:1) 
4749,"alright , deal . thank you .",_deal _thanks 
4758,1 hat and 1 ball .,_misc (_hats:1 _balls:1) 
4759,"1 hat , 1 ball , no book , extra butter",_misc (_books:0 _hats:1 _balls:1) 
4760,2 hats no balls no books .,_misc (_books:0 _hats:2 _balls:0) 
4764,2 hats and one ball ?,_misc (_hats:2 _balls:1) 
4765,"1 hat , 1 ball , 2 books and a stick of butter",_misc (_books:2 _hats:1 _balls:1) 
4766,"1 hat , 1 ball , 1 book .",_misc (_books:1 _hats:1 _balls:1) 
4768,and 1 hat,_misc (_hats:1 ) 
4793,blah blah blah books .,_misc (_books:all ) 
4800,"any chance you'll give me the hat and ball , you can keep all 4 books ?",_need (_hats:1 _balls:1) _offer (_books:all ) 
4831,2 books 1 ball for me and you keep the rest,_need (_books:2 _balls:1) _offer (_books:rest _hats:rest _balls:rest) 
4832,1 book and all hats for you,_offer (_books:1 _hats:all ) 
4858,"balls to you , i take rest",_need (_books:rest _hats:rest _balls:rest) _offer (_balls:all) 
4887,"before i say yes , any chance you can leave the hat and just take the books ? : )",_need (_hats:1 ) _offer (_books:all ) 
4948,alternatively i can take both hats and 1 book .,_need (_books:1 _hats:2 ) 
4977,"amusing . . . all hats for me , ball and book for you",_need (_hats:all ) _offer (_books:1 _balls:1) 
5005,agreed upon,_deal 
5011,a hat for the ball ?,_need (_balls:1) _offer (_hats:1 ) 
5029,"all balls to me , you have rest",_need (_balls:all) _offer (_books:rest _hats:rest ) 
5031,ball and 2 books please,_need (_books:2 _balls:1) 
5048,"alright . i need the hat and all the balls , you can have the three books . deal ?",_yes _need (_hats:1 _balls:all) _offer (_books:3 ) 
5128,"alright 2 hats and 2 books for you , 2 balls and 1 book for me .",_yes _need (_hats:1 _balls:2) _offer (_books:2 _hats:2 ) 
5131,yes !,_deal 
5227,"book and balls to me , you can have 9 hats",_need (_books:1 _balls:all) _offer (_hats:9 ) 
5280,alright then . . i suppose i'll take the hats .,_yes _need (_hats:all ) 
5320,2 books and a hat it is,_misc (_books:2 _hats:1 ) 
5321,4 balls for me,_need (_balls:4) 
5325,2 books and a hat for me ?,_need (_books:2 _hats:1 ) 
5355,balls are worthless . i'll just take the 2 hats and you can have the rest .,_need (_hats:2 _balls:0) _offer (_books:rest _hats:rest _balls:rest) 
5479,agreed thanks,_deal 
5557,and i get the rest,_need (_books:rest _hats:rest _balls:rest) 
5584,"alright , you take the hat and 1 ball . i take 2 books and 1 ball .",_need (_books:2 _balls:1) _offer (_hats:1 _balls:1) 
5603,agree to 0 s,_nodeal 
5630,nohat,_nodeal 
5693,deal . you get hat and two books i get ball and 1 book,_deal 
5731,no .,_nodeal 
5813,2 balls and the hat ?,_misc (_hats:1 _balls:2) 
5816,basketballs mean nothing to me . nothing . especially after that unu .,_need (_balls:0) 
5819,book and 2 balls .,_misc (_books:1 _balls:2) 
5820,"3 balls and hat , or 2 balls and book",_misc (_hats:1 _balls:3) 
5840,3 books and a hat then . it`s only fair,_misc (_books:3 _hats:1 ) 
5859,balls and three hats for me,_need (_hats:3 _balls:all) 
5860,balls and two hats for me,_need (_hats:2 _balls:all) 
5944,alright sounds good . pleasure doing business with you .,_deal _thanks 
5973,"ball and books to me , rest to you",_need (_books:all _balls:1) _offer (_books:rest _hats:rest _balls:rest) 
6076,anyway i can get 3 balls ?,_need (_balls:3) 
6079,"book has no value to me at all , i assume it'll give you minimal points . i'd be ok with two balls and the hat ?",_need (_books:0 _hats:1 _balls:2) 
6092,are you set on all three hats ? i would like the two balls and a hat .,_need (_hats:1 _balls:2) 
6104,all the hats and the book ?,_misc (_books:1 _hats:all ) 
6113,books and both balls to me,_need (_books:all _balls:all) 
6184,book and 2 hats,_misc (_books:1 _hats:2 ) 
6196,and the basketballs ?,_misc (_balls:all) 
6207,2 balls and 2 hats then,_misc (_hats:2 _balls:2) 
6347,book is 0 for me . how about ball and 1 hat ?,_need (_books:0 _hats:1 _balls:1) 
6356,book and balls for me,_need (_books:1 _balls:all) 
6358,balls and all the hats for me then,_need (_hats:all _balls:all) 
6359,balls and all hats,_misc (_hats:all _balls:all) 
6363,balls and 3 hats for you,_offer (_hats:3 _balls:all) 
6390,balls are only thing with decent points for me rest are 1,_need (_balls:all) 
6393,"believe or not , that sounds great !",_deal 
6400,balls have 0 value on my end,_need (_balls:0) 
6408,"books are 1 each , hats are 3 each , ball is 2 . what about you ?",_need (_hats:all ) 
6431,"alas , no deal",_nodeal 
6499,all balls for you only,_offer (_balls:all) 
6504,book and the hat,_misc (_books:1 _hats:1 ) 
6586,and i get all the books and all the hats ?,_counteroffer _need (_books:all _hats:all ) 
6614,agree . no deal,_nodeal 
6633,book and 1 ball,_misc (_books:1 _balls:1) 
6643,book cant but i can give you the 2 hats and a ball,_offer (_hats:2 _balls:1) 
