g,dialog,selection,reward,outcome
1 8 2 1 4 0 ,"['YOU: hello . i would like the book and one ball . ', ' THEM: you can have one ball 1 hat ', "" YOU: i need the book or it's no deal . "", ' THEM: no deal i am keeping the book ', ' YOU: ok no deal ', ' THEM: okay sounds good ', ' YOU: alright ', ' THEM: okay ', ' YOU: alright no deal ', ' THEM: okay its no deal ']", no agreement ,no agreement agree, 1 6 2 0 4 1
1 6 2 0 4 1 ,"['THEM: hello . i would like the book and one ball . ', ' YOU: you can have one ball 1 hat ', "" THEM: i need the book or it's no deal . "", ' YOU: no deal i am keeping the book ', ' THEM: ok no deal ', ' YOU: okay sounds good ', ' THEM: alright ', ' YOU: okay ', ' THEM: alright no deal ', ' YOU: okay its no deal ']", no agreement ,no agreement agree, 1 8 2 1 4 0
3 0 1 8 2 1 ,"['YOU: i love basketball and reading ', ' THEM: no . i want the hat and the balls ', ' YOU: both balls ? ', ' THEM: yeah or 1 ball and 1 book ', ' YOU: ok i want the hat and you can have the rest ', ' THEM: okay deal ill take the books and the balls you can have only the hat ', ' YOU: ok ']", item0=0 item1=1 item2=0 ,8 agree, 3 1 1 3 2 2
3 1 1 3 2 2 ,"['THEM: i love basketball and reading ', ' YOU: no . i want the hat and the balls ', ' THEM: both balls ? ', ' YOU: yeah or 1 ball and 1 book ', ' THEM: ok i want the hat and you can have the rest ', ' YOU: okay deal ill take the books and the balls you can have only the hat ', ' THEM: ok ']", item0=3 item1=0 item2=2 ,7 agree, 3 0 1 8 2 1
2 5 2 0 2 0 ,"['THEM: well now . i see two of everything . how about we split it down the middle ? ', ' YOU: i really just need the 2 books and 1 hat ', "" THEM: hmm . i could give you the two books , but i'd need both hats and both books in exchange . "", ' YOU: you mean both balls ? ', ' THEM: gah , yeah . sorry . ', ' YOU: ok i will take both books and you can have the rest ', ' THEM: deal ']", item0=2 item1=0 item2=0 ,10 agree, 2 2 2 2 2 1
2 2 2 2 2 1 ,"['YOU: well now . i see two of everything . how about we split it down the middle ? ', ' THEM: i really just need the 2 books and 1 hat ', "" YOU: hmm . i could give you the two books , but i'd need both hats and both books in exchange . "", ' THEM: you mean both balls ? ', ' YOU: gah , yeah . sorry . ', ' THEM: ok i will take both books and you can have the rest ', ' YOU: deal ']", item0=0 item1=2 item2=2 ,6 agree, 2 5 2 0 2 0
3 1 1 4 1 3 ,"['THEM: i would like the ball and two books ', ' YOU: gimme books and hat ', ' THEM: can i have one book ', ' YOU: yes ']", item0=2 item1=1 item2=0 ,6 agree, 3 2 1 0 1 4
3 2 1 0 1 4 ,"['YOU: i would like the ball and two books ', ' THEM: gimme books and hat ', ' YOU: can i have one book ', ' THEM: yes ']", item0=1 item1=0 item2=1 ,6 agree, 3 1 1 4 1 3
3 0 1 4 2 3 ,"[""THEM: hi , i'd like 1 hat and 2 books "", ' YOU: 2 ball 1 book ']", item0=1 item1=1 item2=2 ,10 disagree, 3 1 1 5 2 1
4 1 1 6 2 0 ,"[""YOU: i'll take the hat , you can have the rest . "", ' THEM: i would like the balls , hat and 2 books ', ' YOU: i can give you the hat and the balls if i keep the books . ', ' THEM: sorry that wont work . ', ' YOU: can you either give me the hat or 3 of the books ? ', ' THEM: sorry looks like we wont be making a deal ', ' YOU: yeah i have no idea how to do that . ', ' THEM: we keep saying no deal until the no deal button appears ', ' YOU: oh , how about i get 2 books ? ', ' THEM: you get 2 books and i get the rest ? ', ' YOU: yes . ', ' THEM: deal ']", item0=2 item1=0 item2=0 ,2 agree, 4 1 1 2 2 2
4 1 1 2 2 2 ,"[""THEM: i'll take the hat , you can have the rest . "", ' YOU: i would like the balls , hat and 2 books ', ' THEM: i can give you the hat and the balls if i keep the books . ', ' YOU: sorry that wont work . ', ' THEM: can you either give me the hat or 3 of the books ? ', ' YOU: sorry looks like we wont be making a deal ', ' THEM: yeah i have no idea how to do that . ', ' YOU: we keep saying no deal until the no deal button appears ', ' THEM: oh , how about i get 2 books ? ', ' YOU: you get 2 books and i get the rest ? ', ' THEM: yes . ', ' YOU: deal ']", item0=2 item1=1 item2=2 ,8 agree, 4 1 1 6 2 0
3 3 2 0 1 1 ,"['THEM: if i can have the hats and the books you can have the ball ', ' YOU: so you want me to only have the ball ? no deal make me a better offer ', ' THEM: i will take the hats and two books and you can have the rest ', ' YOU: no deal ill take the books and the ball you can have the rest ', ' THEM: i can take the hats and one book and you can have the res ', ' YOU: no ill take the books the hats and the balls then ', "" THEM: clearly that isn't an option "", ' YOU: it is an option . ', "" THEM: well it isn't going to happen . you can either try to make a deal or not . i am suggesting that i take the hats and a book or the ball . you are not being reasonable by wanting everything "", ' YOU: you did not suggest hat and ball . you suggested i take the ball , that makes you unreasonable so dont be a hypocrite . you can have only the hats at this point ']", no agreement ,no agreement agree, 3 1 2 3 1 1
3 1 2 3 1 1 ,"['YOU: if i can have the hats and the books you can have the ball ', ' THEM: so you want me to only have the ball ? no deal make me a better offer ', ' YOU: i will take the hats and two books and you can have the rest ', ' THEM: no deal ill take the books and the ball you can have the rest ', ' YOU: i can take the hats and one book and you can have the res ', ' THEM: no ill take the books the hats and the balls then ', "" YOU: clearly that isn't an option "", ' THEM: it is an option . ', "" YOU: well it isn't going to happen . you can either try to make a deal or not . i am suggesting that i take the hats and a book or the ball . you are not being reasonable by wanting everything "", ' THEM: you did not suggest hat and ball . you suggested i take the ball , that makes you unreasonable so dont be a hypocrite . you can have only the hats at this point ']", no agreement ,no agreement agree, 3 3 2 0 1 1
4 0 1 9 1 1 ,"[""YOU: hi there . i'd like a hat and a book , thank you much . "", ' THEM: deal ', ' YOU: gracias ! ']", item0=1 item1=1 item2=0 ,9 agree, 4 1 1 2 1 4
4 1 1 2 1 4 ,"[""THEM: hi there . i'd like a hat and a book , thank you much . "", ' YOU: deal ', ' THEM: gracias ! ']", item0=3 item1=0 item2=1 ,7 agree, 4 0 1 9 1 1
2 1 2 0 2 4 ,"['YOU: i need both balls and 1 book ', ' THEM: deal . ', ' YOU: okay so i get both balls and 1 book ']", item0=1 item1=0 item2=2 ,9 agree, 2 3 2 2 2 0
2 3 2 2 2 0 ,"['THEM: i need both balls and 1 book ', ' YOU: deal . ', ' THEM: okay so i get both balls and 1 book ']", item0=1 item1=2 item2=0 ,7 agree, 2 1 2 0 2 4
1 2 3 2 2 1 ,"[""THEM: let's split them in half "", "" YOU: i'd like 2 hats , and 1 ball . ""]", item0=0 item1=2 item2=1 ,5 agree ,1 10 3 0 2 0
1 10 3 0 2 0,"["" YOU: let's split them in half "", "" THEM: i'd like 2 hats , and 1 ball . ""]", item0=1 item1=1 item2=1 ,10 agree, 1 2 3 2 2 1
2 0 3 1 1 7 ,"['YOU: i need that ball so bad ! what do you want ? ', "" THEM: i mean i'll take the rest "", ' YOU: could i also have one hat maybe ? pretty please ? ', ' THEM: you drive a hard bargain here , ball and a book ? ', "" YOU: if that's the offer , then you just take the book because they have no value for me . ""]", item0=0 item1=0 item2=1 ,7 agree, 2 2 3 2 1 0
2 2 3 2 1 0 ,"['THEM: i need that ball so bad ! what do you want ? ', "" YOU: i mean i'll take the rest "", ' THEM: could i also have one hat maybe ? pretty please ? ', ' YOU: you drive a hard bargain here , ball and a book ? ', "" THEM: if that's the offer , then you just take the book because they have no value for me . ""]", item0=2 item1=3 item2=0 ,10 agree, 2 0 3 1 1 7
1 10 2 0 3 0,"[' YOU: hello , how about i get the book and the hats and you can have the balls ? ', ' THEM: no i want the hats and a ball ', ' YOU: ok , so the book and 2 balls for me and you get the hats and a ball ? ', ' THEM: yes sounds perfect . deal ']", item0=1 item1=0 item2=2 ,10 agree, 1 1 2 3 3 1
1 1 2 3 3 1 ,"['THEM: hello , how about i get the book and the hats and you can have the balls ? ', ' YOU: no i want the hats and a ball ', ' THEM: ok , so the book and 2 balls for me and you get the hats and a ball ? ', ' YOU: yes sounds perfect . deal ']", item0=0 item1=2 item2=1 ,7 agree ,1 10 2 0 3 0
2 2 2 0 1 6 ,"['YOU: i would like the ball and the books ', ' THEM: i will give you both books and a hat ', ' YOU: i can not do that . i do need the ball . ', ' THEM: if you give me both hats and both books i will give you the ball ', ' YOU: you can have both hats . can i have 1 book and the ball ? ', ' THEM: no i need both hats and both books ', ' YOU: okay . deal ']", item0=0 item1=0 item2=1 ,6 agree, 2 0 2 2 1 6
2 0 2 2 1 6 ,"['THEM: i would like the ball and the books ', ' YOU: i will give you both books and a hat ', ' THEM: i can not do that . i do need the ball . ', ' YOU: if you give me both hats and both books i will give you the ball ', ' THEM: you can have both hats . can i have 1 book and the ball ? ', ' YOU: no i need both hats and both books ', ' THEM: okay . deal ']", item0=2 item1=2 item2=0 ,4 agree, 2 2 2 0 1 6
1 0 3 2 1 4 ,"['YOU: hi , i would like the ball and 2 hats and you can have the book and 1 hat ', ' THEM: i rather like the ball also . you can have all three hats if i get the ball and book . ', ' YOU: ok , i can do that . ']", item0=0 item1=3 item2=0 ,6 agree, 1 3 3 1 1 4
1 3 3 1 1 4 ,"['THEM: hi , i would like the ball and 2 hats and you can have the book and 1 hat ', ' YOU: i rather like the ball also . you can have all three hats if i get the ball and book . ', ' THEM: ok , i can do that . ']", item0=1 item1=0 item2=1 ,7 agree, 1 0 3 2 1 4
2 1 3 2 1 2 ,"['YOU: hello , i would like the hats , and you can have the rest . i can also take 2 hats and the ball , giving you 1 hat and the books . ', ' THEM: could i have the ball and 1 hat ? ', ' YOU: yeah i can do that , where i get 2 hats and the books as well ', ' THEM: yes . deal ? ', ' YOU: deal ']", item0=2 item1=2 item2=0 ,6 agree, 2 0 3 1 1 7
2 0 3 1 1 7 ,"['THEM: hello , i would like the hats , and you can have the rest . i can also take 2 hats and the ball , giving you 1 hat and the books . ', ' YOU: could i have the ball and 1 hat ? ', ' THEM: yeah i can do that , where i get 2 hats and the books as well ', ' YOU: yes . deal ? ', ' THEM: deal ']", item0=0 item1=1 item2=1 ,8 agree, 2 1 3 2 1 2
1 9 1 1 4 0 ,"[""YOU: i'll take the book and hat , you can have the balls "", ' THEM: i really need that hat and two balls ', "" YOU: i'll take the book , you can have the rest "", ' THEM: deal ']", item0=1 item1=0 item2=0 ,9 agree, 1 1 1 5 4 1
1 1 1 5 4 1 ,"[""THEM: i'll take the book and hat , you can have the balls "", ' YOU: i really need that hat and two balls ', "" THEM: i'll take the book , you can have the rest "", ' YOU: deal ']", item0=0 item1=1 item2=4 ,9 agree, 1 9 1 1 4 0
3 1 2 1 1 5 ,"['YOU: i would like 1 of each ', "" THEM: i can't do that . i'll take the ball 2 books "", "" YOU: i'll take ball and 1 hat "", ' THEM: no sorry . how about i take the ball and you get the rest ? ', ' YOU: ok ']", item0=3 item1=2 item2=0 ,5 agree, 3 1 2 1 1 5
3 1 2 1 1 5 ,"['THEM: i would like 1 of each ', "" YOU: i can't do that . i'll take the ball 2 books "", "" THEM: i'll take ball and 1 hat "", ' YOU: no sorry . how about i take the ball and you get the rest ? ', ' THEM: ok ']", item0=0 item1=0 item2=1 ,5 agree, 3 1 2 1 1 5
2 3 4 0 1 4 ,"['YOU: i would like the ball and the books ', ' THEM: you can have the books but i would like the ball . ', ' YOU: thats not going to work for me unfortunately . i need the ball and at least 1 book minimum ', ' THEM: hmm . okay , i think i can work with that . i take the hats , you get the ball and books ? ', ' YOU: yes please . thank you ', "" THEM: okay , it's a deal . ""]", item0=2 item1=0 item2=1 ,10 agree, 2 0 4 2 1 2
2 0 4 2 1 2 ,"['THEM: i would like the ball and the books ', ' YOU: you can have the books but i would like the ball . ', ' THEM: thats not going to work for me unfortunately . i need the ball and at least 1 book minimum ', ' YOU: hmm . okay , i think i can work with that . i take the hats , you get the ball and books ? ', ' THEM: yes please . thank you ', "" YOU: okay , it's a deal . ""]", item0=0 item1=4 item2=0 ,8 agree, 2 3 4 0 1 4
4 0 1 3 1 7 ,"[""YOU: i'd like the basketball and the hat , you can keep all 4 books ? "", ' THEM: deal . ']", item0=0 item1=1 item2=1 ,10 agree, 4 2 1 0 1 2
4 2 1 0 1 2 ,"[""THEM: i'd like the basketball and the hat , you can keep all 4 books ? "", ' YOU: deal . ']", item0=4 item1=0 item2=0 ,8 agree, 4 0 1 3 1 7
1 0 2 5 2 0 ,"['THEM: what would you like ', ' YOU: i need the hats you can have everything else ', ' THEM: you take all balls and i keep everything ', ' YOU: no deal . i need the hats or no deal . ', ' THEM: no deal ', ' YOU: no deal . ', ' THEM: no deal ', ' YOU: no deal . ', ' THEM: no ', ' YOU: no deal . ']", no agreement ,no agreement agree, 1 2 2 3 2 1
1 2 2 3 2 1 ,"['YOU: what would you like ', ' THEM: i need the hats you can have everything else ', ' YOU: you take all balls and i keep everything ', ' THEM: no deal . i need the hats or no deal . ', ' YOU: no deal ', ' THEM: no deal . ', ' YOU: no deal ', ' THEM: no deal . ', ' YOU: no ', ' THEM: no deal . ']", no agreement ,no agreement agree, 1 0 2 5 2 0
1 0 2 1 4 2 ,"['YOU: balls and hats for me ', ' THEM: can i have one ball and the book ? ', ' YOU: yes deal ']", item0=0 item1=2 item2=3 ,8 agree, 1 6 2 0 4 1
1 6 2 0 4 1 ,"['THEM: balls and hats for me ', ' YOU: can i have one ball and the book ? ', ' THEM: yes deal ']", item0=1 item1=0 item2=1 ,7 agree, 1 0 2 1 4 2
1 4 3 0 2 3 ,"[""YOU: i'm interested in the book and both balls in exchange for the hats . "", ' THEM: definitely not both balls . we could split them ? ', "" YOU: i think that's fair . i agree . 1 book , 1 ball for me . . . rest for you . "", ' THEM: deal ! ']", item0=1 item1=0 item2=1 ,7 agree, 1 1 3 1 2 3
1 1 3 1 2 3 ,"[""THEM: i'm interested in the book and both balls in exchange for the hats . "", ' YOU: definitely not both balls . we could split them ? ', "" THEM: i think that's fair . i agree . 1 book , 1 ball for me . . . rest for you . "", ' YOU: deal ! ']", item0=0 item1=3 item2=1 ,6 agree, 1 4 3 0 2 3
2 2 2 2 1 2 ,"['THEM: i want the ball ', ' YOU: ok , i get rest ', ' THEM: deal ']", item0=2 item1=2 item2=0 ,8 agree ,2 0 2 0 1 10
2 0 2 0 1 10,"[' YOU: i want the ball ', ' THEM: ok , i get rest ', ' YOU: deal ']", item0=0 item1=0 item2=1 ,10 agree, 2 2 2 2 1 2
2 2 1 0 3 2 ,"[""THEM: i'll take books and hat if you want the balls "", ' YOU: i can give you the hat and one of the books . ', ' THEM: ok ']", item0=1 item1=0 item2=3 ,8 agree, 2 2 1 6 3 0
2 2 1 6 3 0 ,"[""YOU: i'll take books and hat if you want the balls "", ' THEM: i can give you the hat and one of the books . ', ' YOU: ok ']", item0=1 item1=1 item2=0 ,8 agree, 2 2 1 0 3 2
2 2 2 2 2 1 ,"['YOU: hello ', ' THEM: hi . may i have the books and 1 hat ? ', ' YOU: id rather give the balls than the hat ', ' THEM: if i can have both the books and 1 ball , you can have the rest . ', ' YOU: ill give you 2 balls and 1 book ', ' THEM: deal ! ']", item0=1 item1=2 item2=0 ,6 agree, 2 3 2 0 2 2
2 3 2 0 2 2 ,"['THEM: hello ', ' YOU: hi . may i have the books and 1 hat ? ', ' THEM: id rather give the balls than the hat ', ' YOU: if i can have both the books and 1 ball , you can have the rest . ', ' THEM: ill give you 2 balls and 1 book ', ' YOU: deal ! ']", item0=1 item1=0 item2=2 ,7 agree, 2 2 2 2 2 1
3 2 2 1 2 1 ,"['THEM: i need 2 hats and 1 ball . ', ' YOU: ok deal ']", item0=3 item1=0 item2=1 ,7 agree, 3 0 2 5 2 0
3 0 2 5 2 0 ,"['YOU: i need 2 hats and 1 ball . ', ' THEM: ok deal ']", item0=0 item1=2 item2=1 ,10 agree, 3 2 2 1 2 1
1 1 1 0 3 3 ,"['THEM: i would like the hat and two balls ', "" YOU: i can part with the hat , but not 2 balls . i'll need at least two of them to make a deal . "", "" THEM: okay , i'll take the hat , one ball and one book ? "", "" YOU: i'll take two balls and the book . ""]", item0=1 item1=0 item2=2 ,7 agree, 1 1 1 3 3 2
1 1 1 3 3 2 ,"['YOU: i would like the hat and two balls ', "" THEM: i can part with the hat , but not 2 balls . i'll need at least two of them to make a deal . "", "" YOU: okay , i'll take the hat , one ball and one book ? "", "" THEM: i'll take two balls and the book . ""]", item0=0 item1=1 item2=1 ,5 agree, 1 1 1 0 3 3
1 0 2 5 3 0 ,"['THEM: if i can have the balls and the book you can have the hats ', ' YOU: sounds good ', ' THEM: great ! thank you ! ', ' YOU: thanks ']", item0=0 item1=2 item2=0 ,10 agree, 1 2 2 1 3 2
1 2 2 1 3 2 ,"['YOU: if i can have the balls and the book you can have the hats ', ' THEM: sounds good ', ' YOU: great ! thank you ! ', ' THEM: thanks ']", item0=1 item1=0 item2=3 ,8 agree, 1 0 2 5 3 0
2 1 2 2 1 4 ,"[""YOU: i'll take one of each if that's ok ? "", ' THEM: i need 2 hats . you can have the rest ', ' YOU: ok ']", item0=2 item1=0 item2=1 ,6 agree, 2 0 2 4 1 2
2 0 2 4 1 2 ,"[""THEM: i'll take one of each if that's ok ? "", ' YOU: i need 2 hats . you can have the rest ', ' THEM: ok ']", item0=0 item1=2 item2=0 ,8 agree, 2 1 2 2 1 4
1 6 2 1 2 1 ,"['THEM: i want two hats ', ' YOU: i get the books and a ball deal ', ' THEM: deal ']", item0=1 item1=0 item2=2 ,8 agree, 1 0 2 5 2 0
1 0 2 5 2 0 ,"['YOU: i want two hats ', ' THEM: i get the books and a ball deal ', ' YOU: deal ']", item0=0 item1=2 item2=0 ,10 agree, 1 6 2 1 2 1
2 1 2 4 1 0 ,"['THEM: i need the hats and the ball ', ' YOU: i can give you one hat and the ball . i want 2 books and 1 hat ', ' THEM: i have to have both hats and the ball or both hats and a book to make a deal ', ' YOU: sorry , i won`t make a deal without a hat ', ' THEM: if you take 1 hat i have to have everything else ', ' YOU: sorry can`t do ', ' THEM: no deal ', ' YOU: yesh no deal , sorry ', ' THEM: no deal ', ' YOU: no deal ']", no agreement ,no agreement agree, 2 1 2 3 1 2
2 1 2 3 1 2 ,"['YOU: i need the hats and the ball ', ' THEM: i can give you one hat and the ball . i want 2 books and 1 hat ', ' YOU: i have to have both hats and the ball or both hats and a book to make a deal ', ' THEM: sorry , i won`t make a deal without a hat ', ' YOU: if you take 1 hat i have to have everything else ', ' THEM: sorry can`t do ', ' YOU: no deal ', ' THEM: yesh no deal , sorry ', ' YOU: no deal ', ' THEM: no deal ']", no agreement ,no agreement agree, 2 1 2 4 1 0
1 3 1 1 3 2 ,"['THEM: you can have the balls if i can have the book and hat ', ' YOU: okay ']", item0=0 item1=0 item2=3 ,6 agree, 1 8 1 2 3 0
1 8 1 2 3 0 ,"['YOU: you can have the balls if i can have the book and hat ', ' THEM: okay ']", item0=1 item1=1 item2=0 ,10 agree, 1 3 1 1 3 2
3 2 2 2 2 0 ,"[""THEM: i'd like the hats and balls . what do you want ? "", ' YOU: you can have the balls and one hat ', ' THEM: okay . ', ' YOU: okay thank you . ']", item0=3 item1=1 item2=0 ,8 agree, 3 0 2 3 2 2
3 0 2 3 2 2 ,"[""YOU: i'd like the hats and balls . what do you want ? "", ' THEM: you can have the balls and one hat ', ' YOU: okay . ', ' THEM: okay thank you . ']", item0=0 item1=1 item2=2 ,7 agree, 3 2 2 2 2 0
3 0 1 2 2 4 ,"['THEM: i need the balls and the hat ', "" YOU: i need the same . if i can't have the balls i can't make a deal "", ' THEM: you can have the balls if i can have everything else ', ' YOU: okay deal . ']", item0=0 item1=0 item2=2 ,8 agree, 3 1 1 3 2 2
3 1 1 3 2 2 ,"['YOU: i need the balls and the hat ', "" THEM: i need the same . if i can't have the balls i can't make a deal "", ' YOU: you can have the balls if i can have everything else ', ' THEM: okay deal . ']", item0=3 item1=1 item2=0 ,6 agree, 3 0 1 2 2 4
1 2 2 3 2 1 ,"[""THEM: i'll take the book and two balls you . "", ' YOU: fine , i get both hats ']", item0=0 item1=2 item2=0 ,6 agree, 1 0 2 1 2 4
1 0 2 1 2 4 ,"[""YOU: i'll take the book and two balls you . "", ' THEM: fine , i get both hats ']", item0=1 item1=0 item2=2 ,8 agree, 1 2 2 3 2 1
2 2 3 2 2 0 ,"['YOU: take all the balls i keep everything else ', ' THEM: nah , hats and a ball for me ', ' YOU: can i keep a hat at least , its cold ', ' THEM: ok , two hats and 2 balls for me ', ' YOU: deal ']", item0=2 item1=1 item2=2 ,6 disagree, 2 0 3 2 2 2
2 0 3 2 2 2 ,"['THEM: take all the balls i keep everything else ', ' YOU: nah , hats and a ball for me ', ' THEM: can i keep a hat at least , its cold ', ' YOU: ok , two hats and 2 balls for me ', ' THEM: deal ']", item0=0 item1=2 item2=2 ,8 disagree, 2 2 3 2 2 0
3 2 1 0 2 2 ,"['THEM: i need the balls and a hat ', ' YOU: how many balls do you need ', ' THEM: both ', ' YOU: could you just take the hat and give me the rest ? ', ' THEM: not possible ', ' YOU: okay ill give you the hat and balls ', ' THEM: great ']", item0=3 item1=0 item2=0 ,6 agree, 3 1 1 1 2 3
3 1 1 1 2 3 ,"['YOU: i need the balls and a hat ', ' THEM: how many balls do you need ', ' YOU: both ', ' THEM: could you just take the hat and give me the rest ? ', ' YOU: not possible ', ' THEM: okay ill give you the hat and balls ', ' YOU: great ']", item0=0 item1=1 item2=2 ,7 agree, 3 2 1 0 2 2
2 1 2 1 3 2 ,"[""THEM: i'd like the hats and books "", ' YOU: ill give you all books with a hat , i get to keep a hats ', ' THEM: how about this , i get the hats you take everything else . deal ? ', ' YOU: deal ']", item0=2 item1=0 item2=3 ,8 agree, 2 0 2 5 3 0
2 0 2 5 3 0 ,"[""YOU: i'd like the hats and books "", ' THEM: ill give you all books with a hat , i get to keep a hats ', ' YOU: how about this , i get the hats you take everything else . deal ? ', ' THEM: deal ']", item0=0 item1=2 item2=0 ,10 agree, 2 1 2 1 3 2
1 5 3 1 2 1 ,"['THEM: hi , i would like 2 balls and 1 hat . ', "" YOU: i'd like book and 1 ball or hat ? "", ' THEM: hmm , how about i get the 2 balls and you keep the rest ? ', ' YOU: deal . ']", item0=1 item1=3 item2=0 ,8 agree, 1 0 3 0 2 5
1 0 3 0 2 5 ,"['YOU: hi , i would like 2 balls and 1 hat . ', "" THEM: i'd like book and 1 ball or hat ? "", ' YOU: hmm , how about i get the 2 balls and you keep the rest ? ', ' THEM: deal . ']", item0=0 item1=0 item2=2 ,10 agree, 1 5 3 1 2 1
1 2 1 2 3 2 ,"['YOU: i want the balls . i can offer you the rest . ', ' THEM: can i have 1 ball and give you a book for it ? ', ' YOU: 2 balls and a book to me ? if so that works for me . ']", item0=1 item1=0 item2=2 ,6 agree, 1 0 1 7 3 1
1 0 1 7 3 1 ,"['THEM: i want the balls . i can offer you the rest . ', ' YOU: can i have 1 ball and give you a book for it ? ', ' THEM: 2 balls and a book to me ? if so that works for me . ']", item0=0 item1=1 item2=1 ,8 agree, 1 2 1 2 3 2
1 3 4 1 1 3 ,"[""YOU: i'd like the ball and two hats . "", ' THEM: unfortunately the ball is highest value to me . only way i can give the ball up is if you give me everything else . otherwise , i can take the ball and the book and leave you the hats . ', "" YOU: you can have the ball . i'll take the book and we can split the hats . "", ' THEM: deal ']", item0=1 item1=2 item2=0 ,5 agree, 1 1 4 1 1 5
1 1 4 1 1 5 ,"[""THEM: i'd like the ball and two hats . "", ' YOU: unfortunately the ball is highest value to me . only way i can give the ball up is if you give me everything else . otherwise , i can take the ball and the book and leave you the hats . ', "" THEM: you can have the ball . i'll take the book and we can split the hats . "", ' YOU: deal ']", item0=0 item1=2 item2=1 ,7 agree, 1 3 4 1 1 3
1 0 3 3 1 1 ,"['THEM: i will take 1 book and 1 ball ', ' YOU: sounds like a deal ! ', ' THEM: thanks ']", item0=0 item1=3 item2=0 ,9 agree, 1 4 3 0 1 6
1 4 3 0 1 6 ,"['YOU: i will take 1 book and 1 ball ', ' THEM: sounds like a deal ! ', ' YOU: thanks ']", item0=1 item1=0 item2=1 ,10 agree, 1 0 3 3 1 1
1 0 1 7 3 1 ,"['YOU: i want the hat and 2 balls ', ' THEM: one ball and one hat for you ', ' YOU: ok deal ', ' THEM: ok ']", item0=0 item1=1 item2=1 ,8 agree, 1 3 1 1 3 2
1 3 1 1 3 2 ,"['THEM: i want the hat and 2 balls ', ' YOU: one ball and one hat for you ', ' THEM: ok deal ', ' YOU: ok ']", item0=1 item1=0 item2=2 ,7 agree, 1 0 1 7 3 1
2 0 2 3 1 4 ,"['THEM: what would you like ', ' YOU: the ball and one hat ', ' THEM: fine ']", item0=0 item1=1 item2=1 ,7 agree, 2 3 2 2 1 0
2 3 2 2 1 0 ,"['YOU: what would you like ', ' THEM: the ball and one hat ', ' YOU: fine ']", item0=2 item1=1 item2=0 ,8 agree, 2 0 2 3 1 4
1 3 2 2 3 1 ,"[""THEM: i'd like the balls for sure ; i'd like a hat but only if they're not of value to you . "", ' YOU: i need both hats and a book if you want all the balls ', ' THEM: oh fine ', ' YOU: so 3 balls for you , the rest to me ? ', ' THEM: yep , deal ']", item0=1 item1=2 item2=0 ,7 agree, 1 0 2 2 3 2
