,input,actual,predicted
95,deal .,_deal ,"(95, '_deal')"
96,best deal is you can have the ball and 1 hat,_offer( _hats 1 _balls 1) ,"(96, '_deal _offer( _hats 1 _balls 1)')"
97,book is ten for you ?,_misc( _books 1 ) ,"(97, '_offer( _books 1 )')"
98,book and hats 1 ball,_misc( _books 1 _hats all _balls 1) ,"(98, '_misc( _books 1 _hats all _balls 1)')"
99,no deal,_nodeal ,"(99, '_nodeal _deal')"
100,deal,_deal ,"(100, '_deal')"
101,yes,_deal ,"(101, '_deal')"
102,okay deal .,_deal ,"(102, '_deal')"
103,any chance you'd take three books and i could have the hat and two balls ?,_need( _hats 1 _balls 2) _offer( _books 3 ) ,"(103, '_need( _hats 1 _balls 2 _books 3 )')"
104,agreed . no deal .,_nodeal ,"(104, '_nodeal _deal')"
105,and 1 book along with 1 ball ?,_misc( _books 1 _balls 1) ,"(105, '_misc( _books 1 _balls 1)')"
106,no can do,_nodeal ,"(106, '_nodeal')"
107,deal,_deal ,"(107, '_deal')"
108,no deal .,_nodeal ,"(108, '_nodeal')"
109,no deal,_nodeal ,"(109, '_nodeal _deal')"
110,"2 books , one ball",_misc( _books 2 _balls 1) ,"(110, '_misc( _books 2 _balls 1)')"
111,ball and one hat,_misc( _hats 1 _balls 1) ,"(111, '_misc( _hats 1 _balls 1)')"
112,deal .,_deal ,"(112, '_deal')"
113,no,_nodeal ,"(113, '_nodeal')"
114,nope,_nodeal ,"(114, '_nodeal')"
115,deal,_deal ,"(115, '_deal')"
116,deal,_deal ,"(116, '_deal')"
117,okay great ! thank you !,_deal ,"(117, '_deal _thanks')"
118,ok,_deal ,"(118, '_deal')"
119,no deal,_nodeal ,"(119, '_nodeal _deal')"
120,deal,_deal ,"(120, '_deal')"
121,"yup , no deal was agreed",_nodeal ,"(121, '_nodeal _deal')"
122,deal,_deal ,"(122, '_deal')"
123,ok,_deal ,"(123, '_deal')"
124,ball or no deal,_need( _balls 1) ,"(124, '_need( _balls 0 _deal )')"
125,sure,_deal ,"(125, '_deal')"
126,ok,_deal ,"(126, '_deal')"
127,deal,_deal ,"(127, '_deal')"
128,deal .,_deal ,"(128, '_deal')"
129,no can do,_nodeal ,"(129, '_nodeal')"
130,yes,_deal ,"(130, '_deal')"
131,no deal,_nodeal ,"(131, '_nodeal _deal')"
132,okay,_deal ,"(132, '_deal')"
133,okay deal .,_deal ,"(133, '_deal')"
134,deal,_deal ,"(134, '_deal')"
135,"2 balls to me , rest for you",_need( _balls 2) _offer( rest) ,"(135, '_need( _balls 2 ) _offer( rest)')"
136,okay .,_deal ,"(136, '_deal')"
137,deal,_deal ,"(137, '_deal')"
138,okay deal,_deal ,"(138, '_deal')"
139,thanks,_deal _thanks ,"(139, '_deal _thanks')"
140,ok,_deal ,"(140, '_deal')"
141,no deal,_nodeal ,"(141, '_nodeal _deal')"
142,no deal,_nodeal ,"(142, '_nodeal _deal')"
143,no deal,_nodeal ,"(143, '_nodeal _deal')"
144,deal .,_deal ,"(144, '_deal')"
145,lol no,_nodeal ,"(145, '_nodeal')"
146,2 books and a ball ?,_misc( _books 2 _balls 1) ,"(146, '_misc( _books 2 _balls 1)')"
147,thx,_deal _thanks ,"(147, '_deal _thanks')"
148,okay deal,_deal ,"(148, '_deal')"
149,ok,_deal ,"(149, '_deal')"
150,deal,_deal ,"(150, '_deal')"
151,"ok , deal .",_deal ,"(151, '_deal')"
152,no deal,_nodeal ,"(152, '_nodeal _deal')"
153,deal !,_deal ,"(153, '_deal')"
154,ball to me then,_need( _balls 1) ,"(154, '_need( _balls 1)')"
155,ok deal,_deal ,"(155, '_deal')"
156,book and ball to me,_need( _books 1 _balls 1) ,"(156, '_need( _books 1 _balls 1)')"
157,no deal,_nodeal ,"(157, '_nodeal _deal')"
158,ball is needed,_need( _balls 1) ,"(158, '_need( _balls 1)')"
159,deal,_deal ,"(159, '_deal')"
160,deal,_deal ,"(160, '_deal')"
161,deal,_deal ,"(161, '_deal')"
162,okay great ! thank you !,_deal ,"(162, '_deal _thanks')"
163,ok deal,_deal ,"(163, '_deal')"
164,alrighty sounds good .,_deal ,"(164, '_deal')"
165,yes,_deal ,"(165, '_deal')"
166,deal,_deal ,"(166, '_deal')"
167,yes,_deal ,"(167, '_deal')"
168,okay great ! thank you !,_deal ,"(168, '_deal _thanks')"
169,cool,_deal ,"(169, '_deal')"
170,books and hat for me,_need( _books all _hats 1 ) ,"(170, '_need( _books all _hats all )')"
171,appreciate it ! deal !,_deal _thanks ,"(171, '_deal')"
172,deal,_deal ,"(172, '_deal')"
173,ok deal,_deal ,"(173, '_deal')"
174,deal,_deal ,"(174, '_deal')"
175,1 book 2 hats,_misc( _books 1 _hats 2 ) ,"(175, '_misc( _books 1 _hats 2 )')"
176,2 balls,_misc( _balls 2) ,"(176, '_misc( _balls 2)')"
177,ok no deal,_nodeal ,"(177, '_nodeal _deal')"
178,deal,_deal ,"(178, '_deal')"
179,okay great ! thank you !,_deal ,"(179, '_deal _thanks')"
180,all balls and books to me,_need( _books all _balls all) ,"(180, '_need( _books all _balls all)')"
181,no deal,_nodeal ,"(181, '_nodeal _deal')"
182,no deal,_nodeal ,"(182, '_nodeal _deal')"
183,deal,_deal ,"(183, '_deal')"
184,deal,_deal ,"(184, '_deal')"
185,deal,_deal ,"(185, '_deal')"
186,great !,_deal ,"(186, '_deal')"
187,ok,_deal ,"(187, '_deal')"
188,no deal .,_nodeal ,"(188, '_nodeal')"
189,book and ball to me,_need( _books 1 _balls 1) ,"(189, '_need( _books 1 _balls 1)')"
190,great,_deal ,"(190, '_deal')"
191,deal .,_deal ,"(191, '_deal')"
192,ball is the highest value item . ; the only way i can get rid of the ball is for everything else on the table .,_need( _balls 1) ,"(192, '_need( _balls 1 )')"
193,no deal,_nodeal ,"(193, '_nodeal _deal')"
194,no deal,_nodeal ,"(194, '_nodeal _deal')"
195,deal,_deal ,"(195, '_deal')"
196,deal,_deal ,"(196, '_deal')"
197,no deal,_nodeal ,"(197, '_nodeal _deal')"
198,deal,_deal ,"(198, '_deal')"
199,deal,_deal ,"(199, '_deal')"
200,no,_nodeal ,"(200, '_nodeal')"
201,deal .,_deal ,"(201, '_deal')"
202,deal,_deal ,"(202, '_deal')"
203,yes,_deal ,"(203, '_deal')"
204,deal .,_deal ,"(204, '_deal')"
205,alright . i'll keep the books .,_yes _need( _books all ) ,"(205, '_need( _books all )')"
206,thanks,_deal _thanks ,"(206, '_deal _thanks')"
207,deal,_deal ,"(207, '_deal')"
208,deal .,_deal ,"(208, '_deal')"
209,ok,_deal ,"(209, '_deal')"
210,deal,_deal ,"(210, '_deal')"
211,no deal,_nodeal ,"(211, '_nodeal _deal')"
212,okay,_deal ,"(212, '_deal')"
213,okay,_deal ,"(213, '_deal')"
214,deal,_deal ,"(214, '_deal')"
215,all the books and a ball .,_misc( _books all _balls 1) ,"(215, '_misc( _books all _balls 1)')"
216,i can't do that,_nodeal ,"(216, '_nodeal')"
217,deal .,_deal ,"(217, '_deal')"
218,okay deal .,_deal ,"(218, '_deal')"
219,no deal,_nodeal ,"(219, '_nodeal _deal')"
220,yes,_deal ,"(220, '_deal')"
221,deal,_deal ,"(221, '_deal')"
222,deal .,_deal ,"(222, '_deal')"
223,deal,_deal ,"(223, '_deal')"
224,deal .,_deal ,"(224, '_deal')"
225,deal,_deal ,"(225, '_deal')"
226,no deal,_nodeal ,"(226, '_nodeal _deal')"
227,deal,_deal ,"(227, '_deal')"
228,no way,_nodeal ,"(228, '_nodeal')"
229,ok,_deal ,"(229, '_deal')"
230,ok deal .,_deal ,"(230, '_deal')"
231,okay deal,_deal ,"(231, '_deal')"
232,ok,_deal ,"(232, '_deal')"
233,ok,_deal ,"(233, '_deal')"
234,ok,_deal ,"(234, '_deal')"
235,1 hat and 1 ball .,_misc( _hats 1 _balls 1) ,"(235, '_misc( _hats 1 _balls 1)')"
236,"1 hat , 1 ball , no book , extra butter",_misc( _books 0 _hats 1 _balls 1) ,"(236, '_need( _books 1 _hats no _balls 1)')"
237,"1 hat , 1 ball , 2 books and a stick of butter",_misc( _books 2 _hats 1 _balls 1) ,"(237, '_misc( _books 2 _hats 1 _balls 1)')"
238,yes,_deal ,"(238, '_deal')"
239,no deal,_nodeal ,"(239, '_nodeal _deal')"
240,no deal,_nodeal ,"(240, '_nodeal _deal')"
241,1 book and all hats for you,_offer( _books 1 _hats all ) ,"(241, '_offer( _books 1 _hats all )')"
242,ok deal,_deal ,"(242, '_deal')"
243,deal .,_deal ,"(243, '_deal')"
244,deal .,_deal ,"(244, '_deal')"
245,fine,_deal ,"(245, '_deal')"
246,okay deal,_deal ,"(246, '_deal')"
247,deal .,_deal ,"(247, '_deal')"
248,no deal,_nodeal ,"(248, '_nodeal _deal')"
249,deal,_deal ,"(249, '_deal')"
250,"all balls to me , you have rest",_need( _balls all) _offer( _books rest _hats rest ) ,"(250, '_need( _balls all) _offer( rest)')"
251,ok deal,_deal ,"(251, '_deal')"
252,no deal,_nodeal ,"(252, '_nodeal _deal')"
253,sounds good,_deal ,"(253, '_deal')"
254,thanks,_deal _thanks ,"(254, '_deal _thanks')"
255,deal,_deal ,"(255, '_deal')"
256,ok,_deal ,"(256, '_deal')"
257,sounds good,_deal ,"(257, '_deal')"
258,agreed,_deal ,"(258, '_deal')"
259,yes,_deal ,"(259, '_deal')"
260,deal .,_deal ,"(260, '_deal')"
261,no deal,_nodeal ,"(261, '_nodeal _deal')"
262,alright then . . i suppose i'll take the hats .,_yes _need( _hats all ) ,"(262, '_need( _hats all )')"
263,2 books and a hat for me ?,_need( _books 2 _hats 1 ) ,"(263, '_need( _books 2 _hats 1 )')"
264,deal .,_deal ,"(264, '_deal')"
265,no deal,_nodeal ,"(265, '_nodeal _deal')"
266,balls are worthless . i'll just take the 2 hats and you can have the rest .,_need( _hats 2 _balls 0) _offer( rest) ,"(266, '_need( _hats 2 _balls 1) _offer( rest)')"
267,ok,_deal ,"(267, '_deal')"
268,thank you !,_deal ,"(268, '_deal _thanks')"
269,ok,_deal ,"(269, '_deal')"
270,okay deal,_deal ,"(270, '_deal')"
271,deal .,_deal ,"(271, '_deal')"
272,agree to 0 s,_nodeal ,"(272, '_deal _0 _s 0')"
273,ok deal,_deal ,"(273, '_deal')"
274,deal,_deal ,"(274, '_deal')"
275,ok,_deal ,"(275, '_deal')"
276,yes,_deal ,"(276, '_deal')"
277,deal,_deal ,"(277, '_deal')"
278,okay great ! thank you !,_deal ,"(278, '_deal _thanks')"
279,deal,_deal ,"(279, '_deal')"
280,deal .,_deal ,"(280, '_deal')"
281,no deal,_nodeal ,"(281, '_nodeal _deal')"
282,no deal .,_nodeal ,"(282, '_nodeal')"
283,deal .,_deal ,"(283, '_deal')"
284,no deal then,_nodeal ,"(284, '_nodeal _deal')"
285,"ball and books to me , rest to you",_need( _books all _balls 1) _offer( rest) ,"(285, '_need( _books all _balls 1) _offer( rest)')"
286,deal .,_deal ,"(286, '_deal')"
287,no deal,_nodeal ,"(287, '_nodeal _deal')"
288,"book has no value to me at all , i assume it'll give you minimal points . i'd be ok with two balls and the hat ?",_need( _books 0 _hats 1 _balls 2) ,"(288, '_need( _books 1 _hats 2 _balls 1) _offer( 0 )')"
289,no deal then,_nodeal ,"(289, '_nodeal _deal')"
290,books and both balls to me,_need( _books all _balls all) ,"(290, '_need( _books all _balls both)')"
291,fine,_deal ,"(291, '_deal')"
292,okay deal .,_deal ,"(292, '_deal')"
293,deal,_deal ,"(293, '_deal')"
294,thank you,_deal _thanks ,"(294, '_deal _thanks')"
295,okay,_deal ,"(295, '_deal')"
296,okay .,_deal ,"(296, '_deal')"
297,ok deal,_deal ,"(297, '_deal')"
298,sure,_deal ,"(298, '_deal')"
299,no deal,_nodeal ,"(299, '_nodeal _deal')"
300,deal,_deal ,"(300, '_deal')"
301,no deal .,_nodeal ,"(301, '_nodeal')"
302,book and balls for me,_need( _books 1 _balls all) ,"(302, '_need( _books 1 _balls all)')"
303,balls and all hats,_misc( _hats all _balls all) ,"(303, '_misc( _hats all _balls all)')"
304,balls and 3 hats for you,_offer( _hats 3 _balls all) ,"(304, '_offer( _hats 3 _balls 1)')"
305,ok,_deal ,"(305, '_deal')"
306,balls have 0 value on my end,_need( _balls 0) ,"(306, '_need( _balls 0)')"
307,"books are 1 each , hats are 3 each , ball is 2 . what about you ?",_need( _hats all ) ,"(307, '_offer( _books 1 _hats 3 _balls 2)')"
308,ok,_deal ,"(308, '_deal')"
309,great,_deal ,"(309, '_deal')"
310,"alas , no deal",_nodeal ,"(310, '_nodeal')"
311,: /,_no ,"(311, '_deal')"
312,no deal,_nodeal ,"(312, '_nodeal _deal')"
313,okay great ! thank you !,_deal ,"(313, '_deal _thanks')"
314,all balls for you only,_offer( _balls all) ,"(314, '_offer( _balls all)')"
315,agree . no deal,_nodeal ,"(315, '_nodeal _deal')"
316,no deal,_nodeal ,"(316, '_nodeal _deal')"
317,deal .,_deal ,"(317, '_deal')"
318,okay,_deal ,"(318, '_deal')"
319,ok deal,_deal ,"(319, '_deal')"
320,1 ball and 1 hat for me !,_need( _hats 1 _balls 1) ,"(320, '_need( _hats 1 _balls 1)')"
321,okay deal .,_deal ,"(321, '_deal')"
322,okay thank you !,_deal ,"(322, '_deal _thanks')"
323,no deal,_nodeal ,"(323, '_nodeal _deal')"
324,no deal,_nodeal ,"(324, '_nodeal _deal')"
325,no deal,_nodeal ,"(325, '_nodeal _deal')"
326,agreed with the no deal .,_nodeal ,"(326, '_nodeal _deal')"
327,are you sure you cant come off the ball ?,_need( _balls 1) ,"(327, '_offer( _balls 1)')"
328,nd,_nodeal ,"(328, '_nodeal')"
329,no deal,_nodeal ,"(329, '_nodeal _deal')"
330,okay thank you !,_deal ,"(330, '_deal _thanks')"
331,and you don't want anything else ? can you give up one of the balls ?,_need( _balls 1) ,"(331, '_need( _balls 1 ) _offer( rest)')"
332,deal,_deal ,"(332, '_deal')"
333,and one hat,_misc( _hats 1 ) ,"(333, '_misc( _hats 1 )')"
334,ok,_deal ,"(334, '_deal')"
335,basketball,_misc( _balls 1) ,"(335, '_balls')"
336,"all hats to me , everything else to you",_need( _hats all ) _offer( rest) ,"(336, '_need( _hats all ) _offer( rest)')"
337,deal,_deal ,"(337, '_deal')"
338,"ok , thanks",_deal ,"(338, '_deal _thanks')"
339,yes,_deal ,"(339, '_deal')"
340,deal,_deal ,"(340, '_deal')"
341,okay great !,_deal ,"(341, '_deal')"
342,nope,_nodeal ,"(342, '_nodeal')"
343,okay deal .,_deal ,"(343, '_deal')"
344,deal,_deal ,"(344, '_deal')"
345,deal,_deal ,"(345, '_deal')"
346,no deal,_nodeal ,"(346, '_nodeal _deal')"
347,no deal .,_nodeal ,"(347, '_nodeal')"
348,deal,_deal ,"(348, '_deal')"
349,and we split the books ?,_need( _books 1 ) _offer( _books 1 ) ,"(349, '_need( _books 1 )')"
350,"2 books and the hat to you , one book and the ball to me ?",_need( _books 1 _balls 1) _offer( _books 2 _hats 1 ) ,"(350, '_need( _books 2 _hats 1 _balls 1) _offer( )')"
351,no deal then,_nodeal ,"(351, '_nodeal _deal')"
352,deal,_deal ,"(352, '_deal')"
353,"ok , deal",_deal ,"(353, '_deal')"
354,ok,_deal ,"(354, '_deal')"
355,thank you !,_deal ,"(355, '_deal _thanks')"
356,okay deal,_deal ,"(356, '_deal')"
357,deal,_deal ,"(357, '_deal')"
358,ok,_deal ,"(358, '_deal')"
359,deal .,_deal ,"(359, '_deal')"
360,ok,_deal ,"(360, '_deal')"
361,no,_nodeal ,"(361, '_nodeal')"
362,no deal,_nodeal ,"(362, '_nodeal _deal')"
363,sure,_deal ,"(363, '_deal')"
364,deal,_deal ,"(364, '_deal')"
365,never,_nodeal ,"(365, '_nodeal')"
366,great !,_deal ,"(366, '_deal')"
367,deal,_deal ,"(367, '_deal')"
368,sure,_deal ,"(368, '_deal')"
369,agreed,_deal ,"(369, '_deal')"
370,yup,_deal ,"(370, '_deal')"
371,no deal then,_nodeal ,"(371, '_nodeal _deal')"
372,hi,_greeting ,"(372, '_greeting')"
373,ok,_deal ,"(373, '_deal')"
374,yes,_deal ,"(374, '_deal')"
375,deal .,_deal ,"(375, '_deal')"
376,ok deal,_deal ,"(376, '_deal')"
377,thank you,_deal _thanks ,"(377, '_deal _thanks')"
378,deal,_deal ,"(378, '_deal')"
379,no deal,_nodeal ,"(379, '_nodeal _deal')"
380,no deal,_nodeal ,"(380, '_nodeal _deal')"
381,"ok , thanks",_deal ,"(381, '_deal _thanks')"
382,ok,_deal ,"(382, '_deal')"
383,"and so would i , ill give up the book if i get the hat",_need( _hats 1 ) _offer( _books 1 ) ,"(383, '_need( _books 1 _hats 1 )')"
384,no deal,_nodeal ,"(384, '_nodeal _deal')"
385,nope,_nodeal ,"(385, '_nodeal')"
386,deal .,_deal ,"(386, '_deal')"
387,ok deal,_deal ,"(387, '_deal')"
388,no deal,_nodeal ,"(388, '_nodeal _deal')"
389,okay,_deal ,"(389, '_deal')"
390,deal .,_deal ,"(390, '_deal')"
391,deal,_deal ,"(391, '_deal')"
392,ball must be mine,_need( _balls 1) ,"(392, '_need( _balls 1)')"
393,ok deal,_deal ,"(393, '_deal')"
394,no,_nodeal ,"(394, '_nodeal')"
395,no deal,_nodeal ,"(395, '_nodeal _deal')"
396,no deal,_nodeal ,"(396, '_nodeal _deal')"
397,yes,_deal ,"(397, '_deal')"
398,books are 0 for me . i can 1 hat and 1 ball or just 2 balls .,_need( _books 0 _hats 1 _balls 1) ,"(398, '_need( _books 0 _hats 1 _balls 2)')"
399,agreed .,_deal ,"(399, '_deal')"
400,deal .,_deal ,"(400, '_deal')"
401,2 balls and 2 books please,_need( _books 2 _balls 2) ,"(401, '_misc( _books 2 _balls 2)')"
402,agreed no deal .,_nodeal ,"(402, '_nodeal')"
403,no deal,_nodeal ,"(403, '_nodeal _deal')"
404,no deal,_nodeal ,"(404, '_nodeal _deal')"
405,sounds good,_deal ,"(405, '_deal')"
406,no deal,_nodeal ,"(406, '_nodeal _deal')"
407,ok,_deal ,"(407, '_deal')"
408,deal,_deal ,"(408, '_deal')"
409,deal,_deal ,"(409, '_deal')"
410,yes,_deal ,"(410, '_deal')"
411,deal,_deal ,"(411, '_deal')"
412,no deal then,_nodeal ,"(412, '_nodeal _deal')"
413,alright i will take all the balls and the books . you can just have the hat .,_need( _books all _balls all) _offer( _hats 1 ) ,"(413, '_yes _need( _books all _balls all ) _hats 1 _offer( )')"
414,yes,_deal ,"(414, '_deal')"
415,okay deal .,_deal ,"(415, '_deal')"
416,ok deal,_deal ,"(416, '_deal')"
417,ok,_deal ,"(417, '_deal')"
418,ok deal,_deal ,"(418, '_deal')"
419,deal .,_deal ,"(419, '_deal')"
420,yes,_deal ,"(420, '_deal')"
421,deal,_deal ,"(421, '_deal')"
422,great ! thank you !,_deal ,"(422, '_deal _thanks')"
423,deal,_deal ,"(423, '_deal')"
424,ok deal,_deal ,"(424, '_deal')"
425,ok,_deal ,"(425, '_deal')"
426,ok,_deal ,"(426, '_deal')"
427,no deal,_nodeal ,"(427, '_nodeal _deal')"
428,ok,_deal ,"(428, '_deal')"
429,ok,_deal ,"(429, '_deal')"
430,no deal,_nodeal ,"(430, '_nodeal _deal')"
431,deal,_deal ,"(431, '_deal')"
432,no deal,_nodeal ,"(432, '_nodeal _deal')"
433,deal,_deal ,"(433, '_deal')"
434,no deal,_nodeal ,"(434, '_nodeal _deal')"
435,2 balls and that is the most i can do,_offer( _hats 1 _balls 2) ,"(435, '_need( _balls 2 )')"
436,ok deal,_deal ,"(436, '_deal')"
437,a ball and two books is what i need . nothing less .,_need( _books 2 _balls 1) ,"(437, '_need( _books 2 _balls 1)')"
438,ok,_deal ,"(438, '_deal')"
439,ok deal,_deal ,"(439, '_deal')"
440,deal .,_deal ,"(440, '_deal')"
441,balls are 4 points for me . no deal .,_nodeal ,"(441, '_need( _balls 4 _deal 0)')"
442,and i need 1 ball,_need( _balls 1) ,"(442, '_need( _balls 1 )')"
443,deal,_deal ,"(443, '_deal')"
444,great,_deal ,"(444, '_deal')"
445,thanks,_deal _thanks ,"(445, '_deal _thanks')"
446,thank you .,_deal ,"(446, '_deal _thanks')"
