,sentences,Actual,Predicted
59,"back to where we started. you can have a book and a hat, i'll take the rest.",_need( rest) _offer( _books 1 _hats 1 ),_need( rest) _offer( _books 1 _hats 1 )
60,book,_misc( _books 1 ),_misc( _books 1 )
61,yes.,_deal,_deal
62,ball is 9 for me. no deal.,_nodeal _need( _balls 1),_nodeal
63,no deal,_nodeal,_nodeal
64,nope,_nodeal,_nodeal
65,yes,_deal,_deal
66,agreed,_deal,_deal
67,yup,_deal,_deal
68,ok,_deal,_deal
69,awesome!,_deal,_deal
70,ok deal,_deal,_deal
71,sounds good.,_deal,_deal
72,no deal,_nodeal,_nodeal
73,no deal,_nodeal,_nodeal
74,2 balls and 2 hats,_misc( _hats 2 _balls 2),_misc( _hats 2 _balls 2)
75,"ok, deal.",_deal,_deal
76,thank you.,_deal,_deal
77,okay deal,_deal,_deal
78,ok,_deal,_deal
79,ok deal,_deal,_deal
80,deal.,_deal,_deal
81,deal,_deal,_deal
82,bet i take the hats and the ball,_need( _hats all _balls 1),_need( _hats all _balls 1)
83,deal,_deal,_deal
84,deal.,_deal,_deal
85,deal,_deal,"""deal"
86,"1 hat, 2 books",_misc( _books 2 _hats 1 ),_misc( _books 2 _hats 1 )
87,okay,_deal,_deal
88,deal.,_deal,_deal
89,deal,_deal,_deal
90,yes,_deal,_deal
91,thank you,_deal _thanks,_deal _thanks
92,thank you.,_deal,_deal
93,deal,_deal,_deal
94,no way,_nodeal,_nodeal
95,deal.,_deal,_deal
96,best deal is you can have the ball and 1 hat,_offer( _hats 1 _balls 1),_offer( _hats 1 _balls 1)
97,book is ten for you?,_misc( _books 1 ),_need( _books 10)
98,book and hats 1 ball,_misc( _books 1 _hats all _balls 1),_misc( _books 1 _hats all )
99,no deal,_nodeal,_nodeal
100,deal,_deal,_deal
101,yes,_deal,_deal
102,okay deal.,_deal,_deal
103,any chance you'd take three books and i could have the hat and two balls?,_need( _hats 1 _balls 2) _offer( _books 3 ),_need( _books 3 ) _offer( _hats 1 _balls 2)
104,agreed. no deal.,_nodeal,_yes
105,and 1 book along with 1 ball?,_misc( _books 1 _balls 1),_misc( _books 1 _balls 1)
106,no can do,_nodeal,_nodeal
107,deal,_deal,_deal
108,no deal.,_nodeal,_nodeal
109,no deal,_nodeal,_odeal
110,"2 books, one ball",_misc( _books 2 _balls 1),_misc( _books 2 _balls 1)
111,ball and one hat,_misc( _hats 1 _balls 1),_misc( _hats 1 _balls 1)
112,deal.,_deal,_deal
113,no,_nodeal,_nodeal
114,nope,_nodeal,_nodeal
115,deal,_deal,_deal
116,deal,_deal,_deal
117,okay great! thank you!,_deal,(deal
118,ok,_deal,_deal
119,no deal,_nodeal,_no
120,deal,_deal,_deal
121,"yup, no deal was agreed",_nodeal,_nodeal
122,deal,_deal,_deal
123,ok,_deal,_deal
124,ball or no deal,_need( _balls 1),_nodeal
125,sure,_deal,_deal
126,ok,_deal,_deal
127,deal,_deal,_deal
128,deal.,_deal,""""
129,no can do,_nodeal,_nodeal
130,yes,_deal,_deal
131,no deal,_nodeal,_nodeal
132,okay,_deal,_______
133,okay deal.,_deal,_deal
134,deal,_deal,_deal
135,"2 balls to me, rest for you",_need( _balls 2) _offer( rest),_need( _balls 2) _offer( rest)
136,okay.,_deal,_deal
137,deal,_deal,_deal
138,okay deal,_deal,_deal
139,thanks,_deal _thanks,_deal
140,ok,_deal,_deal
141,no deal,_nodeal,_nodeal
142,no deal,_nodeal,_nodeal
143,no deal,_nodeal,_nodeal
144,deal.,_deal,_deal
145,lol no,_nodeal,_nodeal
146,2 books and a ball?,_misc( _books 2 _balls 1),_misc( _books 2 _balls 1)
147,thx,_deal _thanks,_deal _thanks
148,okay deal,_deal,_deal
149,ok,_deal,_deal
150,deal,_deal,_deal
151,"ok, deal.",_deal,_deal
152,no deal,_nodeal,_nodeal
153,deal!,_deal,_deal
154,ball to me then,_need( _balls 1),_misc( _balls 1)
155,ok deal,_deal,_deal
156,book and ball to me,_need( _books 1 _balls 1),_need( _books 1 _balls 1)
157,no deal,_nodeal,_nodeal
158,ball is needed,_need( _balls 1),_nodeal
159,deal,_deal,_deal
160,deal,_deal,_deal
161,deal,_deal,_deal
162,okay great! thank you!,_deal,_deal
163,ok deal,_deal,_deal
164,alrighty sounds good.,_deal,_deal
165,yes,_deal,_deal
166,deal,_deal,_deal
167,yes,_deal,_deal
168,okay great! thank you!,_deal,_deal
169,cool,_deal,_deal
170,books and hat for me,_need( _books all _hats 1 ),_need( _books all _hats 1 )
171,appreciate it! deal!,_deal _thanks,_deal
172,deal,_deal,_deal
173,ok deal,_deal,_deal
174,deal,_deal,_deal
175,1 book 2 hats,_misc( _books 1 _hats 2 ),_need( _books 1 _hats 2 )
176,2 balls,_misc( _balls 2),_misc( _balls 2)
177,ok no deal,_nodeal,_no
178,deal,_deal,_deal
179,okay great! thank you!,_deal,_deal
180,all balls and books to me,_need( _books all _balls all),_need( _books all _balls all)
181,no deal,_nodeal,_nodeal
182,no deal,_nodeal,_nodeal
183,deal,_deal,_deal
184,deal,_deal,_deal
185,deal,_deal,_deal
186,great!,_deal,_deal
187,ok,_deal,-
188,no deal.,_nodeal,_nodeal
189,book and ball to me,_need( _books 1 _balls 1),_need( _books 1 _balls 1)
190,great,_deal,_deal
191,deal.,_deal,_deal
192,ball is the highest value item. ; the only way i can get rid of the ball is for everything else on the table.,_need( _balls 1),_need( _balls 1)
193,no deal,_nodeal,_nodeal
194,no deal,_nodeal,_nodeal
195,deal,_deal,_deal
196,deal,_deal,deal
197,no deal,_nodeal,_nodeal
198,deal,_deal,_deal
199,deal,_deal,_deal
200,no,_nodeal,_nodeal
201,deal.,_deal,_deal
202,deal,_deal,_deal
203,yes,_deal,_deal
204,deal.,_deal,_deal
205,alright. i'll keep the books.,_yes _need( _books all ),_yes _need( _books all )
206,thanks,_deal _thanks,_deal _thanks
207,deal,_deal,_deal
208,deal.,_deal,_deal
209,ok,_deal,_deal
210,deal,_deal,_deal
211,no deal,_nodeal,_nodeal
212,okay,_deal,_deal
213,okay,_deal,_deal
214,deal,_deal,_deal
215,all the books and a ball.,_misc( _books all _balls 1),_misc( _balls 1)
216,i can't do that,_nodeal,_nodeal
217,deal.,_deal,_deal
218,okay deal.,_deal,_deal
219,no deal,_nodeal,_nodeal
220,yes,_deal,_deal
221,deal,_deal,_deal
222,deal.,_deal,_deal
223,deal,_deal,_deal
224,deal.,_deal,_deal
225,deal,_deal,_deal
226,no deal,_nodeal,_nodeal
227,deal,_deal,_deal
228,no way,_nodeal,_no
229,ok,_deal,_deal
230,ok deal.,_deal,_deal
231,okay deal,_deal,_deal
232,ok,_deal,_deal
233,ok,_deal,_deal
234,ok,_deal,_deal
235,1 hat and 1 ball.,_misc( _hats 1 _balls 1),_misc( _hats 1 _balls 1)
236,"1 hat, 1 ball, no book, extra butter",_misc( _books 0 _hats 1 _balls 1),_misc( _books 1 _hats 1 _balls 1)
237,"1 hat, 1 ball, 2 books and a stick of butter",_misc( _books 2 _hats 1 _balls 1),_misc( _books 2 _balls 1)
238,yes,_deal,_deal
239,no deal,_nodeal,_nodeal
240,no deal,_nodeal,_nodeal
241,1 book and all hats for you,_offer( _books 1 _hats all ),_offer( _books 1 _hats all )
242,ok deal,_deal,_deal
243,deal.,_deal,_deal
244,deal.,_deal,"""deal"
245,fine,_deal,_deal
246,okay deal,_deal,_deal
247,deal.,_deal,_deal
248,no deal,_nodeal,_nodeal
249,deal,_deal,_deal
250,"all balls to me, you have rest",_need( _balls all) _offer( _books rest _hats rest ),_need( rest) _offer( _balls all)
251,ok deal,_deal,_deal
252,no deal,_nodeal,_nodeal
253,sounds good,_deal,_deal
254,thanks,_deal _thanks,_deal _thanks
255,deal,_deal,_deal
256,ok,_deal,_deal
257,sounds good,_deal,_deal
258,agreed,_deal,_deal
259,yes,_deal,_deal
260,deal.,_deal,_deal
261,no deal,_nodeal,_nodeal
262,alright then.. i suppose i'll take the hats.,_yes _need( _hats all ),_deal _need( _hats all )
263,2 books and a hat for me?,_need( _books 2 _hats 1 ),_need( _books 2 _hats 1 )
264,deal.,_deal,_deal
265,no deal,_nodeal,nodeal
266,balls are worthless. i'll just take the 2 hats and you can have the rest.,_need( _hats 2 _balls 0) _offer( rest),_need( _hats 2 _balls 0) _offer( rest)
267,ok,_deal,_deal
268,thank you!,_deal,_deal
269,ok,_deal,_deal
270,okay deal,_deal,_deal
271,deal.,_deal,_deal
272,agree to 0 s,_nodeal,_nodeal
273,ok deal,_deal,_deal
274,deal,_deal,_deal
275,ok,_deal,_deal
276,yes,_deal,_deal
277,deal,_deal,_deal
278,okay great! thank you!,_deal,_deal
279,deal,_deal,_deal
280,deal.,_deal,_deal
281,no deal,_nodeal,_nodeal
282,no deal.,_nodeal,_nodeal
283,deal.,_deal,_deal
284,no deal then,_nodeal,_nodeal
285,"ball and books to me, rest to you",_need( _books all _balls 1) _offer( rest),_need( _books all _balls 1) _offer( rest)
286,deal.,_deal,_deal
287,no deal,_nodeal,_Nodeal
288,"book has no value to me at all, i assume it'll give you minimal points. i'd be ok with two balls and the hat?",_need( _books 0 _hats 1 _balls 2),_need( _books 0 _balls 1)
289,no deal then,_nodeal,_pas
290,books and both balls to me,_need( _books all _balls all),_need( _books all _balls 2)
291,fine,_deal,_deal
292,okay deal.,_deal,_deal
293,deal,_deal,_deal
294,thank you,_deal _thanks,_deal _thanks
295,okay,_deal,_deal
296,okay.,_deal,_deal
297,ok deal,_deal,_deal
298,sure,_deal,_deal
299,no deal,_nodeal,_nodeal
300,deal,_deal,_deal
301,no deal.,_nodeal,_nodeal
302,book and balls for me,_need( _books 1 _balls all),_need( _books 1 _balls all)
303,balls and all hats,_misc( _hats all _balls all),_misc( _hats all _balls all)
304,balls and 3 hats for you,_offer( _hats 3 _balls all),_need( _hats 3 _balls all)
305,ok,_deal,_deal
306,balls have 0 value on my end,_need( _balls 0),_need( _balls 0)
307,"books are 1 each, hats are 3 each, ball is 2. what about you?",_need( _hats all ),_need( _books 1 _hats 3 _balls 2)
308,ok,_deal,_deal
309,great,_deal,"""deal"
310,"alas, no deal",_nodeal,_nodeal
311,: /,_no,_deal
312,no deal,_nodeal,_nodeal
313,okay great! thank you!,_deal,_deal
314,all balls for you only,_offer( _balls all),_misc( _balls all)
315,agree. no deal,_nodeal,0
316,no deal,_nodeal,_nodeal
317,deal.,_deal,_deal
318,okay,_deal,"""deal"
319,ok deal,_deal,_deal
320,1 ball and 1 hat for me!,_need( _hats 1 _balls 1),_nodeal
321,okay deal.,_deal,_deal
322,okay thank you!,_deal,_deal
323,no deal,_nodeal,_nodeal
324,no deal,_nodeal,_nodeal
325,no deal,_nodeal,_nodeal
326,agreed with the no deal.,_nodeal,_nodeal
327,are you sure you cant come off the ball?,_need( _balls 1),_need( _balls 1)
328,nd,_nodeal,_nodeal
329,no deal,_nodeal,_nodeal
330,okay thank you!,_deal,_deal
331,and you don't want anything else? can you give up one of the balls?,_need( _balls 1),_offer( _balls 1)
332,deal,_deal,_deal
333,and one hat,_misc( _hats 1 ),_misc( _hats 1 )
334,ok,_deal,_deal
335,basketball,_misc( _balls 1),_deal
336,"all hats to me, everything else to you",_need( _hats all ) _offer( rest),_need( _hats all ) _offer( rest)
337,deal,_deal,_deal
338,"ok, thanks",_deal,_deal
339,yes,_deal,_deal
340,deal,_deal,_deal
341,okay great!,_deal,_deal
342,nope,_nodeal,_nodeal
343,okay deal.,_deal,_deal
344,deal,_deal,_deal
345,deal,_deal,_deal
346,no deal,_nodeal,_nodeal
347,no deal.,_nodeal,#nodeal
348,deal,_deal,_deal
349,and we split the books?,_need( _books 1 ) _offer( _books 1 ),_need( _books 2 )
350,"2 books and the hat to you, one book and the ball to me?",_need( _books 1 _balls 1) _offer( _books 2 _hats 1 ),_need( _books 2 _hats 1 )
351,no deal then,_nodeal,_nodeal
352,deal,_deal,_deal
353,"ok, deal",_deal,_deal
354,ok,_deal,_deal
355,thank you!,_deal,_deal
356,okay deal,_deal,_deal
357,deal,_deal,_deal
358,ok,_deal,_deal
359,deal.,_deal,_deal
360,ok,_deal,_deal
361,no,_nodeal,_deal
362,no deal,_nodeal,_nodeal
363,sure,_deal,0
364,deal,_deal,_deal
365,never,_nodeal,_nodeal
366,great!,_deal,_deal
367,deal,_deal,_deal
368,sure,_deal,_deal
369,agreed,_deal,_deal
370,yup,_deal,_deal
371,no deal then,_nodeal,_nichtdeal
372,hi,_greeting,_greeting
373,ok,_deal,_deal
374,yes,_deal,_deal
375,deal.,_deal,""""
376,ok deal,_deal,_deal
377,thank you,_deal _thanks,_thanks
378,deal,_deal,_deal
379,no deal,_nodeal,_nodeal
380,no deal,_nodeal,_nodeal
381,"ok, thanks",_deal,_deal
382,ok,_deal,_deal
383,"and so would i, ill give up the book if i get the hat",_need( _hats 1 ) _offer( _books 1 ),_need( _books 1 )
384,no deal,_nodeal,_nodeal
385,nope,_nodeal,"""nodeal"
386,deal.,_deal,_deal
387,ok deal,_deal,_deal
388,no deal,_nodeal,_nodeal
389,okay,_deal,_deal
390,deal.,_deal,_deal
391,deal,_deal,_deal
392,ball must be mine,_need( _balls 1),_need( _balls 1)
393,ok deal,_deal,_deal
394,no,_nodeal,_counter
395,no deal,_nodeal,_nodeal
396,no deal,_nodeal,_nodeal
397,yes,_deal,"""deal"
398,books are 0 for me. i can 1 hat and 1 ball or just 2 balls.,_need( _books 0 _hats 1 _balls 1),_need( _books 0 _hats 1 _balls 1)
399,agreed.,_deal,_deal
400,deal.,_deal,_deal
401,2 balls and 2 books please,_need( _books 2 _balls 2),_misc( _books 2 _balls 2)
402,agreed no deal.,_nodeal,_nodeal
403,no deal,_nodeal,_nodeal
404,no deal,_nodeal,_nodeal
405,sounds good,_deal,_deal
406,no deal,_nodeal,_nodeal
407,ok,_deal,_deal
408,deal,_deal,_deal
409,deal,_deal,_deal
410,yes,_deal,_deal
411,deal,_deal,_deal
412,no deal then,_nodeal,_nodeal
413,alright i will take all the balls and the books. you can just have the hat.,_need( _books all _balls all) _offer( _hats 1 ),_counteroffer _need( _balls all)
414,yes,_deal,_deal
415,okay deal.,_deal,(deal
416,ok deal,_deal,_deal
417,ok,_deal,_deal
418,ok deal,_deal,_deal
419,deal.,_deal,_deal
420,yes,_deal,_deal
421,deal,_deal,_deal
422,great! thank you!,_deal,_deal
423,deal,_deal,_deal
424,ok deal,_deal,_deal
425,ok,_deal,_deal
426,ok,_deal,_deal
427,no deal,_nodeal,_nodeal
428,ok,_deal,_deal
429,ok,_deal,_deal
430,no deal,_nodeal,_nodeal
431,deal,_deal,_deal
432,no deal,_nodeal,_nodeal
433,deal,_deal,_deal
434,no deal,_nodeal,0
435,2 balls and that is the most i can do,_offer( _hats 1 _balls 2),_need( _balls 2)
436,ok deal,_deal,_deal
437,a ball and two books is what i need. nothing less.,_need( _books 2 _balls 1),_need( _books 2 _balls 1)
438,ok,_deal,_deal
439,ok deal,_deal,_deal
440,deal.,_deal,_deal
441,balls are 4 points for me. no deal.,_nodeal,_nodeal
442,and i need 1 ball,_need( _balls 1),_need( _balls 1)
443,deal,_deal,_deal
444,great,_deal,_deal
445,thanks,_deal _thanks,_deal _thanks
446,thank you.,_deal,_deal
447,any chance i can get 2 hats and the ball?,_need( _hats 2 _balls 1),_need( _hats 2 _balls 1)
448,"alright, i'll settle for that deal.",_deal,_deal
449,i can do that,_deal,_deal
450,no deal,_nodeal,_nodeal
451,great,_deal,_deal
452,no deal,_nodeal,_nodeal
453,book and one hat to me,_need( _books 1 _hats 1 ),_need( _books 1 _hats 1 )
454,ok,_deal,_deal
455,deal,_deal,_deal
456,yep,_deal,_deal
457,no,_nodeal,_nodeal
458,no deal,_nodeal,_nodeal
459,sounds good,_deal,_deal
460,yup,_deal,_deal
461,nope,_nodeal,nicht
462,ok,_deal,_deal
463,ok,_deal,_deal
464,no deal.,_nodeal,_nodeal
465,ok,_deal,_deal
466,deal,_deal,_deal
467,fine,_deal,_deal
468,deal,_deal,"""deal"
469,no,_nodeal,_nodeal
470,deal,_deal,"""deal"
471,deal,_deal,_deal
472,yes,_deal,_deal
473,are you willing to take one of the hats instead of the book?,_offer( _books 0 _hats 1 ),_nodeal
474,ok deal,_deal,_deal
475,deal.,_deal,_deal
476,great,_deal,_deal
477,ok deal,_deal,_deal
478,"alright deal, thank you.",_deal _thanks,_deal _thanks
479,no deal,_nodeal,_nodeal
480,deal,_deal,_deal
481,sounds good,_deal,_deal
482,ok,_deal,_deal
483,thanks!,_deal _thanks,_deal _thanks
484,no deal,_nodeal,_nodeal
485,deal. thank you!,_deal _thanks,_deal _thanks
486,deal,_deal,_deal
487,deal.,_deal,_deal
488,no deal,_nodeal,_nodeal
489,deal,_deal,_deal
490,balls are 1 point for me. no deal.,_nodeal,_nodeal
491,4 balls 1 book thats it,_misc( _books 1 _balls 4),_misc( _books 1 _balls 4)
492,okay deal,_deal,_deal
493,no,_nodeal,_nodeal
494,no deal.,_nodeal,_nodeal
495,deal,_deal,_deal
496,sorry no deal,_nodeal,_no
497,no deal,_nodeal,_nodeal
498,"ok, no deal",_nodeal,_deal
499,no deal,_nodeal,_nodeal
500,ok,_deal,_deal
501,yes,_deal,_deal
502,deal,_deal,_deal
503,deal.,_deal,_deal
504,okay deal.,_deal,_deal
505,2 books and 1 hat,_misc( _books 2 _hats 1 ),_misc( _books 2 _hats 1 )
506,deal,_deal,_deal
507,deal,_deal,_deal
508,sounds good,_deal,_deal
509,1 book and 1 hat is all i can give you,_offer( _books 1 _hats 1 ),_offer( _books 1 _hats 1 )
510,deal.,_deal,_deal
511,yes,_deal,_deal
512,thanks,_deal _thanks,_deal _thanks
513,yes,_deal,_deal
514,yes,_deal,_deal
515,yes,_deal,_deal
516,thx,_deal _thanks,_deal
517,no deal.,_nodeal,_nodeal
518,sure,_deal,_deal
519,deal,_deal,_deal
520,deal,_deal,_deal
521,yes,_deal,_deal
522,deal,_deal,_deal
523,no can do,_nodeal,_nodeal
524,deal,_deal,_deal
525,nd,_nodeal,_nodeal
526,deal.,_deal,_deal
527,deal,_deal,_deal
528,ball and all the hats,_misc( _hats all _balls 1),_misc( _hats all _balls 1)
529,no deal,_nodeal,_nodeal
530,ok,_deal,_deal
531,deal.,_deal,_deal
532,all i need is the book,_need( _books 1 ),_need( _books 1 )
533,ok,_deal,_deal
534,okay deal,_deal,_deal
535,2 balls and the book.,_misc( _books 1 _balls 2),_misc( _books 1 _balls 2)
536,no deal,_nodeal,_odeal
537,no deal,_nodeal,_nodeal
538,no deal,_nodeal,_nodeal
539,3 books 1 ball 2 hats,_misc( _books 3 _hats 2 _balls 1),_misc( _books 3 _hats 2 _balls 1)
540,okay,_deal,_deal
541,deal,_deal,_deal
542,ok,_deal,_deal
543,ok,_deal,_deal
544,deal.,_deal,_deal
545,sure,_deal,_deal
546,thx,_deal _thanks,_thanks
547,deal,_deal,_deal
548,deal.,_deal,_deal
549,agreed,_deal,_deal
550,agreed,_deal,_deal
551,deal,_deal,_deal
552,deal,_deal,_deal
553,agreed i will take the three books,_deal _need( _books 3 ),_need( _books 3 )
554,deal,_deal,_deal
555,deal!,_deal,_deal
556,deal,_deal,_deal
557,agreed. i get 2 books and a hat.,_deal _need( _books 2 _hats 1 ),_deal
558,no deal.,_nodeal,_nodeal
559,okay no deal.,_nodeal,_nodeal
560,deal.,_deal,_deal
561,deal,_deal,_deal
562,deal,_deal,_deal
563,deal.,_deal,_deal
564,deal,_deal,_deal
565,"ok, thanks",_deal,_deal
566,yes,_deal,_deal
567,deal,_deal,_deal
568,great!,_deal,_deal
569,yes,_deal,_deal
570,2 hats and 2 books?,_misc( _books 2 _hats 2 ),_misc( _books 2 )
571,deal,_deal,_deal
572,deal.,_deal,_deal
573,deal.,_deal,_deal
574,deal,_deal,_deal
575,"are you asking me? yes, i'd like the book and balls.",_need( _books 1 _balls all),_yes _need( _books 1 _balls 1)
576,"book and a ball, thats good for you",_offer( _books 1 _balls 1),_offer( _books 1 _balls 1)
577,ok deal,_deal,_deal
578,no deal.,_nodeal,_nodeal
579,no deal.,_nodeal,_odeal
580,yes.,_deal,_deal
581,ok,_deal,_deal
582,6 / 10 is a weak hand.... we should pass on this deal,_nodeal,_need( _deal
583,great!,_deal,_deal
584,no deal,_nodeal,_nodeal
585,fine,_deal,_deal
586,deal.,_deal,_deal
587,ok,_deal,_deal
588,ok,_deal,_deal
589,1 book and 1 hat,_misc( _books 1 _hats 1 ),_misc( _books 1 _hats 1 )
590,deal,_deal,_deal
591,deal,_deal,_deal
592,no deal.,_nodeal,_nodeal
593,no deal.,_nodeal,_nodeal
594,deal,_deal,_deal
595,awesome!,_deal,_deal
596,okay great!,_deal,_deal
597,no deal,_nodeal,_nodeal
598,no deal.,_nodeal,_odeal
599,no deal.,_nodeal,_nodeal
600,deal,_deal,_deal
601,no deal,_nodeal,_nodeal
602,ok,_deal,_deal
603,deal,_deal,_deal
604,no deal.,_nodeal,_nodeal
605,no deal,_nodeal,_no
606,no deal,_nodeal,_nodeal
607,sure,_deal,:
608,okay great! thank you!,_deal,_deal
609,sounds good,_deal,_deal
610,deal,_deal,_deal
611,thanks,_deal _thanks,_deal
612,deal.,_deal,_deal
613,no deal,_nodeal,_nodeal
614,okay thank you!,_deal,_deal
615,deal,_deal,"""deal"
616,deal,_deal,_deal
617,deal,_deal,_deal
618,deal.,_deal,_deal
619,okay thank you!,_deal,_deal
620,sounds good,_deal,_deal
621,4 / 10 is no deal for me......,_nodeal,_need( _books 1 _balls 1)
622,deal,_deal,_deal
623,deal,_deal,_deal
624,deal,_deal,_deal
625,1 ball 2 books,_misc( _books 2 _balls 1),_misc( _books 2 _balls 1)
626,ok,_deal,_deal
627,yes,_deal,"""Yes"
628,yes,_deal,_deal
629,no deal,_nodeal,0
630,ok,_deal,_deal
631,ok,_deal,_deal
632,deal,_deal,_deal
633,okay great! thank you!,_deal,_deal
634,deal,_deal,_deal
635,hello,_greeting,_greeting
636,deal,_deal,_deal
637,yes,_deal,_deal
638,deal,_deal,_deal
639,"balls are worthless to me, i need a hat",_need( _hats 1 _balls 0),_need( _hats 1 _balls 0 )
640,yep,_deal,_deal
641,no deal.,_nodeal,_nodeal
642,ok no deal,_nodeal,_nodeal
643,nope,_nodeal,_nodeal
644,deal,_deal,_deal
645,deal,_deal,_deal
646,yep,_deal,_deal
647,"books and a hat, work with me here.",_misc( _books all _hats 1 ),_need( _books all _hats 1 )
648,sounds good.,_deal,_deal
649,ok no deal,_nodeal,_no
650,deal.,_deal,_deal
651,sounds good,_deal,_deal
652,no deal,_nodeal,1
653,yes,_deal,""""
654,"alright,",_deal,_deal
655,ball and 2 books for me,_need( _books 2 _balls 1),_need( _balls 2)
656,deal.,_deal,_deal
657,deal,_deal,_deal
658,okay,_deal,_deal
659,deal,_deal,_deal
660,ok deal,_deal,_deal
661,deal,_deal,_deal
662,thank you,_deal _thanks,_thanks
663,deal,_deal,_deal
664,no deal,_nodeal,_nodeal
665,no deal,_nodeal,_nodeal
666,yes,_deal,_deal
667,okay,_deal,_deal
668,deal,_deal,_deal
669,yes,_deal,_deal
670,deal,_deal,_deal
671,deal,_deal,_deal
672,ok,_deal,_deal
673,hi,_greeting,_greeting
674,ball and two books,_need( _books 2 _balls 1),_misc( _books 2 _balls 1)
675,great!,_deal,_deal
676,fine,_deal,_deal
677,okay,_deal,‘deal
678,ok deal,_deal,_deal
679,thank you,_deal _thanks,_deal
680,no deal,_nodeal,_nodeal
681,no deal,_nodeal,_no
