,input,actual,predicted
107,_deal,deal,"(107, 'deal')"
108,_nodeal,no deal .,"(108, 'no deal')"
109,_nodeal,no deal,"(109, 'no deal')"
110,_misc _books 2 _balls 1,"2 books , one ball","(110, '2 books and one ball ?')"
111,_misc _hats 1 _balls 1,ball and one hat,"(111, '1 ball and 1 hat .')"
112,_deal,deal .,"(112, 'deal')"
113,_nodeal,no,"(113, 'no deal')"
114,_nodeal,nope,"(114, 'no deal')"
115,_deal,deal,"(115, 'deal')"
116,_deal,deal,"(116, 'deal')"
117,_deal,okay great ! thank you !,"(117, 'deal')"
118,_deal,ok,"(118, 'deal')"
119,_nodeal,no deal,"(119, 'no deal')"
120,_deal,deal,"(120, 'deal')"
121,_nodeal,"yup , no deal was agreed","(121, 'no deal')"
122,_deal,deal,"(122, 'deal')"
123,_deal,ok,"(123, 'deal')"
124,_need _balls 1,ball or no deal,"(124, '1 ball for me ?')"
125,_deal,sure,"(125, 'deal')"
126,_deal,ok,"(126, 'deal')"
127,_deal,deal,"(127, 'deal')"
128,_deal,deal .,"(128, 'deal')"
129,_nodeal,no can do,"(129, 'no deal')"
130,_deal,yes,"(130, 'deal')"
131,_nodeal,no deal,"(131, 'no deal')"
132,_deal,okay,"(132, 'deal')"
133,_deal,okay deal .,"(133, 'deal')"
134,_deal,deal,"(134, 'deal')"
135,_need _balls 2 _offer rest,"2 balls to me , rest for you","(135, '2 balls for me , rest for you .')"
136,_deal,okay .,"(136, 'deal')"
137,_deal,deal,"(137, 'deal')"
138,_deal,okay deal,"(138, 'deal')"
139,_deal _thanks,thanks,"(139, 'deal . thank you')"
140,_deal,ok,"(140, 'deal')"
141,_nodeal,no deal,"(141, 'no deal')"
142,_nodeal,no deal,"(142, 'no deal')"
143,_nodeal,no deal,"(143, 'no deal')"
144,_deal,deal .,"(144, 'deal')"
145,_nodeal,lol no,"(145, 'no deal')"
146,_misc _books 2 _balls 1,2 books and a ball ?,"(146, '2 books and one ball ?')"
147,_deal _thanks,thx,"(147, 'deal . thank you')"
148,_deal,okay deal,"(148, 'deal')"
149,_deal,ok,"(149, 'deal')"
150,_deal,deal,"(150, 'deal')"
151,_deal,"ok , deal .","(151, 'deal')"
152,_nodeal,no deal,"(152, 'no deal')"
153,_deal,deal !,"(153, 'deal')"
154,_need _balls 1,ball to me then,"(154, '1 ball for me ?')"
155,_deal,ok deal,"(155, 'deal')"
156,_need _books 1 _balls 1,book and ball to me,"(156, 'book and one ball for me ?')"
157,_nodeal,no deal,"(157, 'no deal')"
158,_need _balls 1,ball is needed,"(158, '1 ball for me ?')"
159,_deal,deal,"(159, 'deal')"
160,_deal,deal,"(160, 'deal')"
161,_deal,deal,"(161, 'deal')"
162,_deal,okay great ! thank you !,"(162, 'deal')"
163,_deal,ok deal,"(163, 'deal')"
164,_deal,alrighty sounds good .,"(164, 'deal')"
165,_deal,yes,"(165, 'deal')"
166,_deal,deal,"(166, 'deal')"
167,_deal,yes,"(167, 'deal')"
168,_deal,okay great ! thank you !,"(168, 'deal')"
169,_deal,cool,"(169, 'deal')"
170,_need _books all _hats 1 ,books and hat for me,"(170, 'all books and a hat for me ?')"
171,_deal _thanks,appreciate it ! deal !,"(171, 'deal . thank you')"
172,_deal,deal,"(172, 'deal')"
173,_deal,ok deal,"(173, 'deal')"
174,_deal,deal,"(174, 'deal')"
175,_misc _books 1 _hats 2 ,1 book 2 hats,"(175, '2 hats and one book ?')"
176,_misc _balls 2,2 balls,"(176, '2 balls')"
177,_nodeal,ok no deal,"(177, 'no deal')"
178,_deal,deal,"(178, 'deal')"
179,_deal,okay great ! thank you !,"(179, 'deal')"
180,_need _books all _balls all,all balls and books to me,"(180, 'all books and balls for me ?')"
181,_nodeal,no deal,"(181, 'no deal')"
182,_nodeal,no deal,"(182, 'no deal')"
183,_deal,deal,"(183, 'deal')"
184,_deal,deal,"(184, 'deal')"
185,_deal,deal,"(185, 'deal')"
186,_deal,great !,"(186, 'deal')"
187,_deal,ok,"(187, 'deal')"
188,_nodeal,no deal .,"(188, 'no deal')"
189,_need _books 1 _balls 1,book and ball to me,"(189, 'book and one ball for me ?')"
190,_deal,great,"(190, 'deal')"
191,_deal,deal .,"(191, 'deal')"
192,_need _balls 1,ball is the highest value item . ; the only way i can get rid of the ball is for everything else on the table .,"(192, '1 ball for me ?')"
193,_nodeal,no deal,"(193, 'no deal')"
194,_nodeal,no deal,"(194, 'no deal')"
195,_deal,deal,"(195, 'deal')"
196,_deal,deal,"(196, 'deal')"
197,_nodeal,no deal,"(197, 'no deal')"
198,_deal,deal,"(198, 'deal')"
199,_deal,deal,"(199, 'deal')"
200,_nodeal,no,"(200, 'no deal')"
201,_deal,deal .,"(201, 'deal')"
202,_deal,deal,"(202, 'deal')"
203,_deal,yes,"(203, 'deal')"
204,_deal,deal .,"(204, 'deal')"
205,_yes _need _books all ,alright . i'll keep the books .,"(205, 'all books and books for me .')"
206,_deal _thanks,thanks,"(206, 'deal . thank you')"
207,_deal,deal,"(207, 'deal')"
208,_deal,deal .,"(208, 'deal')"
209,_deal,ok,"(209, 'deal')"
210,_deal,deal,"(210, 'deal')"
211,_nodeal,no deal,"(211, 'no deal')"
212,_deal,okay,"(212, 'deal')"
213,_deal,okay,"(213, 'deal')"
214,_deal,deal,"(214, 'deal')"
215,_misc _books all _balls 1,all the books and a ball .,"(215, 'all books and one ball ?')"
216,_nodeal,i can't do that,"(216, 'no deal')"
217,_deal,deal .,"(217, 'deal')"
218,_deal,okay deal .,"(218, 'deal')"
219,_nodeal,no deal,"(219, 'no deal')"
220,_deal,yes,"(220, 'deal')"
221,_deal,deal,"(221, 'deal')"
222,_deal,deal .,"(222, 'deal')"
223,_deal,deal,"(223, 'deal')"
224,_deal,deal .,"(224, 'deal')"
225,_deal,deal,"(225, 'deal')"
226,_nodeal,no deal,"(226, 'no deal')"
227,_deal,deal,"(227, 'deal')"
228,_nodeal,no way,"(228, 'no deal')"
229,_deal,ok,"(229, 'deal')"
230,_deal,ok deal .,"(230, 'deal')"
231,_deal,okay deal,"(231, 'deal')"
232,_deal,ok,"(232, 'deal')"
233,_deal,ok,"(233, 'deal')"
234,_deal,ok,"(234, 'deal')"
235,_misc _hats 1 _balls 1,1 hat and 1 ball .,"(235, '1 ball and 1 hat .')"
236,_misc _books 0 _hats 1 _balls 1,"1 hat , 1 ball , no book , extra butter","(236, '1 ball and 1 book 0 hat .')"
237,_misc _books 2 _hats 1 _balls 1,"1 hat , 1 ball , 2 books and a stick of butter","(237, '2 books 1 hat 1 ball 1 ball')"
238,_deal,yes,"(238, 'deal')"
239,_nodeal,no deal,"(239, 'no deal')"
240,_nodeal,no deal,"(240, 'no deal')"
241,_offer _books 1 _hats all ,1 book and all hats for you,"(241, 'book and all the hats for you ?')"
242,_deal,ok deal,"(242, 'deal')"
243,_deal,deal .,"(243, 'deal')"
244,_deal,deal .,"(244, 'deal')"
245,_deal,fine,"(245, 'deal')"
246,_deal,okay deal,"(246, 'deal')"
247,_deal,deal .,"(247, 'deal')"
248,_nodeal,no deal,"(248, 'no deal')"
249,_deal,deal,"(249, 'deal')"
250,_need _balls all _offer _books rest _hats rest ,"all balls to me , you have rest","(250, 'all books and hats for me , you can have the ball and the rest .')"
251,_deal,ok deal,"(251, 'deal')"
252,_nodeal,no deal,"(252, 'no deal')"
253,_deal,sounds good,"(253, 'deal')"
254,_deal _thanks,thanks,"(254, 'deal . thank you')"
255,_deal,deal,"(255, 'deal')"
256,_deal,ok,"(256, 'deal')"
257,_deal,sounds good,"(257, 'deal')"
258,_deal,agreed,"(258, 'deal')"
259,_deal,yes,"(259, 'deal')"
260,_deal,deal .,"(260, 'deal')"
261,_nodeal,no deal,"(261, 'no deal')"
262,_yes _need _hats all ,alright then . . i suppose i'll take the hats .,"(262, 'all the hats to me ?')"
263,_need _books 2 _hats 1 ,2 books and a hat for me ?,"(263, '2 books and one hat for me ?')"
264,_deal,deal .,"(264, 'deal')"
265,_nodeal,no deal,"(265, 'no deal')"
266,_need _hats 2 _balls 0 _offer rest,balls are worthless . i'll just take the 2 hats and you can have the rest .,"(266, 'ball and 2 hats for me 0 , rest for you .')"
267,_deal,ok,"(267, 'deal')"
268,_deal,thank you !,"(268, 'deal')"
269,_deal,ok,"(269, 'deal')"
270,_deal,okay deal,"(270, 'deal')"
271,_deal,deal .,"(271, 'deal')"
272,_nodeal,agree to 0 s,"(272, 'no deal')"
273,_deal,ok deal,"(273, 'deal')"
274,_deal,deal,"(274, 'deal')"
275,_deal,ok,"(275, 'deal')"
276,_deal,yes,"(276, 'deal')"
277,_deal,deal,"(277, 'deal')"
278,_deal,okay great ! thank you !,"(278, 'deal')"
279,_deal,deal,"(279, 'deal')"
280,_deal,deal .,"(280, 'deal')"
281,_nodeal,no deal,"(281, 'no deal')"
282,_nodeal,no deal .,"(282, 'no deal')"
283,_deal,deal .,"(283, 'deal')"
284,_nodeal,no deal then,"(284, 'no deal')"
285,_need _books all _balls 1 _offer rest,"ball and books to me , rest to you","(285, 'all books and 1 ball for me , rest for you ?')"
286,_deal,deal .,"(286, 'deal')"
287,_nodeal,no deal,"(287, 'no deal')"
288,_need _books 0 _hats 1 _balls 2,"book has no value to me at all , i assume it'll give you minimal points . i'd be ok with two balls and the hat ?","(288, 'book and 2 balls for me . i need the hat and 0 books')"
289,_nodeal,no deal then,"(289, 'no deal')"
290,_need _books all _balls all,books and both balls to me,"(290, 'all books and balls for me ?')"
291,_deal,fine,"(291, 'deal')"
292,_deal,okay deal .,"(292, 'deal')"
293,_deal,deal,"(293, 'deal')"
294,_deal _thanks,thank you,"(294, 'deal . thank you')"
295,_deal,okay,"(295, 'deal')"
296,_deal,okay .,"(296, 'deal')"
297,_deal,ok deal,"(297, 'deal')"
298,_deal,sure,"(298, 'deal')"
299,_nodeal,no deal,"(299, 'no deal')"
300,_deal,deal,"(300, 'deal')"
301,_nodeal,no deal .,"(301, 'no deal')"
302,_need _books 1 _balls all,book and balls for me,"(302, 'all the balls and books for me ?')"
303,_misc _hats all _balls all,balls and all hats,"(303, 'all the hats and balls ?')"
304,_offer _hats 3 _balls all,balls and 3 hats for you,"(304, 'all the balls and 3 hats for you ?')"
305,_deal,ok,"(305, 'deal')"
306,_need _balls 0,balls have 0 value on my end,"(306, 'balls are 0 for me .')"
307,_need _hats all ,"books are 1 each , hats are 3 each , ball is 2 . what about you ?","(307, 'all hats to me ?')"
308,_deal,ok,"(308, 'deal')"
309,_deal,great,"(309, 'deal')"
310,_nodeal,"alas , no deal","(310, 'no deal')"
311,_no,: /,"(311, 'no')"
312,_nodeal,no deal,"(312, 'no deal')"
313,_deal,okay great ! thank you !,"(313, 'deal')"
314,_offer _balls all,all balls for you only,"(314, 'all the balls and you can get the ball ?')"
315,_nodeal,agree . no deal,"(315, 'no deal')"
316,_nodeal,no deal,"(316, 'no deal')"
317,_deal,deal .,"(317, 'deal')"
318,_deal,okay,"(318, 'deal')"
319,_deal,ok deal,"(319, 'deal')"
320,_need _hats 1 _balls 1,1 ball and 1 hat for me !,"(320, 'ball and one hat for me ?')"
321,_deal,okay deal .,"(321, 'deal')"
322,_deal,okay thank you !,"(322, 'deal')"
323,_nodeal,no deal,"(323, 'no deal')"
324,_nodeal,no deal,"(324, 'no deal')"
325,_nodeal,no deal,"(325, 'no deal')"
326,_nodeal,agreed with the no deal .,"(326, 'no deal')"
327,_need _balls 1,are you sure you cant come off the ball ?,"(327, '1 ball for me ?')"
328,_nodeal,nd,"(328, 'no deal')"
329,_nodeal,no deal,"(329, 'no deal')"
330,_deal,okay thank you !,"(330, 'deal')"
331,_need _balls 1,and you don't want anything else ? can you give up one of the balls ?,"(331, '1 ball for me ?')"
332,_deal,deal,"(332, 'deal')"
333,_misc _hats 1 ,and one hat,"(333, '1 hat')"
334,_deal,ok,"(334, 'deal')"
335,_misc _balls 1,basketball,"(335, '1 ball')"
336,_need _hats all  _offer rest,"all hats to me , everything else to you","(336, 'all hats to me , rest to you .')"
337,_deal,deal,"(337, 'deal')"
338,_deal,"ok , thanks","(338, 'deal')"
339,_deal,yes,"(339, 'deal')"
340,_deal,deal,"(340, 'deal')"
341,_deal,okay great !,"(341, 'deal')"
342,_nodeal,nope,"(342, 'no deal')"
343,_deal,okay deal .,"(343, 'deal')"
344,_deal,deal,"(344, 'deal')"
345,_deal,deal,"(345, 'deal')"
346,_nodeal,no deal,"(346, 'no deal')"
347,_nodeal,no deal .,"(347, 'no deal')"
348,_deal,deal,"(348, 'deal')"
349,_need _books 1  _offer _books 1 ,and we split the books ?,"(349, '1 book for me , you can get 1 book .')"
350,_need _books 1 _balls 1 _offer _books 2 _hats 1 ,"2 books and the hat to you , one book and the ball to me ?","(350, '2 books and one hat for you . i need ball and 1 book .')"
351,_nodeal,no deal then,"(351, 'no deal')"
352,_deal,deal,"(352, 'deal')"
353,_deal,"ok , deal","(353, 'deal')"
354,_deal,ok,"(354, 'deal')"
355,_deal,thank you !,"(355, 'deal')"
356,_deal,okay deal,"(356, 'deal')"
357,_deal,deal,"(357, 'deal')"
358,_deal,ok,"(358, 'deal')"
359,_deal,deal .,"(359, 'deal')"
360,_deal,ok,"(360, 'deal')"
361,_nodeal,no,"(361, 'no deal')"
362,_nodeal,no deal,"(362, 'no deal')"
363,_deal,sure,"(363, 'deal')"
364,_deal,deal,"(364, 'deal')"
365,_nodeal,never,"(365, 'no deal')"
366,_deal,great !,"(366, 'deal')"
367,_deal,deal,"(367, 'deal')"
368,_deal,sure,"(368, 'deal')"
369,_deal,agreed,"(369, 'deal')"
370,_deal,yup,"(370, 'deal')"
371,_nodeal,no deal then,"(371, 'no deal')"
372,_greeting,hi,"(372, 'hello')"
373,_deal,ok,"(373, 'deal')"
374,_deal,yes,"(374, 'deal')"
375,_deal,deal .,"(375, 'deal')"
376,_deal,ok deal,"(376, 'deal')"
377,_deal _thanks,thank you,"(377, 'deal . thank you')"
378,_deal,deal,"(378, 'deal')"
379,_nodeal,no deal,"(379, 'no deal')"
380,_nodeal,no deal,"(380, 'no deal')"
381,_deal,"ok , thanks","(381, 'deal')"
382,_deal,ok,"(382, 'deal')"
383,_need _hats 1  _offer _books 1 ,"and so would i , ill give up the book if i get the hat","(383, 'book and one hat for me , you can take the hat .')"
384,_nodeal,no deal,"(384, 'no deal')"
385,_nodeal,nope,"(385, 'no deal')"
386,_deal,deal .,"(386, 'deal')"
387,_deal,ok deal,"(387, 'deal')"
388,_nodeal,no deal,"(388, 'no deal')"
389,_deal,okay,"(389, 'deal')"
390,_deal,deal .,"(390, 'deal')"
391,_deal,deal,"(391, 'deal')"
392,_need _balls 1,ball must be mine,"(392, '1 ball for me ?')"
393,_deal,ok deal,"(393, 'deal')"
394,_nodeal,no,"(394, 'no deal')"
395,_nodeal,no deal,"(395, 'no deal')"
396,_nodeal,no deal,"(396, 'no deal')"
397,_deal,yes,"(397, 'deal')"
398,_need _books 0 _hats 1 _balls 1,books are 0 for me . i can 1 hat and 1 ball or just 2 balls .,"(398, 'book 0 , hat and 1 ball for me .')"
399,_deal,agreed .,"(399, 'deal')"
400,_deal,deal .,"(400, 'deal')"
401,_need _books 2 _balls 2,2 balls and 2 books please,"(401, '2 books and 2 balls for me ?')"
402,_nodeal,agreed no deal .,"(402, 'no deal')"
403,_nodeal,no deal,"(403, 'no deal')"
404,_nodeal,no deal,"(404, 'no deal')"
405,_deal,sounds good,"(405, 'deal')"
406,_nodeal,no deal,"(406, 'no deal')"
407,_deal,ok,"(407, 'deal')"
408,_deal,deal,"(408, 'deal')"
409,_deal,deal,"(409, 'deal')"
410,_deal,yes,"(410, 'deal')"
411,_deal,deal,"(411, 'deal')"
412,_nodeal,no deal then,"(412, 'no deal')"
413,_need _books all _balls all _offer _hats 1 ,alright i will take all the balls and the books . you can just have the hat .,"(413, 'all books and balls for me , you can have the hat and a book')"
414,_deal,yes,"(414, 'deal')"
415,_deal,okay deal .,"(415, 'deal')"
416,_deal,ok deal,"(416, 'deal')"
417,_deal,ok,"(417, 'deal')"
418,_deal,ok deal,"(418, 'deal')"
419,_deal,deal .,"(419, 'deal')"
420,_deal,yes,"(420, 'deal')"
421,_deal,deal,"(421, 'deal')"
422,_deal,great ! thank you !,"(422, 'deal')"
423,_deal,deal,"(423, 'deal')"
424,_deal,ok deal,"(424, 'deal')"
425,_deal,ok,"(425, 'deal')"
426,_deal,ok,"(426, 'deal')"
427,_nodeal,no deal,"(427, 'no deal')"
428,_deal,ok,"(428, 'deal')"
429,_deal,ok,"(429, 'deal')"
430,_nodeal,no deal,"(430, 'no deal')"
431,_deal,deal,"(431, 'deal')"
432,_nodeal,no deal,"(432, 'no deal')"
433,_deal,deal,"(433, 'deal')"
434,_nodeal,no deal,"(434, 'no deal')"
435,_offer _hats 1 _balls 2,2 balls and that is the most i can do,"(435, '2 balls and 1 hat for you .')"
436,_deal,ok deal,"(436, 'deal')"
437,_need _books 2 _balls 1,a ball and two books is what i need . nothing less .,"(437, '2 books and 1 ball for me ?')"
438,_deal,ok,"(438, 'deal')"
439,_deal,ok deal,"(439, 'deal')"
440,_deal,deal .,"(440, 'deal')"
441,_nodeal,balls are 4 points for me . no deal .,"(441, 'no deal')"
442,_need _balls 1,and i need 1 ball,"(442, '1 ball for me ?')"
443,_deal,deal,"(443, 'deal')"
444,_deal,great,"(444, 'deal')"
445,_deal _thanks,thanks,"(445, 'deal . thank you')"
446,_deal,thank you .,"(446, 'deal')"
447,_need _hats 2 _balls 1,any chance i can get 2 hats and the ball ?,"(447, '2 hats and 1 ball for me ?')"
448,_deal,"alright , i'll settle for that deal .","(448, 'deal')"
449,_deal,i can do that,"(449, 'deal')"
450,_nodeal,no deal,"(450, 'no deal')"
451,_deal,great,"(451, 'deal')"
452,_nodeal,no deal,"(452, 'no deal')"
453,_need _books 1 _hats 1 ,book and one hat to me,"(453, 'book and one hat for me ?')"
454,_deal,ok,"(454, 'deal')"
455,_deal,deal,"(455, 'deal')"
456,_deal,yep,"(456, 'deal')"
457,_nodeal,no,"(457, 'no deal')"
458,_nodeal,no deal,"(458, 'no deal')"
459,_deal,sounds good,"(459, 'deal')"
460,_deal,yup,"(460, 'deal')"
461,_nodeal,nope,"(461, 'no deal')"
462,_deal,ok,"(462, 'deal')"
463,_deal,ok,"(463, 'deal')"
464,_nodeal,no deal .,"(464, 'no deal')"
465,_deal,ok,"(465, 'deal')"
466,_deal,deal,"(466, 'deal')"
467,_deal,fine,"(467, 'deal')"
468,_deal,deal,"(468, 'deal')"
469,_nodeal,no,"(469, 'no deal')"
470,_deal,deal,"(470, 'deal')"
471,_deal,deal,"(471, 'deal')"
472,_deal,yes,"(472, 'deal')"
473,_offer _books 0 _hats 1 ,are you willing to take one of the hats instead of the book ?,"(473, 'book and a hat for you 0 .')"
474,_deal,ok deal,"(474, 'deal')"
475,_deal,deal .,"(475, 'deal')"
476,_deal,great,"(476, 'deal')"
477,_deal,ok deal,"(477, 'deal')"
478,_deal _thanks,"alright deal , thank you .","(478, 'deal . thank you')"
479,_nodeal,no deal,"(479, 'no deal')"
480,_deal,deal,"(480, 'deal')"
481,_deal,sounds good,"(481, 'deal')"
482,_deal,ok,"(482, 'deal')"
483,_deal _thanks,thanks !,"(483, 'deal . thank you')"
484,_nodeal,no deal,"(484, 'no deal')"
485,_deal _thanks,deal . thank you !,"(485, 'deal . thank you')"
486,_deal,deal,"(486, 'deal')"
487,_deal,deal .,"(487, 'deal')"
488,_nodeal,no deal,"(488, 'no deal')"
489,_deal,deal,"(489, 'deal')"
490,_nodeal,balls are 1 point for me . no deal .,"(490, 'no deal')"
491,_misc _books 1 _balls 4,4 balls 1 book thats it,"(491, '4 balls and 1 book ?')"
492,_deal,okay deal,"(492, 'deal')"
493,_nodeal,no,"(493, 'no deal')"
494,_nodeal,no deal .,"(494, 'no deal')"
495,_deal,deal,"(495, 'deal')"
496,_nodeal,sorry no deal,"(496, 'no deal')"
497,_nodeal,no deal,"(497, 'no deal')"
498,_nodeal,"ok , no deal","(498, 'no deal')"
499,_nodeal,no deal,"(499, 'no deal')"
500,_deal,ok,"(500, 'deal')"
