index,sentences,template
87,"ok , so the book and 2 balls for me and you get the hats and a ball ?",_need (_books:1 _balls:2) _offer (_hats:all _balls:1) 
88,no i want the hats and a ball,_counteroffer _need (_hats:all _balls:1) 
89,yes sounds perfect . deal,_yes 
90,i would like the ball and the books,_need (_books:all _balls:1) 
91,i can not do that . i do need the ball .,_counteroffer _need (_balls:1) 
92,you can have both hats . can i have 1 book and the ball ?,_need (_books:1 _balls:1) _offer (_hats:2 ) 
93,okay . deal,_yes 
94,i will give you both books and a hat,_offer (_books:2 _hats:1 ) 
95,if you give me both hats and both books i will give you the ball,_need (_books:2 _hats:2 ) _offer (_balls:1) 
96,no i need both hats and both books,_counteroffer _need (_books:2 _hats:2 ) 
97,"hi , i would like the ball and 2 hats and you can have the book and 1 hat",_greeting _need (_hats:2 _balls:1) _offer (_books:1 _hats:1 ) 
98,"ok , i can do that .",_yes 
99,i rather like the ball also . you can have all three hats if i get the ball and book .,_need (_books:1 _balls:1) _offer (_hats:all ) 
100,"hello , i would like the hats , and you can have the rest . i can also take 2 hats and the ball , giving you 1 hat and the books .",_greeting _need (_hats:all ) _offer (_books:all _balls:all) 
101,"yeah i can do that , where i get 2 hats and the books as well",_counteroffer _need (_books:all _hats:2 ) 
102,deal,_deal 
103,could i have the ball and 1 hat ?,_need (_hats:1 _balls:1) 
104,yes . deal ?,_yes 
105,"i'll take the book and hat , you can have the balls",_need (_books:1 _hats:1 ) _offer (_balls:all) 
106,"i'll take the book , you can have the rest",_need (_books:1 ) _offer (_hats:all _balls:all) 
107,i really need that hat and two balls,_need (_hats:1 _balls:2) 
108,deal,_deal 
109,i would like 1 of each,_need (_books:1 _hats:1 _balls:1) 
110,i'll take ball and 1 hat,_need (_hats:1 _balls:1) 
111,ok,_deal 
112,i can't do that . i'll take the ball 2 books,_counteroffer _need (_books:2 _balls:1) 
113,no sorry . how about i take the ball and you get the rest ?,_counteroffer _need (_balls:1) _offer (_books:all _hats:all ) 
114,i would like the ball and the books,_need (_books:all _balls:1) 
115,thats not going to work for me unfortunately . i need the ball and at least 1 book minimum,_counteroffer _need (_books:1 _balls:1) 
116,yes please . thank you,_deal 
117,you can have the books but i would like the ball .,_need (_balls:1) _offer (_books:all ) 
118,"hmm . okay , i think i can work with that . i take the hats , you get the ball and books ?",_deal _need (_hats:all ) _offer (_books:all _balls:1) 
119,"okay , it's a deal .",_deal 
120,"i'd like the basketball and the hat , you can keep all 4 books ?",_need (_hats:1 _balls:1) _offer (_books:all ) 
121,deal .,_deal 
122,i need the hats you can have everything else,_need (_hats:all ) _offer (_books:all _balls:all) 
123,no deal . i need the hats or no deal .,_counteroffer _need (_hats:all ) 
124,no deal .,_nodeal 
125,no deal .,_nodeal 
126,no deal .,_nodeal 
128,you take all balls and i keep everything,_need (_books:all _hats:all ) _offer (_balls:all) 
129,no deal,_nodeal 
130,no deal,_nodeal 
131,no,_nodeal 
132,balls and hats for me,_need (_hats:all _balls:all) 
133,yes deal,_deal 
134,can i have one ball and the book ?,_need (_books:1 _balls:1) 
135,i'm interested in the book and both balls in exchange for the hats .,_need (_books:1 _balls:2) _offer (_hats:all ) 
136,"i think that's fair . i agree . 1 book , 1 ball for me . . . rest for you .",_deal _need (_books:1 _balls:1) _offer (_books:rest _hats:all _balls:rest) 
137,definitely not both balls . we could split them ?,_counteroffer _need (_balls:1) _offer (_balls:1) 
138,deal !,_deal 
139,"ok , i get rest",_deal 
140,i want the ball,_need (_balls:1) 
141,deal,_deal 
142,i can give you the hat and one of the books .,_offer (_books:1 _hats:1 ) 
143,i'll take books and hat if you want the balls,_need (_books:all _hats:all ) _offer (_balls:all) 
144,ok,_deal 
145,hello,_greeting 
146,id rather give the balls than the hat,_offer (_hats:0 _balls:all) 
147,ill give you 2 balls and 1 book,_offer (_books:1 _balls:2) 
148,hi . may i have the books and 1 hat ?,_greeting _need (_books:all _hats:1 ) 
149,"if i can have both the books and 1 ball , you can have the rest .",_need (_books:all _balls:1) _offer (_hats:all ) 
150,deal !,_deal 
151,ok deal,_deal 
152,i need 2 hats and 1 ball .,_need (_hats:2 _balls:1) 
153,"i can part with the hat , but not 2 balls . i'll need at least two of them to make a deal .",_need (_balls:2) _offer (_hats:1 ) 
154,i'll take two balls and the book .,_need (_books:1 _balls:2) 
155,i would like the hat and two balls,_need (_hats:1 _balls:2) 
156,"okay , i'll take the hat , one ball and one book ?",_need (_books:1 _hats:1 _balls:1) 
157,sounds good,_deal 
158,thanks,_deal _thanks 
159,if i can have the balls and the book you can have the hats,_need (_books:1 _balls:all) _offer (_hats:all ) 
160,great ! thank you !,_deal 
161,i'll take one of each if that's ok ?,_need (_books:1 _hats:1 _balls:1) 
162,ok,_deal 
163,i need 2 hats . you can have the rest,_need (_hats:2 ) _offer (_books:all _hats:rest _balls:all) 
164,i get the books and a ball deal,_need (_books:all _balls:1) 
165,i want two hats,_need (_hats:2 ) 
166,deal,_deal 
167,i can give you one hat and the ball . i want 2 books and 1 hat,_need (_books:2 _hats:1 ) _offer (_hats:1 _balls:1) 
168,"sorry , i won`t make a deal without a hat",_counteroffer _need (_hats:1 ) 
169,sorry can`t do,_nodeal 
170,"yesh no deal , sorry",_nodeal 
171,no deal,_nodeal 
172,i need the hats and the ball,_need (_hats:all _balls:1) 
173,i have to have both hats and the ball or both hats and a book to make a deal,_need (_books:? _hats:2 _balls:?) 
174,if you take 1 hat i have to have everything else,_need (_books:all _hats:rest _balls:all) _offer (_hats:1 ) 
175,no deal,_nodeal 
176,no deal,_nodeal 
177,okay,_deal 
178,you can have the balls if i can have the book and hat,_need (_books:1 _hats:1 ) _offer (_balls:all) 
179,you can have the balls and one hat,_offer (_hats:1 _balls:all) 
180,okay thank you .,_deal 
181,i'd like the hats and balls . what do you want ?,_need (_hats:all _balls:all) 
182,okay .,_deal 
183,i need the same . if i can't have the balls i can't make a deal,_counteroffer _need (_balls:all) 
184,okay deal .,_deal 
191,deal,_deal 
200,great,_deal 
202,deal,_deal 
206,deal .,_deal 
210,2 balls and a book to me ? if so that works for me .,_need (_books:1 _balls:2) 
215,deal,_deal 
218,thanks,_deal _thanks 
220,ok deal,_deal 
222,ok,_deal 
225,fine,_deal 
236,deal,_deal 
239,"okay , deal .",_deal 
244,basketballs with hats on them are so cute . thanks,_thanks 
257,"ok , deal",_deal 
262,deal,_deal 
264,are you sure you split with the ball . .,_need (_balls:1) 
267,okay,_deal 
273,no deal,_nodeal 
276,all books and the hat ?,_misc (_books:all _hats:1 ) 
278,then no .,_nodeal 
285,okay thank you !,_deal 
291,deal !,_deal 
297,deal .,_deal 
308,ok,_deal 
313,sure,_deal 
324,"agreed , no deal",_nodeal 
326,"ok , deal",_deal 
329,actually i would like 2 books and 2 hats ?,_need (_books:2 _hats:2 ) 
331,and i can have 1 hat and 3 balls ?,_need (_hats:1 _balls:3) 
333,thanks,_deal _thanks 
337,deal,_deal 
344,deal,_deal 
347,deal .,_deal 
349,book and two balls for me,_need (_books:1 _balls:2) 
350,ok deal,_deal 
357,alright i'm feeling nice tonight . i will take the books and 1 ball,_need (_books:all _balls:1) 
360,"back to where we started . you can have a book and a hat , i'll take the rest .",_need (_books:rest _hats:rest _balls:rest) _offer (_books:1 _hats:1 ) 
362,best i can do is give you the ball and one hat .,_offer (_hats:1 _balls:1) 
364,deal,_deal 
374,okay,_deal 
384,ok,_deal 
390,okay,_deal 
393,deal .,_deal 
395,ok .,_deal 
399,deal,_deal 
404,thanks,_deal _thanks 
405,deal,_deal 
407,ah ok . well then i disagree ; ),_nodeal 
408,yes,_deal 
415,okay thank you !,_deal 
418,deal,_deal 
421,book,_misc (_books:1 ) 
433,yes .,_deal 
440,ball is 9 for me . no deal .,_nodeal _need (_balls:1) 
444,deal,_deal 
446,deal .,_deal 
450,no deal,_nodeal 
451,no deal,_nodeal 
455,ok no deal,_nodeal 
456,agreed,_deal 
466,great ! thank you !,_deal 
469,"balls are five , so i need one ball and all books and you keep the rest",_need (_books:all _balls:1) _offer (_books:rest _hats:rest _balls:rest) 
471,no deal,_nodeal 
472,no deal,_nodeal 
473,no deal,_nodeal 
477,no deal,_nodeal 
478,no deal,_nodeal 
485,deal .,_deal 
486,deal .,_deal 
513,ok,_deal 
520,"alright , deal .",_deal 
533,nope,_nodeal 
536,deal,_deal 
539,no deal,_nodeal 
540,yes,_deal 
541,yes,_deal 
543,ball to me or no deal,_need (_balls:1) 
544,agreed,_deal 
545,yes,_deal 
546,yup,_deal 
548,deal,_deal 
549,balls and books for me,_need (_books:all _balls:all) 
550,"balls for me , everything else for you",_need (_balls:all) _offer (_books:rest _hats:rest _balls:rest) 
559,deal,_deal 
572,great,_deal 
573,fine,_deal 
581,deal,_deal 
582,okay,_deal 
586,ok deal,_deal 
597,yep,_deal 
602,ok deal,_deal 
607,thank you !,_deal 
608,ok deal,_deal 
609,thanks,_deal _thanks 
612,ok,_deal 
614,sure,_deal 
617,thank you !,_deal 
620,awesome !,_deal 
621,i agree .,_deal 
624,okay deal .,_deal 
627,deal .,_deal 
628,ball is worth much more to me,_need (_balls:1) 
632,okay,_deal 
633,deal .,_deal 
635,okay deal,_deal 
641,ok,_deal 
644,ok deal,_deal 
646,sounds good .,_deal 
649,2 balls and one hat . i won`t go any low,_need (_hats:1 _balls:2) 
656,no deal,_nodeal 
661,sounds good,_deal 
664,"aw , there's really no value in that for me . . any chance we can split these evenly down the middle ?",_need (_books:1 _hats:1 _balls:1) _offer (_books:1 _hats:1 _balls:1) 
668,great,_deal 
669,yep,_deal 
671,okay,_deal 
674,deal,_deal 
677,deal .,_deal 
684,"as i said i dont need hats at all , i can either give you the ball and hats and i take just books",_need (_books:all ) _offer (_hats:all _balls:1) 
686,no deal,_nodeal 
690,okay no deal .,_nodeal 
694,deal,_deal 
720,ok,_deal 
723,ok,_deal 
729,no deal,_nodeal 
730,no deal,_nodeal 
731,no deal,_nodeal 
739,2 balls and 2 hats,_misc (_hats:2 _balls:2) 
744,deal,_deal 
747,yes,_deal 
753,"agreed , deal .",_deal 
756,ok deal,_deal 
759,okay great ! thank you !,_deal 
767,ok,_deal 
776,"ok , deal .",_deal 
783,thank you .,_deal 
801,deal .,_deal 
803,deal,_deal 
810,ok,_deal 
815,deal,_deal 
817,no deal,_nodeal 
819,"book to me , all else to you",_need (_books:1 ) _offer (_books:rest _hats:rest _balls:rest) 
820,deal,_deal 
822,alright you take the ball and i'll take the rest .,_need (_books:rest _hats:rest _balls:rest) _offer (_balls:1) 
826,deal,_deal 
836,great,_deal 
841,okay deal,_deal 
844,ok,_deal 
846,deal,_deal 
847,"and so you shall have them , if i get the rest",_yes _need (_books:rest _hats:rest _balls:rest) 
851,"actually , that's going to be my final offer . i get the book only . otherwise we can say no deal .",_need (_books:1 ) 
853,no deal,_nodeal 
854,ok deal,_deal 
858,deal,_deal 
860,yes,_deal 
870,and i am agreeing with you . no deals .,_nodeal 
877,deal,_deal 
880,deal,_deal 
885,deal,_deal 
891,ok,_deal 
902,deal .,_deal 
905,deal .,_deal 
910,deal .,_deal 
917,deal,_deal 
919,deal .,_deal 
923,agreed on the no deal,_nodeal 
932,balls are 0 for me .,_need (_balls:0) 
940,deal .,_deal 
953,yes,_deal 
957,deal,_deal 
961,deal,_deal 
972,ok,_deal 
975,ok,_deal 
978,i agree .,_deal 
982,2 balls for me and 2 hats and a book for you ?,_need (_balls:2) _offer (_books:1 _hats:2 ) 
988,deal,_deal 
992,deal .,_deal 
997,yup,_deal 
999,no way,_nodeal 
1002,no deal,_nodeal 
1006,okay,_deal 
1009,bet i take the hats and the ball,_need (_hats:all _balls:1) 
1010,yes,_deal 
1011,deal,_deal 
1013,"alright , i'd like to keep the balls and the book if you like the point value of the 3 hats . . . . otherwise , if the book is worth a lot and the hats are not , i'll take the balls and 1 hat instead .",_counteroffer _need (_books:1 _balls:all) _offer (_hats:all ) 
1022,yes,_deal 
1027,are we lookin at no deal ?,_nodeal 
1028,ball so important during march madness,_need (_balls:1) 
1029,agreed,_deal 
1030,yes,_deal 
1035,no deal,_nodeal 
1046,yes,_deal 
1061,deal,_deal 
1063,deal,_deal 
1064,sounds good,_deal 
1068,deal .,_deal 
1075,no deal,_nodeal 
1076,"agreed , no deal",_nodeal 
1079,no deal .,_nodeal 
1080,no deal,_nodeal 
1081,no deal,_nodeal 
1086,deal .,_deal 
1087,ok deal,_deal 
1089,deal,_deal 
1097,"1 hat , 2 books",_misc (_books:2 _hats:1 ) 
1099,ok deal,_deal 
1100,book and 3 hats for me,_need (_books:1 _hats:3 ) 
1102,okay,_deal 
1105,ok,_deal 
1108,deal .,_deal 
1111,deal,_deal 
1119,deal,_deal 
1138,agreed,_deal 
1139,yes,_deal 
1143,no deal .,_nodeal 
1144,no deal .,_nodeal 
1154,ok,_deal 
1157,thank you,_deal _thanks 
1162,yes .,_deal 
1163,yes,_deal 
1165,deal,_deal 
1175,deal .,_deal 
1184,yes,_deal 
1189,thank you .,_deal 
1191,ok,_deal 
1201,sure,_deal 
1203,great ! thank you !,_deal 
1218,deal,_deal 
1228,no way,_nodeal 
1230,i can do that,_deal 
1235,sounds good,_deal 
1239,deal .,_deal 
1244,best deal is you can have the ball and 1 hat,_offer (_hats:1 _balls:1) 
1245,deal,_deal 
1249,nope,_nodeal 
1257,okay,_deal 
1260,book is ten for you ?,_misc (_books:1 ) 
1267,i can do that,_deal 
1273,ok deal,_deal 
1277,"book with hat , you get hat and two bballs",_need (_books:1 _hats:1 ) _offer (_hats:1 _balls:2) 
1279,agreed,_deal 
1284,no deal then .,_nodeal 
1291,deal,_deal 
1297,ok deal,_deal 
1298,sounds good .,_deal 
1304,ok,_deal 
1314,deal,_deal 
1319,sure,_deal 
1327,sounds good .,_deal 
1328,book and hats 1 ball,_misc (_books:1 _hats:all _balls:1) 
1329,1 book 3 hats 1 ball,_misc (_books:1 _hats:3 _balls:1) 
1330,1 book 3 hats,_misc (_books:1 _hats:3 ) 
1331,1 book 2 hats 1 ball,_misc (_books:1 _hats:2 _balls:1) 
1332,1 book 2 hats 1 ball,_misc (_books:1 _hats:2 _balls:1) 
1333,no deal,_nodeal 
1334,no deal,_nodeal 
1335,no deal,_nodeal 
1337,no deal,_nodeal 
1339,deal,_deal 
1341,yes,_deal 
1352,"balls are 0 for me . i want hat , all the rest for you",_need (_hats:1 _balls:0) _offer (_books:rest _hats:rest _balls:rest) 
1354,ok deal,_deal 
1357,agreed,_deal 
1373,deal,_deal 
1377,no deal,_nodeal 
1389,deal,_deal 
1392,great,_deal 
1395,okay deal .,_deal 
1399,ok,_deal 
1404,then no deal,_nodeal 
1412,deal,_deal 
1413,any chance you'd take three books and i could have the hat and two balls ?,_need (_hats:1 _balls:2) _offer (_books:3 ) 
1414,"alright , two balls and two books for me then ?",_counteroffer _need (_books:2 _balls:2) 
1424,deal .,_deal 
1431,agreed,_deal 
1432,yes,_deal 
1433,yup,_deal 
1436,no deal then .,_nodeal 
1437,agreed . no deal .,_nodeal 
1440,sorry no deal,_nodeal 
1441,okay deal,_deal 
1445,and 1 book along with 1 ball ?,_misc (_books:1 _balls:1) 
1452,no can do,_nodeal 
1453,all books with either the hat or ball,_misc (_books:all _hats:? _balls:?) 
1454,deal,_deal 
1463,okay great !,_deal 
1466,deal,_deal 
1471,a hat and a ball would be nice,_need (_hats:1 _balls:1) 
1475,thank you !,_deal 
1477,alright then .,_deal 
1479,okay,_deal 
1488,no deal .,_nodeal 
1496,deal,_deal 
1500,no deal,_nodeal 
1501,no deal,_nodeal 
1502,okay deal,_deal 
1513,deal,_deal 
1518,deal,_deal 
1523,deal .,_deal 
1525,sure,_deal 
1533,no deal,_nodeal 
1536,fine,_deal 
1537,ok,_deal 
1541,sounds good,_deal 
1543,deal,_deal 
1545,deal,_deal 
1549,deal,_deal 
1557,deal,_deal 
1559,no deal then,_nodeal 
1566,"ok , no deal",_nodeal 
1574,ok deal,_deal 
1577,"2 books , one ball",_misc (_books:2 _balls:1) 
1579,deal,_deal 
1584,sure,_deal 
1586,deal,_deal 
1592,okay deal .,_deal 
1604,deal,_deal 
1610,ok deal .,_deal 
1619,okay deal,_deal 
1623,deal,_deal 
1630,ball and one hat,_misc (_hats:1 _balls:1) 
1631,deal,_deal 
1636,deal .,_deal 
1647,deal,_deal 
1658,ok,_deal 
1663,ok deal .,_deal 
1666,sure,_deal 
1670,deal,_deal 
1676,deal,_deal 
1681,deal,_deal 
1696,great,_deal 
1702,no,_nodeal 
1718,hi,_greeting 
1722,no way,_nodeal 
1725,nope,_nodeal 
1726,a ball and 2 books then,_misc (_books:2 _balls:1) 
1730,never,_nodeal 
1734,sure,_deal 
1742,deal .,_deal 
1749,deal !,_deal 
1751,deal,_deal 
1753,ok,_deal 
1755,deal,_deal 
1757,deal,_deal 
1787,no deal .,_nodeal 
1792,okay,_deal 
1804,ok,_deal 
1807,okay,_deal 
1810,ok,_deal 
1812,deal,_deal 
1817,deal,_deal 
1825,deal .,_deal 
1832,thanks !,_deal _thanks 
1834,deal .,_deal 
1849,ok,_deal 
1852,thanks,_deal _thanks 
1855,books and hats,_misc (_books:all _hats:all ) 
1856,deal,_deal 
1867,deal,_deal 
1868,ok deal,_deal 
1871,deal,_deal 
1872,okay,_deal 
1874,deal,_deal 
1876,any chance you can re - evaluate your points ? the hats are the only thing of value to me .,_need (_hats:all ) 
1877,"alright , i'll concede with 2 hats and the book ?",_counteroffer _misc (_books:1 _hats:2 ) 
1883,"ok , deal .",_deal 
1889,no deal .,_nodeal 
1890,no deal .,_nodeal 
1894,no deal,_nodeal 
1896,"book is my bigger item , worth 4 , if i could have the book and hat it brings me to 6 and i can live with that .",_need (_books:1 _hats:1 ) 
1899,no deal then .,_nodeal 
1903,i can't do that,_nodeal 
1904,no deal,_nodeal 
1908,deal,_deal 
1912,deal,_deal 
1916,ok deal,_deal 
1923,great,_deal 
1927,alright - we split the hats - you take the books - i take the ball .,_deal 
1930,okay great ! thank you !,_deal 
1933,ok deal .,_deal 
1937,sure,_deal 
1940,deal,_deal 
1942,ok,_deal 
1945,book . and split the hats ?,_misc (_books:1 ) _need (_hats:1 ) _offer (_hats:1 ) 
1948,no deal,_nodeal 
1949,no deal,_nodeal 
1950,no deal,_nodeal 
1953,no deal,_nodeal 
1954,no deal,_nodeal 
1955,no deal,_nodeal 
1958,thanks,_deal _thanks 
1960,deal .,_deal 
1963,"ok , deal .",_deal 
1969,i can do that,_deal 
1971,deal,_deal 
1977,deal .,_deal 
1990,okay,_deal 
1998,"yup , no deal was agreed",_nodeal 
2006,thank you !,_deal 
2007,ok,_deal 
2009,deal,_deal 
2010,3 books 1 hat and you take rest,_need (_books:3 _hats:1 ) _offer (_books:rest _hats:rest _balls:rest) 
2011,2 books 2 hat,_misc (_books:2 _hats:2 ) 
2015,deal,_deal 
2020,thanks,_deal _thanks 
2021,"balls to me , else to you",_need (_balls:all) _offer (_books:rest _hats:rest _balls:rest) 
2024,deal,_deal 
2040,thank you !,_deal 
2047,okay,_deal 
2051,actually i need all hats and you can have books but i need balls,_need (_hats:all _balls:all) _offer (_books:all ) 
2055,"all books to me , you get rest",_need (_books:all ) _offer (_books:rest _hats:rest _balls:rest) 
2057,"actually i just need the book , so you can have the rest of it",_need (_books:1 ) _offer (_hats:rest _balls:rest) 
2061,ok deal,_deal 
2065,ok,_deal 
2067,ok deal,_deal 
2078,"ok , deal .",_deal 
2080,deal,_deal 
2087,sure,_deal 
2098,ok,_deal 
2100,deal,_deal 
2103,deal .,_deal 
2115,sorry no deal,_nodeal 
2116,ball and hats,_need (_hats:all _balls:1) 
2117,ball or no deal,_need (_balls:1) 
2118,ball or no deal,_need (_balls:1) 
2119,ball or no deal,_need (_balls:1) 
2121,ok deal,_deal 
2127,and now we keep saying no deal til the button appears,_nodeal 
2137,no deal,_nodeal 
2138,no deal,_nodeal 
2139,deal,_deal 
2140,sure,_deal 
2143,agreed,_deal 
2151,deal .,_deal 
2157,any chance we can rub two balls and two hats ?,_need (_hats:2 _balls:2) 
2161,agreed .,_deal 
2164,deal .,_deal 
2183,agreed .,_deal 
2190,deal .,_deal 
2198,ok deal,_deal 
2202,okay,_deal 
2209,ok,_deal 
2221,ok,_deal 
2227,amusing . . . no deal,_nodeal 
2235,deal,_deal 
2241,okay,_deal 
2248,deal,_deal 
2250,deal,_deal 
2259,"book mine , you get rest plus this half eaten snickers bar i got in my pocket",_need (_books:1 ) _offer (_books:rest _hats:rest _balls:rest) 
2260,no deal then,_nodeal 
2265,yes,_deal 
2270,"as you want it , i`ll have 1 point",_nodeal 
2275,"as you want it , i'll have 2 points . so no deal .",_nodeal 
2283,no deal,_nodeal 
2287,deal .,_deal 
2289,okay thank you !,_deal 
2292,ok deal,_deal 
2300,no can do,_nodeal 
2309,thanks,_deal _thanks 
2316,yes,_deal 
2327,no deal,_nodeal 
2329,okay,_deal 
2333,okay deal .,_deal 
2335,deal,_deal 
2342,deal,_deal 
2354,"again , i get zero value on the books",_need (_books:0 ) 
2356,ok,_deal 
2376,deal .,_deal 
2379,sure,_deal 
2382,"2 balls to me , rest for you",_need (_balls:2) _offer (_books:rest _hats:rest _balls:rest) 
2387,no,_nodeal 
2388,no,_nodeal 
2389,no,_nodeal 
2390,because you weren't working with me initially over the balls . no deal,_nodeal 
2394,and one book,_misc (_books:1 ) 
2401,okay .,_deal 
2402,"all hats , u take rest",_need (_hats:all ) _offer (_books:rest _hats:rest _balls:rest) 
2403,great,_deal 
2404,deal,_deal 
2414,deal .,_deal 
2426,deal,_deal 
2432,okay deal,_deal 
2440,no,_nodeal 
2446,deal,_deal 
2451,yup,_deal 
2455,okay,_deal 
2469,thanks,_deal _thanks 
2475,no deal .,_nodeal 
2476,no deal,_nodeal 
2477,. no deal,_nodeal 
2480,agreed,_deal 
2481,no deal,_nodeal 
2482,no deal,_nodeal 
2485,great,_deal 
2489,thank you,_deal _thanks 
2499,ok,_deal 
2507,ok,_deal 
2512,no deal,_nodeal 
2518,book and 1 ball for me,_need (_books:1 _balls:1) 
2526,no deal,_nodeal 
2530,no deal .,_nodeal 
2531,no deal .,_nodeal 
2535,okay,_deal 
2542,ball for me or no deal,_need (_balls:1) 
2553,deal,_deal 
2555,no deal,_nodeal 
2556,no deal,_nodeal 
2557,no deal,_nodeal 
2558,no deal,_nodeal 
2561,no deal then,_nodeal 
2562,no deal,_nodeal 
2563,no deal,_nodeal 
2565,deal,_deal 
2566,deal .,_deal 
2568,ok,_deal 
2572,deal,_deal 
2575,okay deal .,_deal 
2587,deal,_deal 
2593,deal,_deal 
2598,deal .,_deal 
2604,yes,_deal 
2607,thanks !,_deal _thanks 
2610,no deal .,_nodeal 
2616,no deal .,_nodeal 
2617,no deal .,_nodeal 
2626,deal .,_deal 
2633,ok,_deal 
2634,how about yes,_deal 
2635,deal,_deal 
2644,thank you,_deal _thanks 
